Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,12,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,9,AVX256,192,144,15,0.000000,0.000033,0.000019,0.000010,0.000007,0.000006,0.000042,0.000007,0.000007,0.000443,0.000112,0.000111,0.000036,0.000000,0.000676,0.000007,0.000242,0.000082,0.000046,0.000035,0.000032,0.000000,0.000056,0.000023,0.000018,0.000014,0.000691,0.000698,0.000703,0.000703,0.009904,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.824586,1.057515,0.824586,,0.824586,,1.120778,2.250639,2.741622,,,,,,,,,,,,,,,,,,,0.824586,1.057515,1.120778,2.250639,0.936231,0.590440,
0,tsukubaSetHalfSize,FLOAT,12,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,192,144,15,0.000000,0.000034,0.000018,0.000011,0.000012,0.000009,0.000050,0.000017,0.000017,0.001223,0.000176,0.000175,0.000037,0.000000,0.001549,0.000009,0.000774,0.000223,0.000092,0.000059,0.000054,0.000000,0.000063,0.000029,0.000043,0.000039,0.001567,0.001576,0.001582,0.001582,0.009904,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.817594,1.104387,0.817594,,,0.817594,1.058346,2.250639,3.522050,,,,,,,,,,,,,,,,,,,0.817594,1.104387,1.058346,2.250639,1.143718,0.572939,
1,tsukubaSet,FLOAT,12,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,384,288,15,0.000001,0.000224,0.000143,0.000031,0.000011,0.000016,0.000202,0.000029,0.000028,0.005534,0.002189,0.002187,0.000697,0.000001,0.008906,0.000087,0.004765,0.000503,0.000135,0.000062,0.000050,0.000000,0.001520,0.000482,0.000123,0.000073,0.008941,0.009029,0.009078,0.009078,0.096334,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247782,1.238805,0.247782,,0.247782,,0.974497,1.245280,2.452221,,,,,,,,,,,,,,,,,,,0.247782,1.238805,0.974497,1.245280,2.289090,0.243822,
1,tsukubaSet,FLOAT,12,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,384,288,15,0.000001,0.000249,0.000144,0.000031,0.000011,0.000018,0.000206,0.000044,0.000043,0.007575,0.002206,0.002206,0.000727,0.000001,0.011139,0.000089,0.006121,0.001015,0.000272,0.000087,0.000070,0.000000,0.001528,0.000470,0.000125,0.000082,0.011173,0.011261,0.011305,0.011305,0.096334,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.306471,1.266210,0.306471,,,0.306471,0.975768,1.245280,3.492985,,,,,,,,,,,,,,,,,,,0.306471,1.266210,0.975768,1.245280,2.014450,0.288750,
2,venus,FLOAT,12,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256,434,383,15,0.000000,0.000670,0.000238,0.000066,0.000017,0.000007,0.000330,0.000012,0.000012,0.029793,0.006840,0.006839,0.003449,0.000001,0.041112,0.000101,0.027579,0.001641,0.000401,0.000119,0.000044,0.000000,0.005937,0.000682,0.000166,0.000056,0.041145,0.041245,0.041304,0.041304,0.402974,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089591,1.088311,0.089591,,0.089591,,1.018798,1.031505,1.531792,,,,,,,,,,,,,,,,,,,0.089591,1.088311,1.018798,1.031505,3.461029,0.428107,
2,venus,FLOAT,12,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,434,383,15,0.000001,0.000531,0.000201,0.000056,0.000018,0.000011,0.000286,0.000021,0.000021,0.030640,0.007181,0.007180,0.003627,0.000001,0.042381,0.000113,0.028196,0.001716,0.000451,0.000166,0.000092,0.000000,0.006102,0.000782,0.000211,0.000079,0.042417,0.042531,0.042606,0.042606,0.402974,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131930,1.086035,0.131930,,,0.131930,0.996125,1.031505,1.787927,,,,,,,,,,,,,,,,,,,0.131930,1.086035,0.996125,1.031505,3.107045,0.434652,
3,barn1,FLOAT,12,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,432,381,15,0.000000,0.000843,0.000481,0.000117,0.000026,0.000013,0.000640,0.000027,0.000026,0.046503,0.012125,0.012124,0.005446,0.000001,0.065601,0.000098,0.043136,0.002501,0.000557,0.000194,0.000097,0.000000,0.010049,0.001490,0.000364,0.000137,0.065637,0.065773,0.065831,0.065831,0.709482,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087129,0.901481,,,0.087129,,1.000373,1.008363,1.436010,,,,,,,,,,,,,,,,,,,0.087129,0.901481,1.000373,1.008363,2.207700,0.449272,
3,barn1,FLOAT,12,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,432,381,15,0.000000,0.000842,0.000438,0.000117,0.000026,0.000013,0.000598,0.000026,0.000025,0.047171,0.012080,0.012079,0.005383,0.000001,0.066184,0.000099,0.043276,0.002925,0.000680,0.000213,0.000095,0.000000,0.010069,0.001502,0.000378,0.000124,0.066223,0.066320,0.066382,0.066382,0.709482,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100890,0.893216,,,,0.100890,1.002449,1.008363,1.622209,,,,,,,,,,,,,,,,,,,0.100890,0.893216,1.002449,1.008363,2.150897,0.446524,
4,conesQuarterSize,FLOAT,12,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256,450,375,15,0.000000,0.002749,0.005718,0.000527,0.000080,0.000016,0.006348,0.000033,0.000032,0.116833,0.026976,0.026974,0.010686,0.000001,0.163689,0.000085,0.095523,0.019507,0.001352,0.000352,0.000103,0.000000,0.021660,0.004418,0.000722,0.000198,0.163723,0.163809,0.163865,0.163865,1.526271,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101494,0.866609,,0.101494,0.101494,,1.003723,1.007304,1.329053,,,,,,,,,,,,,,,,,,,0.101494,0.866609,1.003723,1.007304,2.104034,0.501330,
4,conesQuarterSize,FLOAT,12,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,450,375,15,0.000000,0.002471,0.005875,0.000568,0.000092,0.000026,0.006564,0.000045,0.000044,0.117005,0.027848,0.027846,0.010936,0.000001,0.164868,0.000102,0.095432,0.019578,0.001340,0.000422,0.000169,0.000000,0.022104,0.004717,0.000797,0.000231,0.164907,0.165005,0.165062,0.165062,1.526271,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110615,0.873698,,0.110615,,0.110615,0.998788,1.007304,1.374971,,,,,,,,,,,,,,,,,,,0.110615,0.873698,0.998788,1.007304,2.067433,0.498972,
