Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,12,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256,192,144,15,0.000000,0.000027,0.000016,0.000007,0.000006,0.000005,0.000035,0.000006,0.000006,0.000387,0.000101,0.000101,0.000029,0.000000,0.000585,0.000006,0.000221,0.000071,0.000039,0.000027,0.000030,0.000000,0.000044,0.000016,0.000014,0.000027,0.000598,0.000606,0.000611,0.000611,0.009735,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.948390,1.075855,0.948390,,0.948390,,1.244878,2.482081,1.000000,3.569042,,,,,,,,,,,,,,,,,,,,,0.948390,1.075855,1.244878,2.482081,0.786639,0.633583,
0,tsukubaSetHalfSize,FLOAT,12,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,192,144,15,0.000000,0.000031,0.000018,0.000011,0.000013,0.000009,0.000051,0.000016,0.000016,0.001175,0.000176,0.000176,0.000036,0.000000,0.001488,0.000008,0.000743,0.000222,0.000091,0.000057,0.000055,0.000000,0.000061,0.000030,0.000044,0.000040,0.001503,0.001511,0.001516,0.001516,0.009735,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.852665,1.123541,0.852665,,,0.852665,0.993089,2.482081,1.000000,3.652841,,,,,,,,,,,,,,,,,,,,,0.852665,1.123541,0.993089,2.482081,1.251168,0.608644,
1,tsukubaSet,FLOAT,12,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,384,288,15,0.000001,0.000230,0.000144,0.000030,0.000011,0.000020,0.000206,0.000039,0.000039,0.005698,0.002212,0.002211,0.000717,0.000000,0.009113,0.000090,0.004877,0.000531,0.000161,0.000074,0.000057,0.000000,0.001507,0.000482,0.000129,0.000085,0.009152,0.009245,0.009288,0.009288,0.095938,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.242178,1.243912,0.242178,,0.242178,,0.916920,1.269611,1.000000,2.402214,,,,,,,,,,,,,,,,,,,,,0.242178,1.243912,0.916920,1.269611,2.368682,0.258196,
1,tsukubaSet,FLOAT,12,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,384,288,15,0.000001,0.000238,0.000147,0.000032,0.000012,0.000021,0.000211,0.000049,0.000049,0.008135,0.002207,0.002206,0.000722,0.000001,0.011607,0.000090,0.006519,0.001066,0.000345,0.000107,0.000082,0.000000,0.001498,0.000490,0.000131,0.000083,0.011646,0.011744,0.011792,0.011792,0.095938,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.293799,1.271429,0.293799,,,0.293799,0.964105,1.269611,1.000000,3.025427,,,,,,,,,,,,,,,,,,,,,0.293799,1.271429,0.964105,1.269611,2.133608,0.302714,
2,venus,FLOAT,12,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256,434,383,15,0.000001,0.000603,0.000234,0.000066,0.000017,0.000007,0.000324,0.000012,0.000012,0.029585,0.006673,0.006672,0.003406,0.000001,0.040620,0.000100,0.027291,0.001681,0.000419,0.000131,0.000052,0.000000,0.005765,0.000678,0.000164,0.000057,0.040649,0.040749,0.040808,0.040808,0.395901,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090681,1.107754,0.090681,,0.090681,,1.016074,1.027248,1.000000,1.562928,,,,,,,,,,,,,,,,,,,,,0.090681,1.107754,1.016074,1.027248,3.536888,0.425758,
2,venus,FLOAT,12,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,434,383,15,0.000000,0.000503,0.000202,0.000057,0.000017,0.000011,0.000288,0.000019,0.000019,0.030358,0.006948,0.006947,0.003572,0.000001,0.041700,0.000114,0.027938,0.001687,0.000443,0.000160,0.000087,0.000000,0.005907,0.000760,0.000208,0.000075,0.041738,0.041851,0.041920,0.041920,0.395901,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134088,1.105438,0.134088,,,0.134088,0.999368,1.027248,1.000000,1.804099,,,,,,,,,,,,,,,,,,,,,0.134088,1.105438,0.999368,1.027248,3.166477,0.433679,
3,barn1,FLOAT,12,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,432,381,15,0.000000,0.000774,0.000452,0.000115,0.000026,0.000013,0.000605,0.000027,0.000026,0.046224,0.011929,0.011928,0.005406,0.000001,0.065021,0.000098,0.042897,0.002512,0.000535,0.000182,0.000091,0.000000,0.009973,0.001471,0.000366,0.000121,0.065055,0.065153,0.065209,0.065209,0.716350,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087960,0.892839,,,0.087960,,1.004611,1.015747,1.000000,1.457121,,,,,,,,,,,,,,,,,,,,,0.087960,0.892839,1.004611,1.015747,2.211928,0.447497,
3,barn1,FLOAT,12,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,432,381,15,0.000000,0.000772,0.000450,0.000117,0.000026,0.000013,0.000606,0.000026,0.000025,0.047296,0.011943,0.011943,0.005356,0.000001,0.066027,0.000100,0.043077,0.003195,0.000687,0.000215,0.000091,0.000000,0.009992,0.001464,0.000362,0.000119,0.066061,0.066167,0.066236,0.066236,0.716350,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101112,0.884653,,,,0.101112,1.004808,1.015747,1.000000,1.615532,,,,,,,,,,,,,,,,,,,,,0.101112,0.884653,1.004808,1.015747,2.152450,0.445543,
4,conesQuarterSize,FLOAT,12,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256,450,375,15,0.000000,0.002670,0.005460,0.000531,0.000080,0.000015,0.006089,0.000033,0.000032,0.115616,0.026269,0.026268,0.010506,0.000001,0.161214,0.000084,0.094777,0.019152,0.001294,0.000318,0.000096,0.000000,0.020953,0.004404,0.000714,0.000203,0.161246,0.161332,0.161388,0.161388,1.517762,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103052,0.871467,,0.103052,0.103052,,1.000960,1.014173,1.000000,1.312221,,,,,,,,,,,,,,,,,,,,,0.103052,0.871467,1.000960,1.014173,2.105124,0.522500,
4,conesQuarterSize,FLOAT,12,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,450,375,15,0.000000,0.002310,0.005777,0.000578,0.000088,0.000025,0.006473,0.000044,0.000043,0.116316,0.027502,0.027501,0.010843,0.000001,0.163467,0.000104,0.095083,0.019351,0.001348,0.000406,0.000153,0.000000,0.021897,0.004578,0.000797,0.000226,0.163503,0.163616,0.163675,0.163675,1.517762,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111552,0.878596,,0.111552,,0.111552,0.993522,1.014173,1.000000,1.372178,,,,,,,,,,,,,,,,,,,,,0.111552,0.878596,0.993522,1.014173,2.080875,0.509813,
