Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,192,16,8,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,24,AVX256,192,144,15,0.000000,0.000020,0.000019,0.000019,0.000017,0.000017,0.000072,0.000018,0.000018,0.000395,0.000135,0.000135,0.000033,0.000000,0.000679,0.000014,0.000127,0.000080,0.000065,0.000058,0.000065,0.000000,0.000031,0.000033,0.000028,0.000042,0.000690,0.000704,0.000710,0.000710,0.011478,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.816646,0.912419,0.816646,,0.816646,,754.024595,1.485287,1.000000,1.563479,,,,,,,,,,,,,,,,,,,,,0.816646,0.912419,754.024595,1.485287,1.020600,0.864794,
0,tsukubaSetHalfSize,FLOAT,192,16,8,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,24,AVX256,192,144,15,0.000000,0.000016,0.000019,0.000018,0.000017,0.000016,0.000071,0.000018,0.000018,0.000739,0.000146,0.000145,0.000032,0.000000,0.001022,0.000014,0.000361,0.000145,0.000094,0.000067,0.000064,0.000000,0.000037,0.000033,0.000027,0.000047,0.001035,0.001049,0.001054,0.001054,0.011478,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.226962,0.952860,1.226962,,,1.226962,3.230080,1.485287,1.000000,2.365345,,,,,,,,,,,,,,,,,,,,,1.226962,0.952860,3.230080,1.485287,1.242385,0.549325,
1,tsukubaSet,FLOAT,192,64,16,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,24,AVX512,384,288,15,0.000000,0.000072,0.000044,0.000029,0.000026,0.000027,0.000126,0.000027,0.000027,0.001151,0.000412,0.000412,0.000073,0.000000,0.001866,0.000034,0.000568,0.000229,0.000130,0.000112,0.000104,0.000000,0.000219,0.000078,0.000046,0.000060,0.001883,0.001916,0.001935,0.001935,0.101174,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.162439,1.179545,1.162439,,1.162439,,2.144341,1.735532,1.106529,2.273364,,,,,,,,,,,,,,,,,,,,,1.162439,1.179545,2.144341,1.728079,0.925845,0.649467,
1,tsukubaSet,FLOAT,192,16,8,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,384,288,15,0.000000,0.000061,0.000099,0.000082,0.000088,0.000086,0.000353,0.000088,0.000088,0.002065,0.000525,0.000525,0.000140,0.000000,0.003232,0.000077,0.000749,0.000527,0.000316,0.000237,0.000232,0.000000,0.000205,0.000113,0.000098,0.000116,0.003246,0.003323,0.003344,0.003344,0.101174,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.036080,1.205638,1.036080,,,1.036080,160.299208,1.561712,1.000000,1.700679,,,,,,,,,,,,,,,,,,,,,1.036080,1.205638,160.299208,1.728079,1.292013,0.735918,
2,venus,FLOAT,192,64,16,YES,sockets,true,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,434,383,15,0.000000,0.000086,0.000070,0.000049,0.000039,0.000051,0.000211,0.000089,0.000089,0.002282,0.000434,0.000434,0.000124,0.000000,0.003262,0.000042,0.001062,0.000500,0.000311,0.000226,0.000185,0.000000,0.000188,0.000101,0.000069,0.000075,0.003277,0.003320,0.003352,0.003352,0.331150,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.103831,1.324359,1.103831,,1.103831,,179.246175,1.193298,1.040831,2.258428,,,,,,,,,,,,,,,,,,,,,1.103831,1.324359,179.246175,1.193298,1.169338,0.664492,
2,venus,FLOAT,192,64,16,YES,sockets,true,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,434,383,15,0.000000,0.000076,0.000087,0.000075,0.000074,0.000082,0.000319,0.000121,0.000121,0.002709,0.000532,0.000532,0.000149,0.000000,0.003874,0.000068,0.001087,0.000580,0.000406,0.000300,0.000302,0.000000,0.000177,0.000111,0.000097,0.000143,0.003900,0.003970,0.004000,0.004000,0.331150,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.405090,1.321590,1.405090,,,1.405090,132.776008,1.193298,1.027491,1.904972,,,,,,,,,,,,,,,,,,,,,1.405090,1.321590,132.776008,1.193298,1.280451,0.667583,
3,barn1,FLOAT,192,64,16,YES,sockets,true,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,432,381,15,0.000000,0.000129,0.000086,0.000055,0.000048,0.000061,0.000254,0.000175,0.000175,0.003041,0.000764,0.000763,0.000136,0.000000,0.004514,0.000045,0.001475,0.000653,0.000371,0.000263,0.000279,0.000000,0.000397,0.000139,0.000091,0.000136,0.004529,0.004581,0.004615,0.004615,0.542766,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.242901,1.178381,,,1.242901,,130.196673,1.084214,1.064148,2.117206,,,,,,,,,,,,,,,,,,,,,1.242901,1.178381,130.196673,1.084214,1.305155,0.706497,
3,barn1,FLOAT,192,64,16,YES,sockets,true,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,432,381,15,0.000000,0.000105,0.000099,0.000083,0.000092,0.000102,0.000377,0.000153,0.000152,0.003190,0.000879,0.000879,0.000169,0.000000,0.004879,0.000073,0.001346,0.000699,0.000431,0.000349,0.000371,0.000000,0.000323,0.000139,0.000162,0.000243,0.004895,0.004969,0.005003,0.005003,0.542766,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.338521,1.167577,,,,1.338521,105.927795,1.084214,1.046214,2.106883,,,,,,,,,,,,,,,,,,,,,1.338521,1.167577,105.927795,1.084214,1.249485,0.726629,
4,conesQuarterSize,FLOAT,192,16,8,YES,sockets,true,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,450,375,15,0.000000,0.000427,0.000180,0.000115,0.000134,0.000150,0.000577,0.000320,0.000320,0.005886,0.002042,0.002041,0.000224,0.000000,0.009401,0.000086,0.003195,0.001414,0.000536,0.000439,0.000322,0.000000,0.000880,0.000301,0.000287,0.000564,0.009417,0.009504,0.009541,0.009541,1.111062,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.743190,1.190465,,1.743190,1.743190,,64.368827,1.046237,1.000000,1.911923,,,,,,,,,,,,,,,,,,,,,1.743190,1.190465,64.368827,0.996146,1.281784,0.792628,
4,conesQuarterSize,FLOAT,192,64,16,YES,sockets,true,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000000,0.000237,0.000170,0.000121,0.000139,0.000150,0.000580,0.000293,0.000293,0.005944,0.002124,0.002123,0.000200,0.000000,0.009374,0.000080,0.002974,0.001228,0.000646,0.000500,0.000556,0.000000,0.000927,0.000364,0.000270,0.000578,0.009390,0.009469,0.009504,0.009504,1.111062,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.921127,1.200203,,1.921127,,1.921127,56.707977,0.896500,1.050285,2.067125,,,,,,,,,,,,,,,,,,,,,1.921127,1.200203,56.707977,0.996146,1.116968,0.733052,
