Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,64,16,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,12,AVX512,192,144,0.000000,0.000019,0.000017,0.000011,0.000011,0.000010,YES,YES,YES,YES,YES,0.000049,0.000011,0.000010,0.000329,0.000105,0.000104,YES,0.000026,0.000000,0.000540,0.000011,0.000132,0.000063,0.000049,0.000045,0.000037,YES,YES,YES,YES,YES,0.000000,0.000037,0.000019,0.000021,0.000028,YES,YES,YES,YES,YES,0.000553,0.000563,0.000568,0.000568,0.010546,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.019782,0.993096,1.019782,2.633978,1.952375,1.117795,1.865364,0.749027,0.928429,1.019782,0.993096,2.633978,1.952375,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX512,192,144,0.000000,0.000016,0.000019,0.000016,0.000015,0.000014,YES,YES,YES,YES,YES,0.000064,0.000020,0.000020,0.000775,0.000142,0.000142,YES,0.000087,0.000000,0.001077,0.000014,0.000403,0.000153,0.000099,0.000064,0.000048,YES,YES,YES,YES,YES,0.000000,0.000039,0.000027,0.000025,0.000049,YES,YES,YES,YES,YES,0.001091,0.001105,0.001109,0.001109,0.012219,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.165606,0.895091,1.165606,1.450421,No Data,1.163254,1.598575,0.722415,1.059672,1.165606,0.895091,1.450421,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX512,384,288,0.000000,0.000053,0.000037,0.000020,0.000018,0.000019,YES,YES,YES,YES,YES,0.000094,0.000034,0.000034,0.000949,0.000350,0.000350,YES,0.000065,0.000000,0.001541,0.000018,0.000515,0.000186,0.000092,0.000079,0.000075,YES,YES,YES,YES,YES,0.000000,0.000206,0.000070,0.000032,0.000043,YES,YES,YES,YES,YES,0.001554,0.001572,0.001588,0.001588,0.094799,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.416763,1.258869,1.416763,1.357060,1.585440,1.073240,2.160575,0.695384,0.983162,1.416763,1.258869,1.357060,1.585440,
1,tsukubaSet,FLOAT,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,72,AVX512,384,288,0.000000,0.000044,0.000044,0.000036,0.000039,0.000044,YES,YES,YES,YES,YES,0.000167,0.000072,0.000072,0.001590,0.000498,0.000497,YES,0.000079,0.000000,0.002457,0.000033,0.000754,0.000338,0.000192,0.000168,0.000146,YES,YES,YES,YES,YES,0.000000,0.000205,0.000088,0.000078,0.000123,YES,YES,YES,YES,YES,0.002471,0.002502,0.002517,0.002517,0.092320,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.376367,1.321260,1.376367,1.099458,No Data,1.125484,2.155876,0.646787,1.179629,1.376367,1.321260,1.099458,No Data,
2,venus,FLOAT,64,16,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,434,383,0.000000,0.000073,0.000051,0.000032,0.000028,0.000040,YES,YES,YES,YES,YES,0.000153,0.000079,0.000079,0.001878,0.000385,0.000385,YES,0.000091,0.000000,0.002663,0.000029,0.000978,0.000397,0.000217,0.000148,0.000136,YES,YES,YES,YES,YES,0.000000,0.000176,0.000078,0.000051,0.000081,YES,YES,YES,YES,YES,0.002678,0.002707,0.002732,0.002732,0.308665,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.354255,1.420830,1.354255,1.090189,1.206984,1.020469,2.378867,0.653087,1.189222,1.354255,1.420830,1.090189,1.206984,
2,venus,FLOAT,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,434,383,0.000000,0.000068,0.000060,0.000049,0.000050,0.000065,YES,YES,YES,YES,YES,0.000223,0.000104,0.000104,0.002208,0.000503,0.000503,YES,0.000114,0.000000,0.003216,0.000043,0.001043,0.000463,0.000269,0.000204,0.000223,YES,YES,YES,YES,YES,0.000000,0.000155,0.000096,0.000093,0.000155,YES,YES,YES,YES,YES,0.003230,0.003273,0.003298,0.003298,0.308395,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.704314,1.419103,1.704314,0.993748,No Data,1.064698,2.451470,0.620859,1.150395,1.704314,1.419103,0.993748,No Data,
3,barn1,FLOAT,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,432,381,0.000000,0.000095,0.000080,0.000053,0.000060,0.000071,YES,YES,YES,YES,YES,0.000267,0.000115,0.000115,0.002348,0.000827,0.000827,YES,0.000124,0.000000,0.003784,0.000043,0.001027,0.000512,0.000320,0.000224,0.000266,YES,YES,YES,YES,YES,0.000000,0.000308,0.000135,0.000133,0.000257,YES,YES,YES,YES,YES,0.003800,0.003843,0.003868,0.003868,0.522435,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.482994,1.224238,No Data,0.996373,1.096217,1.004688,2.673798,0.639091,1.252622,1.482994,1.224238,0.996373,1.096217,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,432,381,0.000000,0.000097,0.000083,0.000054,0.000062,0.000076,YES,YES,YES,YES,YES,0.000275,0.000118,0.000118,0.002686,0.000853,0.000852,YES,0.000128,0.000000,0.004155,0.000044,0.001297,0.000573,0.000322,0.000238,0.000264,YES,YES,YES,YES,YES,0.000000,0.000325,0.000149,0.000139,0.000238,YES,YES,YES,YES,YES,0.004169,0.004214,0.004240,0.004240,0.527589,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.579597,1.201164,No Data,1.015991,No Data,1.075335,2.883269,0.562529,1.214129,1.579597,1.201164,1.015991,No Data,
4,conesQuarterSize,FLOAT,16,8,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX256,450,375,0.000000,0.000428,0.000209,0.000112,0.000100,0.000112,YES,YES,YES,YES,YES,0.000535,0.000196,0.000196,0.004980,0.002293,0.002293,YES,0.000183,0.000000,0.008633,0.000047,0.002822,0.001189,0.000463,0.000278,0.000208,YES,YES,YES,YES,YES,0.000000,0.001118,0.000377,0.000336,0.000449,YES,YES,YES,YES,YES,0.008652,0.008698,0.008731,0.008731,1.139884,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.904831,1.160363,No Data,1.030766,1.093196,1.000000,2.518973,0.572865,1.398563,1.904831,1.160363,1.030766,1.083803,
4,conesQuarterSize,FLOAT,64,16,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,450,375,0.000000,0.000368,0.000203,0.000118,0.000100,0.000111,YES,YES,YES,YES,YES,0.000537,0.000178,0.000177,0.005347,0.002698,0.002697,YES,0.000173,0.000000,0.009365,0.000047,0.002838,0.001214,0.000518,0.000326,0.000456,YES,YES,YES,YES,YES,0.000000,0.001335,0.000474,0.000333,0.000547,YES,YES,YES,YES,YES,0.009385,0.009432,0.009463,0.009463,1.142451,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.929481,1.167227,No Data,1.006875,No Data,1.008667,2.511064,0.514959,1.364705,1.929481,1.167227,1.006875,No Data,
