Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,22,AVX256,192,144,0.000000,0.000029,0.000024,0.000021,0.000021,0.000014,YES,YES,YES,YES,YES,0.000082,0.000020,0.000019,0.000361,0.000165,0.000165,YES,0.000037,0.000000,0.000694,0.000015,0.000136,0.000076,0.000055,0.000044,0.000048,YES,YES,YES,YES,YES,0.000000,0.000043,0.000030,0.000034,0.000055,YES,YES,YES,YES,YES,0.000709,0.000726,0.000732,0.000732,0.010069,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.791393,1.040089,0.791393,1179.682959,1.931914,1.000000,1.570354,0.998840,1.113633,0.791393,1.040089,1179.682959,1.538097,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,22,AVX512,192,144,0.000000,0.000024,0.000019,0.000017,0.000017,0.000015,YES,YES,YES,YES,YES,0.000070,0.000021,0.000021,0.000714,0.000162,0.000161,YES,0.000097,0.000000,0.001094,0.000013,0.000365,0.000138,0.000086,0.000073,0.000052,YES,YES,YES,YES,YES,0.000000,0.000049,0.000033,0.000030,0.000048,YES,YES,YES,YES,YES,0.001108,0.001122,0.001126,0.001126,0.010557,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.148195,1.036047,1.148195,2.248808,No Data,1.256042,1.535290,0.718396,1.093054,1.148195,1.036047,2.248808,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,22,AVX512,384,288,0.000000,0.000056,0.000042,0.000021,0.000017,0.000022,YES,YES,YES,YES,YES,0.000102,0.000031,0.000031,0.000968,0.000368,0.000367,YES,0.000063,0.000000,0.001600,0.000015,0.000535,0.000190,0.000086,0.000071,0.000082,YES,YES,YES,YES,YES,0.000000,0.000194,0.000068,0.000041,0.000063,YES,YES,YES,YES,YES,0.001613,0.001627,0.001644,0.001644,0.081053,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.368531,1.472358,1.368531,2.030805,1.779685,1.243250,2.130793,0.586116,0.971200,1.368531,1.472358,2.030805,1.779685,
1,tsukubaSet,FLOAT,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX512,384,288,0.000000,0.000070,0.000067,0.000055,0.000058,0.000054,YES,YES,YES,YES,YES,0.000233,0.000078,0.000077,0.001880,0.000494,0.000493,YES,0.000094,0.000000,0.002846,0.000041,0.000848,0.000434,0.000223,0.000189,0.000179,YES,YES,YES,YES,YES,0.000000,0.000183,0.000112,0.000083,0.000114,YES,YES,YES,YES,YES,0.002865,0.002905,0.002925,0.002925,0.081445,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.184400,1.497685,1.184400,1.288131,No Data,1.190333,1.745654,0.663173,1.164901,1.184400,1.497685,1.288131,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,44,AVX256,434,383,0.000000,0.000141,0.000083,0.000043,0.000038,0.000044,YES,YES,YES,YES,YES,0.000211,0.000080,0.000079,0.002138,0.000552,0.000552,YES,0.000117,0.000000,0.003225,0.000030,0.001201,0.000477,0.000208,0.000137,0.000109,YES,YES,YES,YES,YES,0.000000,0.000303,0.000089,0.000077,0.000084,YES,YES,YES,YES,YES,0.003240,0.003269,0.003305,0.003305,0.288877,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.119694,1.518160,1.119694,263.834086,1.231772,1.000000,1.580461,0.724572,1.142795,1.119694,1.518160,263.834086,1.103396,
2,venus,FLOAT,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX512,434,383,0.000000,0.000093,0.000072,0.000054,0.000054,0.000068,YES,YES,YES,YES,YES,0.000248,0.000114,0.000114,0.002524,0.000486,0.000485,YES,0.000105,0.000000,0.003560,0.000043,0.001222,0.000564,0.000290,0.000221,0.000214,YES,YES,YES,YES,YES,0.000000,0.000200,0.000087,0.000085,0.000112,YES,YES,YES,YES,YES,0.003576,0.003618,0.003647,0.003647,0.289859,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.541411,1.509851,1.541411,239.669637,No Data,1.116346,1.682321,0.645784,1.090893,1.541411,1.509851,239.669637,No Data,
3,barn1,FLOAT,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,44,AVX512,432,381,0.000000,0.000184,0.000086,0.000043,0.000041,0.000049,YES,YES,YES,YES,YES,0.000221,0.000121,0.000120,0.002783,0.000919,0.000919,YES,0.000128,0.000000,0.004350,0.000029,0.001556,0.000584,0.000262,0.000162,0.000218,YES,YES,YES,YES,YES,0.000000,0.000565,0.000118,0.000101,0.000119,YES,YES,YES,YES,YES,0.004369,0.004397,0.004426,0.004426,0.487553,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.295910,1.311827,No Data,197.158952,1.045137,1.067611,1.773666,0.752765,1.219840,1.295910,1.311827,197.158952,1.045137,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX512,432,381,0.000000,0.000140,0.000088,0.000058,0.000065,0.000084,YES,YES,YES,YES,YES,0.000294,0.000155,0.000155,0.002869,0.000941,0.000941,YES,0.000117,0.000000,0.004538,0.000043,0.001423,0.000607,0.000323,0.000249,0.000267,YES,YES,YES,YES,YES,0.000000,0.000460,0.000130,0.000130,0.000221,YES,YES,YES,YES,YES,0.004554,0.004597,0.004626,0.004626,0.486831,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.447788,1.301726,No Data,188.700773,No Data,1.066697,1.817095,0.712321,1.122575,1.447788,1.301726,188.700773,No Data,
4,conesQuarterSize,FLOAT,64,16,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX512,450,375,0.000000,0.000274,0.000153,0.000114,0.000121,0.000141,YES,YES,YES,YES,YES,0.000530,0.000281,0.000280,0.004467,0.002240,0.002240,YES,0.000152,0.000000,0.007918,0.000041,0.002253,0.000967,0.000434,0.000344,0.000483,YES,YES,YES,YES,YES,0.000000,0.001269,0.000323,0.000233,0.000411,YES,YES,YES,YES,YES,0.007935,0.007977,0.008008,0.008008,1.057347,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.076930,1.250942,No Data,108.875450,1.063223,1.077292,1.902828,0.731813,1.169119,2.076930,1.250942,108.875450,1.035128,
4,conesQuarterSize,FLOAT,16,8,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,132,AVX256,450,375,0.000000,0.000289,0.000203,0.000116,0.000150,0.000139,YES,YES,YES,YES,YES,0.000605,0.000247,0.000247,0.004961,0.001897,0.001896,YES,0.000184,0.000000,0.008182,0.000059,0.002504,0.001348,0.000474,0.000359,0.000275,YES,YES,YES,YES,YES,0.000000,0.000927,0.000334,0.000298,0.000359,YES,YES,YES,YES,YES,0.008199,0.008258,0.008289,0.008289,1.052325,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.202734,1.267195,No Data,105.650568,No Data,1.000000,1.930674,0.602063,1.134153,2.202734,1.267195,105.650568,No Data,
