Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,22,AVX256,192,144,0.000000,0.000023,0.000022,0.000018,0.000017,0.000014,YES,YES,YES,YES,YES,0.000072,0.000018,0.000018,0.000380,0.000156,0.000155,YES,0.000033,0.000000,0.000683,0.000014,0.000128,0.000084,0.000060,0.000052,0.000056,YES,YES,YES,YES,YES,0.000000,0.000046,0.000039,0.000031,0.000038,YES,YES,YES,YES,YES,0.000697,0.000712,0.000716,0.000716,0.010008,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.808983,1.046445,0.808983,1210.596187,1.940731,1.000000,1.507121,0.992751,1.037738,0.808983,1.046445,1210.596187,1.593028,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,22,AVX512,192,144,0.000000,0.000025,0.000019,0.000016,0.000016,0.000013,YES,YES,YES,YES,YES,0.000065,0.000020,0.000020,0.000771,0.000173,0.000172,YES,0.000051,0.000000,0.001107,0.000014,0.000407,0.000146,0.000091,0.000076,0.000053,YES,YES,YES,YES,YES,0.000000,0.000051,0.000036,0.000033,0.000048,YES,YES,YES,YES,YES,0.001124,0.001137,0.001141,0.001141,0.010648,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.133245,1.027163,1.133245,2.157320,No Data,1.218266,1.528656,0.711678,1.104033,1.133245,1.027163,2.157320,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,22,AVX512,384,288,0.000000,0.000057,0.000046,0.000024,0.000024,0.000024,YES,YES,YES,YES,YES,0.000118,0.000029,0.000029,0.001024,0.000371,0.000370,YES,0.000068,0.000000,0.001671,0.000018,0.000549,0.000201,0.000100,0.000086,0.000091,YES,YES,YES,YES,YES,0.000000,0.000212,0.000072,0.000039,0.000048,YES,YES,YES,YES,YES,0.001687,0.001713,0.001731,0.001731,0.081029,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.299556,1.472798,1.299556,1.841706,1.822768,1.136892,2.093839,0.629792,0.906920,1.299556,1.472798,1.841706,1.663353,
1,tsukubaSet,FLOAT,16,8,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX256,384,288,0.000000,0.000073,0.000067,0.000056,0.000063,0.000050,YES,YES,YES,YES,YES,0.000235,0.000072,0.000072,0.001842,0.000483,0.000482,YES,0.000091,0.000000,0.002797,0.000041,0.000888,0.000410,0.000217,0.000173,0.000145,YES,YES,YES,YES,YES,0.000000,0.000188,0.000097,0.000101,0.000096,YES,YES,YES,YES,YES,0.002813,0.002854,0.002879,0.002879,0.082075,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.203365,1.486195,1.203365,1.445690,No Data,1.000000,1.431782,0.621603,1.022745,1.203365,1.486195,1.445690,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,44,AVX256,434,383,0.000000,0.000139,0.000077,0.000044,0.000039,0.000048,YES,YES,YES,YES,YES,0.000209,0.000086,0.000086,0.002170,0.000614,0.000613,YES,0.000115,0.000000,0.003327,0.000026,0.001226,0.000493,0.000215,0.000126,0.000096,YES,YES,YES,YES,YES,0.000000,0.000316,0.000100,0.000078,0.000119,YES,YES,YES,YES,YES,0.003342,0.003367,0.003396,0.003396,0.289989,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.089641,1.512336,1.089641,255.960134,1.151379,1.000000,1.554540,0.751586,1.101183,1.089641,1.512336,255.960134,1.151379,
2,venus,FLOAT,16,8,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,88,AVX256,434,383,0.000000,0.000122,0.000085,0.000059,0.000056,0.000064,YES,YES,YES,YES,YES,0.000265,0.000120,0.000120,0.002616,0.000578,0.000578,YES,0.000108,0.000000,0.003820,0.000042,0.001352,0.000599,0.000310,0.000200,0.000152,YES,YES,YES,YES,YES,0.000000,0.000255,0.000103,0.000094,0.000135,YES,YES,YES,YES,YES,0.003835,0.003878,0.003910,0.003910,0.289855,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.437525,1.509874,1.437525,221.521203,No Data,1.000000,1.509451,0.678104,1.168126,1.437525,1.509874,221.521203,No Data,
3,barn1,FLOAT,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,44,AVX512,432,381,0.000000,0.000182,0.000089,0.000064,0.000051,0.000060,YES,YES,YES,YES,YES,0.000266,0.000092,0.000091,0.002660,0.000865,0.000865,YES,0.000127,0.000000,0.004207,0.000028,0.001430,0.000600,0.000257,0.000165,0.000208,YES,YES,YES,YES,YES,0.000000,0.000489,0.000147,0.000108,0.000124,YES,YES,YES,YES,YES,0.004224,0.004251,0.004280,0.004280,0.486011,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.340288,1.315990,No Data,203.613892,1.139816,1.105616,1.753747,0.747778,1.119576,1.340288,1.315990,203.613892,1.139816,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,132,AVX512,432,381,0.000000,0.000101,0.000118,0.000090,0.000099,0.000088,YES,YES,YES,YES,YES,0.000390,0.000127,0.000126,0.002964,0.001018,0.001018,YES,0.000143,0.000000,0.004772,0.000059,0.001193,0.000684,0.000414,0.000315,0.000356,YES,YES,YES,YES,YES,0.000000,0.000392,0.000221,0.000177,0.000223,YES,YES,YES,YES,YES,0.004790,0.004851,0.004878,0.004878,0.487947,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.372989,1.298748,No Data,177.956776,No Data,1.001069,1.722435,0.745440,1.173023,1.372989,1.298748,177.956776,No Data,
4,conesQuarterSize,FLOAT,16,8,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,132,AVX256,450,375,0.000000,0.000306,0.000195,0.000125,0.000176,0.000188,YES,YES,YES,YES,YES,0.000688,0.000238,0.000238,0.004636,0.001835,0.001834,YES,0.000188,0.000000,0.007860,0.000060,0.002408,0.001164,0.000449,0.000356,0.000265,YES,YES,YES,YES,YES,0.000000,0.000903,0.000313,0.000268,0.000382,YES,YES,YES,YES,YES,0.007876,0.007936,0.007968,0.007968,1.055513,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.087294,1.253115,No Data,109.279179,1.074239,1.000000,1.772511,0.678151,1.146676,2.087294,1.253115,109.279179,1.067693,
4,conesQuarterSize,FLOAT,64,16,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,132,AVX512,450,375,0.000000,0.000256,0.000200,0.000129,0.000192,0.000183,YES,YES,YES,YES,YES,0.000698,0.000256,0.000255,0.005109,0.001941,0.001940,YES,0.000170,0.000000,0.008400,0.000059,0.002146,0.001148,0.000620,0.000482,0.000713,YES,YES,YES,YES,YES,0.000000,0.000810,0.000349,0.000280,0.000512,YES,YES,YES,YES,YES,0.008420,0.008478,0.008507,0.008507,1.053474,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.146206,1.265812,No Data,102.823010,No Data,1.006132,1.860700,0.652996,1.174560,2.146206,1.265812,102.823010,No Data,
