Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,176,64,16,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,22,AVX512,192,144,15,0.000000,0.000023,0.000019,0.000016,0.000016,0.000013,0.000064,0.000020,0.000020,0.000345,0.000148,0.000148,0.000028,0.000000,0.000626,0.000013,0.000106,0.000071,0.000053,0.000062,0.000051,0.000000,0.000039,0.000029,0.000029,0.000049,0.000639,0.000651,0.000656,0.000656,0.010654,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.883249,0.983065,0.883249,,0.883249,,2.269976,1.714750,1.013216,1.825629,,,,,,,,,,,,,,,,,,,,,0.883249,0.983065,2.269976,1.714750,1.021649,0.917834,
0,tsukubaSetHalfSize,FLOAT,176,64,16,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,44,AVX512,192,144,15,0.000000,0.000024,0.000030,0.000027,0.000028,0.000024,0.000110,0.000026,0.000025,0.000672,0.000198,0.000197,0.000044,0.000000,0.001079,0.000025,0.000235,0.000135,0.000098,0.000114,0.000088,0.000000,0.000046,0.000041,0.000042,0.000067,0.001093,0.001119,0.001125,0.001125,0.010654,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.149450,1.026638,1.149450,,,1.149450,1.362117,1.714750,1.062440,2.022861,,,,,,,,,,,,,,,,,,,,,1.149450,1.026638,1.362117,1.714750,1.413936,0.809854,
1,tsukubaSet,FLOAT,176,64,16,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,22,AVX512,384,288,15,0.000000,0.000070,0.000042,0.000022,0.000022,0.000021,0.000106,0.000028,0.000028,0.000968,0.000350,0.000349,0.000061,0.000000,0.001585,0.000016,0.000537,0.000186,0.000090,0.000073,0.000083,0.000000,0.000187,0.000065,0.000038,0.000057,0.001600,0.001613,0.001631,0.001631,0.087734,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.379453,1.360239,1.379453,,1.379453,,1.531516,1.670832,1.156323,2.218468,,,,,,,,,,,,,,,,,,,,,1.379453,1.360239,1.531516,1.631712,0.894158,0.579851,
1,tsukubaSet,FLOAT,176,16,8,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,44,AVX256,384,288,15,0.000000,0.000087,0.000048,0.000036,0.000041,0.000044,0.000172,0.000057,0.000057,0.001765,0.000433,0.000431,0.000081,0.000000,0.002596,0.000029,0.001016,0.000356,0.000175,0.000125,0.000094,0.000000,0.000207,0.000070,0.000069,0.000084,0.002610,0.002639,0.002661,0.002661,0.087734,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.302117,1.390330,1.302117,,,1.302117,1.028497,1.411122,1.000000,1.809335,,,,,,,,,,,,,,,,,,,,,1.302117,1.390330,1.028497,1.631712,1.107443,0.660213,
2,venus,FLOAT,176,16,8,YES,sockets,true,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,44,AVX256,434,383,15,0.000000,0.000130,0.000072,0.000041,0.000037,0.000046,0.000198,0.000079,0.000079,0.002013,0.000490,0.000490,0.000106,0.000000,0.003025,0.000028,0.001180,0.000435,0.000193,0.000116,0.000089,0.000000,0.000266,0.000082,0.000069,0.000074,0.003038,0.003065,0.003098,0.003098,0.306251,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.194579,1.432033,1.194579,,1.194579,,1.040655,1.100596,1.000000,2.084691,,,,,,,,,,,,,,,,,,,,,1.194579,1.432033,1.040655,1.100596,1.123265,0.620481,
2,venus,FLOAT,176,16,8,YES,sockets,true,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX256,434,383,15,0.000000,0.000112,0.000087,0.000061,0.000064,0.000071,0.000282,0.000118,0.000117,0.002121,0.000551,0.000549,0.000112,0.000000,0.003315,0.000050,0.001032,0.000468,0.000277,0.000193,0.000153,0.000000,0.000223,0.000094,0.000100,0.000130,0.003329,0.003378,0.003409,0.003409,0.306251,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.648684,1.429039,1.648684,,,1.648684,1.018179,1.100596,1.000000,2.187550,,,,,,,,,,,,,,,,,,,,,1.648684,1.429039,1.018179,1.100596,1.023948,0.677318,
3,barn1,FLOAT,176,64,16,YES,sockets,true,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,44,AVX512,432,381,15,0.000000,0.000181,0.000087,0.000053,0.000047,0.000056,0.000250,0.000105,0.000105,0.002787,0.000890,0.000889,0.000121,0.000000,0.004334,0.000028,0.001541,0.000630,0.000251,0.000157,0.000234,0.000000,0.000524,0.000123,0.000112,0.000128,0.004348,0.004377,0.004405,0.004405,0.497137,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.302164,1.286536,,,1.302164,,0.934135,1.012341,1.023529,2.122232,,,,,,,,,,,,,,,,,,,,,1.302164,1.286536,0.934135,1.012341,1.253307,0.748619,
3,barn1,FLOAT,176,64,16,YES,sockets,true,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX512,432,381,15,0.000000,0.000128,0.000092,0.000069,0.000076,0.000089,0.000326,0.000156,0.000155,0.002819,0.000827,0.000827,0.000117,0.000000,0.004363,0.000047,0.001354,0.000636,0.000306,0.000235,0.000282,0.000000,0.000381,0.000112,0.000139,0.000190,0.004381,0.004428,0.004459,0.004459,0.497137,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.501904,1.274741,,,,1.501904,1.034922,1.012341,1.022798,2.558319,,,,,,,,,,,,,,,,,,,,,1.501904,1.274741,1.034922,1.012341,1.173438,0.676423,
4,conesQuarterSize,FLOAT,176,64,16,YES,sockets,true,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX512,450,375,15,0.000000,0.000254,0.000129,0.000092,0.000117,0.000120,0.000472,0.000281,0.000281,0.003979,0.001813,0.001812,0.000149,0.000000,0.006945,0.000048,0.001935,0.000790,0.000433,0.000316,0.000493,0.000000,0.000838,0.000302,0.000251,0.000428,0.006959,0.007007,0.007042,0.007042,1.046497,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.361606,1.263911,,2.361606,2.361606,,1.021037,1.119126,1.039666,2.763241,,,,,,,,,,,,,,,,,,,,,2.361606,1.263911,1.021037,1.119126,1.113884,0.626236,
4,conesQuarterSize,FLOAT,176,64,16,YES,sockets,true,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX512,450,375,15,0.000000,0.000251,0.000132,0.000094,0.000106,0.000116,0.000453,0.000301,0.000301,0.004779,0.001858,0.001857,0.000154,0.000000,0.007779,0.000049,0.002633,0.000913,0.000435,0.000321,0.000477,0.000000,0.000853,0.000307,0.000253,0.000447,0.007793,0.007844,0.007881,0.007881,1.046497,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.316662,1.274251,,2.316662,,2.316662,1.009214,1.119126,1.033872,2.622106,,,,,,,,,,,,,,,,,,,,,2.316662,1.274251,1.009214,1.119126,1.199154,0.633521,
