Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,32,NEON,192,144,15,0.000000,0.000017,0.000014,0.000011,0.000011,0.000011,0.000047,0.000007,0.000007,0.000406,0.000086,0.000085,0.000025,0.000000,0.000587,0.000011,0.000200,0.000082,0.000045,0.000038,0.000035,0.000000,0.000033,0.000020,0.000017,0.000014,0.000609,0.000620,0.000625,0.000625,0.026527,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.926885,0.394806,0.926885,,0.926885,,1.179182,1.573001,1.611036,,,,,,,,,,,,,,,,,,,0.926885,0.394806,1.179182,1.573001,0.901573,0.791675,
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0.000000,0.000014,0.000017,0.000015,0.000014,0.000017,0.000063,0.000009,0.000009,0.000722,0.000100,0.000100,0.000028,0.000000,0.000940,0.000015,0.000361,0.000160,0.000074,0.000063,0.000057,0.000000,0.000033,0.000026,0.000023,0.000017,0.000964,0.000978,0.000983,0.000983,0.026527,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.314936,0.412305,1.314936,,,1.314936,1.133385,1.573001,1.807094,,,,,,,,,,,,,,,,,,,1.314936,0.412305,1.133385,1.573001,0.988389,0.678697,
1,tsukubaSet,FLOAT,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000058,0.000036,0.000023,0.000021,0.000020,0.000101,0.000017,0.000016,0.001481,0.000296,0.000295,0.000076,0.000000,0.002031,0.000021,0.000869,0.000302,0.000143,0.000081,0.000075,0.000000,0.000161,0.000062,0.000036,0.000038,0.002064,0.002088,0.002108,0.002108,0.232459,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.067239,0.513377,1.067239,,1.067239,,1.016276,1.727479,2.768748,,,,,,,,,,,,,,,,,,,1.067239,0.513377,1.016276,1.727479,0.898022,0.491806,
1,tsukubaSet,FLOAT,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000056,0.000037,0.000024,0.000020,0.000020,0.000101,0.000017,0.000017,0.003007,0.000302,0.000302,0.000074,0.000000,0.003568,0.000022,0.001913,0.000630,0.000253,0.000112,0.000092,0.000000,0.000165,0.000063,0.000037,0.000038,0.003599,0.003621,0.003641,0.003641,0.232459,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.951559,0.524734,0.951559,,,0.951559,0.998898,1.727479,2.499684,,,,,,,,,,,,,,,,,,,0.951559,0.524734,0.998898,1.727479,0.937765,0.498937,
2,venus,FLOAT,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000092,0.000059,0.000034,0.000024,0.000022,0.000139,0.000025,0.000025,0.003883,0.000551,0.000550,0.000140,0.000000,0.004838,0.000037,0.002680,0.000689,0.000294,0.000122,0.000094,0.000000,0.000286,0.000148,0.000072,0.000045,0.004886,0.004922,0.004960,0.004960,0.607303,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.746033,0.722146,0.746033,,0.746033,,1.001911,1.160726,2.450780,,,,,,,,,,,,,,,,,,,0.746033,0.722146,1.001911,1.160726,1.017204,0.366930,
2,venus,FLOAT,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000092,0.000059,0.000035,0.000024,0.000022,0.000140,0.000026,0.000025,0.004693,0.000554,0.000553,0.000149,0.000000,0.005643,0.000036,0.003264,0.000831,0.000335,0.000139,0.000107,0.000000,0.000278,0.000143,0.000069,0.000054,0.005687,0.005723,0.005757,0.005757,0.607303,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.976290,0.720636,0.976290,,,0.976290,0.999952,1.160726,2.748605,,,,,,,,,,,,,,,,,,,0.976290,0.720636,0.999952,1.160726,1.024840,0.392804,
3,barn1,FLOAT,64,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000138,0.000106,0.000045,0.000032,0.000025,0.000207,0.000035,0.000034,0.006780,0.000931,0.000930,0.000580,0.000001,0.008678,0.000037,0.005064,0.001032,0.000402,0.000158,0.000113,0.000000,0.000560,0.000191,0.000098,0.000076,0.008724,0.008765,0.008795,0.008795,0.876146,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.652188,0.729998,,,0.652188,,0.997794,1.090276,2.080359,,,,,,,,,,,,,,,,,,,0.652188,0.729998,0.997794,1.090276,1.230625,0.398380,
3,barn1,FLOAT,64,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000141,0.000102,0.000045,0.000032,0.000024,0.000206,0.000035,0.000035,0.007568,0.000941,0.000940,0.000574,0.000001,0.009462,0.000038,0.005646,0.001165,0.000458,0.000172,0.000124,0.000000,0.000571,0.000193,0.000098,0.000074,0.009507,0.009557,0.009589,0.009589,0.876146,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.698457,0.723305,,,,0.698457,0.998847,1.090276,2.271740,,,,,,,,,,,,,,,,,,,0.698457,0.723305,0.998847,1.090276,1.203189,0.417633,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000310,0.000272,0.000089,0.000041,0.000030,0.000446,0.000058,0.000058,0.019163,0.003540,0.003539,0.001899,0.000001,0.025420,0.000035,0.015516,0.002340,0.000860,0.000262,0.000165,0.000000,0.002757,0.000483,0.000176,0.000113,0.025470,0.025507,0.025537,0.025537,1.932733,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651256,0.684357,,0.651256,0.651256,,1.000904,1.021796,1.649464,,,,,,,,,,,,,,,,,,,0.651256,0.684357,1.000904,1.021796,1.477384,0.506659,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000314,0.000281,0.000090,0.000043,0.000030,0.000446,0.000059,0.000058,0.019737,0.003549,0.003548,0.001864,0.000001,0.025983,0.000035,0.015864,0.002494,0.000914,0.000276,0.000174,0.000000,0.002751,0.000501,0.000175,0.000113,0.026029,0.026064,0.026094,0.026094,1.932733,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.699716,0.689956,,0.699716,,0.699716,0.999628,1.021796,1.738583,,,,,,,,,,,,,,,,,,,0.699716,0.689956,0.999628,1.021796,1.417878,0.514678,
