Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,32,NEON,192,144,15,0.000000,0.000010,0.000009,0.000008,0.000007,0.000008,0.000032,0.000004,0.000004,0.000265,0.000064,0.000064,0.000016,0.000000,0.000393,0.000007,0.000132,0.000053,0.000031,0.000025,0.000024,0.000000,0.000027,0.000015,0.000012,0.000009,0.000414,0.000422,0.000425,0.000425,0.016257,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.364398,0.644230,1.364398,,1.364398,,1.212041,1.721269,1.649210,,,,,,,,,,,,,,,,,,,1.364398,0.644230,1.212041,1.721269,0.936245,0.780335,
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0.000000,0.000009,0.000013,0.000011,0.000010,0.000012,0.000047,0.000006,0.000006,0.000545,0.000077,0.000077,0.000020,0.000000,0.000702,0.000011,0.000286,0.000124,0.000055,0.000042,0.000037,0.000000,0.000029,0.000021,0.000015,0.000012,0.000717,0.000728,0.000731,0.000731,0.016257,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.768887,0.672784,1.768887,,,1.768887,1.099670,1.721269,1.626267,,,,,,,,,,,,,,,,,,,1.768887,0.672784,1.099670,1.721269,1.039432,0.664400,
1,tsukubaSet,FLOAT,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000035,0.000027,0.000017,0.000016,0.000015,0.000076,0.000011,0.000011,0.001095,0.000237,0.000236,0.000049,0.000000,0.001506,0.000015,0.000667,0.000222,0.000100,0.000054,0.000049,0.000000,0.000132,0.000048,0.000032,0.000025,0.001529,0.001545,0.001558,0.001558,0.155735,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.444002,0.766293,1.444002,,1.444002,,0.993483,1.937787,2.792959,,,,,,,,,,,,,,,,,,,1.444002,0.766293,0.993483,1.937787,0.962634,0.516378,
1,tsukubaSet,FLOAT,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000035,0.000028,0.000018,0.000017,0.000015,0.000078,0.000011,0.000011,0.002550,0.000242,0.000241,0.000049,0.000000,0.002967,0.000015,0.001679,0.000527,0.000202,0.000082,0.000060,0.000000,0.000135,0.000048,0.000032,0.000026,0.002991,0.003005,0.003019,0.003019,0.155735,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.147753,0.783245,1.147753,,,1.147753,0.993511,1.937787,2.261377,,,,,,,,,,,,,,,,,,,1.147753,0.783245,0.993511,1.937787,0.986876,0.508862,
2,venus,FLOAT,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000056,0.000040,0.000026,0.000018,0.000016,0.000099,0.000013,0.000013,0.003520,0.000402,0.000402,0.000099,0.000000,0.004195,0.000021,0.002472,0.000631,0.000242,0.000095,0.000066,0.000000,0.000217,0.000099,0.000049,0.000035,0.004230,0.004249,0.004269,0.004269,0.429320,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.866757,1.021526,0.866757,,0.866757,,1.004932,1.102287,2.252450,,,,,,,,,,,,,,,,,,,0.866757,1.021526,1.004932,1.102287,1.042537,0.432151,
2,venus,FLOAT,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000055,0.000039,0.000024,0.000016,0.000016,0.000096,0.000014,0.000014,0.003959,0.000397,0.000396,0.000098,0.000000,0.004632,0.000020,0.002795,0.000709,0.000273,0.000103,0.000072,0.000000,0.000213,0.000098,0.000048,0.000036,0.004665,0.004686,0.004706,0.004706,0.429320,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.194410,1.019390,1.194410,,,1.194410,0.997565,1.102287,2.684532,,,,,,,,,,,,,,,,,,,1.194410,1.019390,0.997565,1.102287,1.035915,0.438183,
3,barn1,FLOAT,64,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000090,0.000092,0.000030,0.000019,0.000016,0.000161,0.000017,0.000016,0.005467,0.000757,0.000756,0.000266,0.000001,0.006776,0.000021,0.003935,0.000955,0.000356,0.000125,0.000083,0.000000,0.000477,0.000163,0.000068,0.000050,0.006811,0.006831,0.006851,0.006851,0.649061,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.837264,0.985401,,,0.837264,,1.000769,1.064803,2.078889,,,,,,,,,,,,,,,,,,,0.837264,0.985401,1.000769,1.064803,1.120541,0.425414,
3,barn1,FLOAT,64,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000001,0.000088,0.000095,0.000031,0.000019,0.000016,0.000163,0.000018,0.000018,0.005909,0.000765,0.000764,0.000269,0.000000,0.007215,0.000021,0.004236,0.001042,0.000390,0.000137,0.000092,0.000000,0.000484,0.000162,0.000068,0.000049,0.007255,0.007275,0.007295,0.007295,0.649061,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.918114,0.976366,,,,0.918114,0.999763,1.064803,2.278171,,,,,,,,,,,,,,,,,,,0.918114,0.976366,0.999763,1.064803,1.109967,0.428659,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000001,0.000229,0.000282,0.000072,0.000029,0.000020,0.000402,0.000036,0.000036,0.014301,0.002388,0.002387,0.001046,0.000001,0.018406,0.000022,0.010996,0.002098,0.000822,0.000224,0.000139,0.000000,0.001784,0.000383,0.000137,0.000081,0.018448,0.018470,0.018490,0.018490,1.618490,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.899458,0.817231,,0.899458,0.899458,,0.998334,1.028762,1.766405,,,,,,,,,,,,,,,,,,,0.899458,0.817231,0.998334,1.028762,1.333286,0.471616,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000219,0.000240,0.000067,0.000029,0.000020,0.000362,0.000037,0.000037,0.014884,0.002387,0.002387,0.001054,0.000001,0.018940,0.000020,0.011435,0.002204,0.000854,0.000233,0.000142,0.000000,0.001788,0.000379,0.000135,0.000079,0.018982,0.019002,0.019022,0.019022,1.618490,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.959843,0.823916,,0.959843,,0.959843,1.002955,1.028762,1.821736,,,,,,,,,,,,,,,,,,,0.959843,0.823916,1.002955,1.028762,1.325399,0.473544,
