Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,32,NEON,192,144,15,0.000000,0.000010,0.000009,0.000008,0.000008,0.000008,0.000033,0.000004,0.000004,0.000267,0.000063,0.000063,0.000017,0.000000,0.000394,0.000007,0.000132,0.000053,0.000031,0.000025,0.000025,0.000000,0.000027,0.000015,0.000011,0.000010,0.000412,0.000419,0.000423,0.000423,0.016112,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.371299,0.650038,1.371299,,1.371299,,1.202927,1.696013,1.680933,,,,,,,,,,,,,,,,,,,1.371299,0.650038,1.202927,1.696013,0.917118,0.786736,
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0.000000,0.000009,0.000012,0.000011,0.000010,0.000011,0.000045,0.000006,0.000005,0.000532,0.000076,0.000075,0.000020,0.000000,0.000687,0.000010,0.000282,0.000121,0.000053,0.000040,0.000036,0.000000,0.000028,0.000020,0.000015,0.000013,0.000703,0.000713,0.000717,0.000717,0.016112,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.804308,0.678849,1.804308,,,1.804308,1.065408,1.696013,1.710475,,,,,,,,,,,,,,,,,,,1.804308,0.678849,1.065408,1.696013,0.991124,0.668070,
1,tsukubaSet,FLOAT,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000035,0.000026,0.000016,0.000015,0.000014,0.000073,0.000011,0.000010,0.001069,0.000235,0.000235,0.000048,0.000000,0.001475,0.000014,0.000658,0.000216,0.000095,0.000052,0.000044,0.000000,0.000136,0.000048,0.000026,0.000025,0.001499,0.001513,0.001526,0.001526,0.154581,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.473641,0.772016,1.473641,,1.473641,,1.001828,1.947999,2.865371,,,,,,,,,,,,,,,,,,,1.473641,0.772016,1.001828,1.947999,0.946335,0.514676,
1,tsukubaSet,FLOAT,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000035,0.000025,0.000017,0.000015,0.000015,0.000072,0.000011,0.000011,0.002523,0.000233,0.000233,0.000047,0.000000,0.002923,0.000014,0.001675,0.000512,0.000202,0.000077,0.000056,0.000000,0.000133,0.000049,0.000026,0.000023,0.002946,0.002960,0.002973,0.002973,0.154581,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.165171,0.789094,1.165171,,,1.165171,1.003493,1.947999,2.301825,,,,,,,,,,,,,,,,,,,1.165171,0.789094,1.003493,1.947999,0.980989,0.503053,
2,venus,FLOAT,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000055,0.000040,0.000024,0.000017,0.000016,0.000096,0.000013,0.000013,0.003505,0.000392,0.000392,0.000098,0.000000,0.004171,0.000019,0.002471,0.000631,0.000239,0.000094,0.000064,0.000000,0.000211,0.000095,0.000049,0.000036,0.004207,0.004226,0.004247,0.004247,0.428370,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871349,1.023791,0.871349,,0.871349,,0.998414,1.110314,2.269687,,,,,,,,,,,,,,,,,,,0.871349,1.023791,0.998414,1.110314,1.038810,0.430728,
2,venus,FLOAT,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000001,0.000056,0.000040,0.000025,0.000017,0.000016,0.000097,0.000013,0.000013,0.003961,0.000402,0.000402,0.000103,0.000000,0.004634,0.000021,0.002793,0.000710,0.000273,0.000103,0.000074,0.000000,0.000214,0.000098,0.000049,0.000036,0.004674,0.004695,0.004715,0.004715,0.428370,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.192056,1.021651,1.192056,,,1.192056,0.992343,1.110314,2.679296,,,,,,,,,,,,,,,,,,,1.192056,1.021651,0.992343,1.110314,1.042072,0.442145,
3,barn1,FLOAT,64,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000001,0.000090,0.000094,0.000030,0.000020,0.000017,0.000161,0.000017,0.000017,0.005490,0.000752,0.000751,0.000271,0.000000,0.006777,0.000022,0.003940,0.000961,0.000358,0.000128,0.000084,0.000000,0.000480,0.000153,0.000067,0.000047,0.006814,0.006836,0.006857,0.006857,0.646826,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.836495,0.988805,,,0.836495,,1.000008,1.064022,2.077807,,,,,,,,,,,,,,,,,,,0.836495,0.988805,1.000008,1.064022,1.120533,0.425932,
3,barn1,FLOAT,64,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000001,0.000090,0.000091,0.000031,0.000020,0.000017,0.000159,0.000017,0.000017,0.005913,0.000753,0.000752,0.000272,0.000000,0.007214,0.000022,0.004236,0.001042,0.000397,0.000136,0.000088,0.000000,0.000478,0.000154,0.000069,0.000051,0.007253,0.007275,0.007296,0.007296,0.646826,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.917943,0.979739,,,,0.917943,0.999822,1.064022,2.273399,,,,,,,,,,,,,,,,,,,0.917943,0.979739,0.999822,1.064022,1.107457,0.430298,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000230,0.000268,0.000071,0.000029,0.000020,0.000404,0.000034,0.000034,0.014312,0.002373,0.002373,0.001049,0.000001,0.018415,0.000022,0.011023,0.002106,0.000823,0.000228,0.000134,0.000000,0.001794,0.000363,0.000136,0.000078,0.018458,0.018480,0.018501,0.018501,1.618020,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.898936,0.817468,,0.898936,0.898936,,0.999132,1.029671,1.767689,,,,,,,,,,,,,,,,,,,0.898936,0.817468,0.999132,1.029671,1.335692,0.474073,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000228,0.000274,0.000072,0.000030,0.000020,0.000400,0.000038,0.000037,0.014874,0.002373,0.002372,0.001052,0.000001,0.018968,0.000021,0.011426,0.002206,0.000858,0.000238,0.000144,0.000000,0.001778,0.000371,0.000137,0.000078,0.019008,0.019029,0.019050,0.019050,1.618020,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.958440,0.824155,,0.958440,,0.958440,0.999752,1.029671,1.818244,,,,,,,,,,,,,,,,,,,0.958440,0.824155,0.999752,1.029671,1.327907,0.475055,
