Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,192,144,15,0.000000,0.000021,0.000016,0.000011,0.000010,0.000009,0.000047,0.000011,0.000010,0.000349,0.000101,0.000100,0.000028,0.000000,0.000571,0.000009,0.000172,0.000067,0.000039,0.000033,0.000036,0.000000,0.000034,0.000016,0.000024,0.000025,0.000587,0.000596,0.000607,0.000607,0.012760,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.955189,0.820795,0.955189,,0.955189,,2.668579,1.671135,1.901112,,,,,,,,,,,,,,,,,,,0.955189,0.820795,2.668579,1.671135,0.870661,0.780271,
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,24,AVX256,192,144,15,0.000000,0.000016,0.000017,0.000016,0.000015,0.000012,0.000060,0.000019,0.000018,0.000707,0.000143,0.000142,0.000029,0.000000,0.000977,0.000012,0.000393,0.000134,0.000074,0.000053,0.000053,0.000000,0.000032,0.000022,0.000031,0.000058,0.000993,0.001006,0.001014,0.001014,0.012760,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.275515,0.857175,1.275515,,,1.275515,1.923508,1.671135,2.071330,,,,,,,,,,,,,,,,,,,1.275515,0.857175,1.923508,1.671135,1.123557,0.714230,
1,tsukubaSet,FLOAT,96,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX256,384,288,15,0.000000,0.000076,0.000047,0.000030,0.000033,0.000037,0.000149,0.000077,0.000077,0.001364,0.000709,0.000708,0.000126,0.000000,0.002503,0.000022,0.000759,0.000255,0.000158,0.000102,0.000083,0.000000,0.000436,0.000084,0.000080,0.000106,0.002518,0.002540,0.002579,0.002579,0.125665,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.872268,0.949660,0.872268,,0.872268,,1.281013,1.359061,2.317006,,,,,,,,,,,,,,,,,,,0.872268,0.949660,1.281013,1.359061,1.295252,0.622801,
1,tsukubaSet,FLOAT,96,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,72,AVX256,384,288,15,0.000000,0.000066,0.000053,0.000038,0.000049,0.000049,0.000192,0.000079,0.000079,0.002207,0.000722,0.000721,0.000136,0.000000,0.003395,0.000033,0.001198,0.000425,0.000286,0.000156,0.000129,0.000000,0.000374,0.000120,0.000106,0.000117,0.003415,0.003448,0.003505,0.003505,0.125665,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.988547,0.970668,0.988547,,,0.988547,1.083380,1.359061,2.343423,,,,,,,,,,,,,,,,,,,0.988547,0.970668,1.083380,1.359061,1.420640,0.648697,
2,venus,FLOAT,96,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,24,AVX256,434,383,15,0.000000,0.000134,0.000077,0.000027,0.000017,0.000013,0.000143,0.000012,0.000012,0.002743,0.000403,0.000402,0.000207,0.000000,0.003645,0.000017,0.001837,0.000531,0.000214,0.000103,0.000066,0.000000,0.000255,0.000073,0.000043,0.000031,0.003660,0.003677,0.003724,0.003724,0.524520,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.993582,0.836119,0.993582,,0.993582,,1.247611,1.332437,3.078387,,,,,,,,,,,,,,,,,,,0.993582,0.836119,1.247611,1.332437,1.047176,0.602113,
2,venus,FLOAT,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX256,434,383,15,0.000000,0.000141,0.000091,0.000033,0.000027,0.000048,0.000204,0.000101,0.000100,0.003368,0.000759,0.000759,0.000250,0.000000,0.004827,0.000032,0.002131,0.000636,0.000290,0.000187,0.000105,0.000000,0.000425,0.000165,0.000076,0.000088,0.004859,0.004890,0.004963,0.004963,0.524520,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.132681,0.834371,1.132681,,,1.132681,0.968745,1.332437,2.748988,,,,,,,,,,,,,,,,,,,1.132681,0.834371,0.968745,1.332437,1.117040,0.708308,
3,barn1,FLOAT,96,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX256,432,381,15,0.000000,0.000217,0.000107,0.000040,0.000028,0.000062,0.000238,0.000152,0.000152,0.003908,0.001085,0.001084,0.000277,0.000000,0.005878,0.000029,0.002477,0.000775,0.000322,0.000215,0.000109,0.000000,0.000628,0.000207,0.000090,0.000160,0.005900,0.005929,0.005981,0.005981,0.920816,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.958936,0.694585,,,0.958936,,1.175815,0.920156,3.014430,,,,,,,,,,,,,,,,,,,0.958936,0.694585,1.175815,0.920156,1.079082,0.468451,
3,barn1,FLOAT,96,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX256,432,381,15,0.000000,0.000157,0.000110,0.000039,0.000028,0.000062,0.000238,0.000148,0.000147,0.003862,0.000783,0.000782,0.000245,0.000000,0.005387,0.000030,0.002499,0.000731,0.000317,0.000206,0.000113,0.000000,0.000411,0.000138,0.000083,0.000146,0.005410,0.005441,0.005504,0.005504,0.920816,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.216835,0.688217,,,,1.216835,1.369493,0.920156,3.717372,,,,,,,,,,,,,,,,,,,1.216835,0.688217,1.369493,0.920156,0.894633,0.397207,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,450,375,15,0.000000,0.000722,0.000371,0.000162,0.000148,0.000141,0.000839,0.000337,0.000337,0.012251,0.004767,0.004766,0.001147,0.000001,0.020123,0.000074,0.008677,0.002076,0.000846,0.000415,0.000229,0.000000,0.002712,0.000991,0.000430,0.000641,0.020167,0.020237,0.020371,0.020371,1.865635,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.816434,0.708970,,0.816434,0.816434,,1.018374,1.034179,1.796738,,,,,,,,,,,,,,,,,,,0.816434,0.708970,1.018374,1.034179,2.095179,0.413374,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,450,375,15,0.000000,0.000667,0.000376,0.000157,0.000144,0.000139,0.000819,0.000350,0.000349,0.013016,0.004817,0.004816,0.001158,0.000001,0.020856,0.000071,0.009149,0.002269,0.000894,0.000460,0.000247,0.000000,0.002653,0.001062,0.000441,0.000660,0.020899,0.020970,0.021067,0.021067,1.865635,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.866682,0.714770,,0.866682,,0.866682,1.003791,1.034179,1.868183,,,,,,,,,,,,,,,,,,,0.866682,0.714770,1.003791,1.034179,2.015720,0.419819,
