Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,24,NEON,192,144,15,0.000000,0.000011,0.000009,0.000007,0.000007,0.000006,0.000029,0.000004,0.000004,0.000262,0.000055,0.000054,0.000016,0.000000,0.000380,0.000007,0.000137,0.000050,0.000030,0.000023,0.000022,0.000000,0.000020,0.000013,0.000012,0.000009,0.000392,0.000399,0.000402,0.000402,0.014333,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.440719,0.730723,1.440719,,1.440719,,1.933784,1.699317,1.840801,,,,,,,,,,,,,,,,,,,1.440719,0.730723,1.933784,1.699317,0.782552,0.677869,
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0.000000,0.000010,0.000014,0.000013,0.000011,0.000012,0.000051,0.000007,0.000007,0.000491,0.000074,0.000073,0.000023,0.000000,0.000655,0.000011,0.000235,0.000111,0.000054,0.000045,0.000041,0.000000,0.000025,0.000018,0.000017,0.000014,0.000669,0.000680,0.000683,0.000683,0.014333,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.891963,0.763111,1.891963,,,1.891963,1.333193,1.699317,1.597883,,,,,,,,,,,,,,,,,,,1.891963,0.763111,1.333193,1.699317,0.940213,0.694782,
1,tsukubaSet,FLOAT,96,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,72,NEON,384,288,15,0.000000,0.000034,0.000027,0.000019,0.000017,0.000019,0.000083,0.000014,0.000014,0.000842,0.000207,0.000206,0.000048,0.000000,0.001228,0.000018,0.000458,0.000158,0.000089,0.000070,0.000063,0.000000,0.000103,0.000042,0.000033,0.000028,0.001245,0.001265,0.001286,0.001286,0.130668,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.749238,0.913302,1.749238,,1.749238,,1.035730,1.535664,2.314283,,,,,,,,,,,,,,,,,,,1.749238,0.913302,1.035730,1.535664,0.860536,0.653017,
1,tsukubaSet,FLOAT,96,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000031,0.000032,0.000026,0.000028,0.000027,0.000111,0.000017,0.000017,0.001478,0.000220,0.000219,0.000057,0.000000,0.001916,0.000025,0.000801,0.000330,0.000150,0.000105,0.000090,0.000000,0.000097,0.000050,0.000039,0.000034,0.001933,0.001959,0.001975,0.001975,0.130668,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.754443,0.933506,1.754443,,,1.754443,0.981583,1.535664,2.098054,,,,,,,,,,,,,,,,,,,1.754443,0.933506,0.981583,1.535664,0.960590,0.611822,
2,venus,FLOAT,96,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000055,0.000041,0.000025,0.000024,0.000025,0.000115,0.000022,0.000021,0.001937,0.000246,0.000246,0.000078,0.000000,0.002458,0.000031,0.001187,0.000370,0.000162,0.000112,0.000095,0.000000,0.000104,0.000050,0.000049,0.000042,0.002475,0.002506,0.002530,0.002530,0.338740,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.462889,1.294684,1.462889,,1.462889,,0.997774,1.118902,2.144287,,,,,,,,,,,,,,,,,,,1.462889,1.294684,0.997774,1.118902,0.938696,0.545784,
2,venus,FLOAT,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000053,0.000043,0.000026,0.000025,0.000027,0.000120,0.000021,0.000021,0.002214,0.000252,0.000251,0.000082,0.000000,0.002759,0.000032,0.001393,0.000415,0.000177,0.000122,0.000100,0.000000,0.000105,0.000052,0.000048,0.000044,0.002777,0.002807,0.002830,0.002830,0.338740,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.985957,1.291977,1.985957,,,1.985957,0.984909,1.118902,2.438570,,,,,,,,,,,,,,,,,,,1.985957,1.291977,0.984909,1.118902,0.955323,0.536747,
3,barn1,FLOAT,96,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000075,0.000056,0.000028,0.000029,0.000026,0.000140,0.000026,0.000026,0.002794,0.000415,0.000414,0.000119,0.000000,0.003565,0.000028,0.001813,0.000521,0.000205,0.000131,0.000104,0.000000,0.000220,0.000068,0.000072,0.000053,0.003588,0.003631,0.003653,0.003653,0.477598,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.569943,1.339169,,,1.569943,,0.993063,1.100162,2.468004,,,,,,,,,,,,,,,,,,,1.569943,1.339169,0.993063,1.100162,0.948341,0.494453,
3,barn1,FLOAT,96,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000068,0.000055,0.000030,0.000030,0.000028,0.000144,0.000025,0.000025,0.003125,0.000446,0.000445,0.000125,0.000000,0.003943,0.000028,0.002063,0.000563,0.000226,0.000146,0.000112,0.000000,0.000240,0.000071,0.000076,0.000058,0.003967,0.003995,0.004019,0.004019,0.477598,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.666213,1.326891,,,,1.666213,0.979828,1.100162,2.558725,,,,,,,,,,,,,,,,,,,1.666213,1.326891,0.979828,1.100162,0.972476,0.504390,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000001,0.000127,0.000117,0.000060,0.000036,0.000030,0.000242,0.000041,0.000041,0.006835,0.001124,0.001123,0.000522,0.000001,0.008871,0.000035,0.004956,0.001137,0.000360,0.000214,0.000146,0.000000,0.000667,0.000243,0.000114,0.000097,0.008911,0.008968,0.008993,0.008993,1.120131,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.849280,1.180827,,1.849280,1.849280,,1.005365,1.044801,1.925853,,,,,,,,,,,,,,,,,,,1.849280,1.180827,1.005365,1.044801,1.146304,0.467012,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000001,0.000128,0.000121,0.000061,0.000035,0.000031,0.000258,0.000044,0.000044,0.007177,0.001137,0.001136,0.000513,0.000001,0.009251,0.000037,0.005210,0.001206,0.000395,0.000220,0.000148,0.000000,0.000685,0.000245,0.000106,0.000097,0.009306,0.009370,0.009396,0.009396,1.120131,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.943137,1.190486,,1.943137,,1.943137,1.004627,1.044801,2.041856,,,,,,,,,,,,,,,,,,,1.943137,1.190486,1.004627,1.044801,1.147447,0.475466,
