Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,HALF,12,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256 w/ float16,192,144,3,0.000000,0.000052,0.000015,0.000006,0.000005,0.000005,0.000030,0.000006,0.000006,0.000246,0.000084,0.000084,0.000016,0.000000,0.000435,0.000005,0.000112,0.000046,0.000024,0.000039,0.000025,0.000000,0.000038,0.000017,0.000013,0.000015,0.000448,0.000453,0.000462,0.000462,0.008850,,2.691024,2.691024,0.814815,0.792824,0.100803,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,3.167390,3.167390,0.975839,0.535482,0.098090,0.000000,1.542006,1.148541,1.542006,,1.542006,,1.122952,1.893770,,1.000000,1.542006,1.148541,1.122952,1.848724,,
0,tsukubaSetHalfSize,HALF,12,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,192,144,3,0.000000,0.000052,0.000014,0.000007,0.000006,0.000006,0.000033,0.000006,0.000006,0.000579,0.000101,0.000101,0.000013,0.000000,0.000826,0.000005,0.000195,0.000082,0.000185,0.000070,0.000037,0.000000,0.000040,0.000016,0.000019,0.000017,0.000843,0.000849,0.000854,0.000854,0.008850,,2.691024,2.691024,0.814815,0.792824,0.100803,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,3.167390,3.167390,0.975839,0.535482,0.098090,0.000000,1.446530,1.166180,1.446530,,,1.446530,0.953353,1.776665,4.611997,1.024366,1.446530,1.166180,0.953353,1.848724,,
1,tsukubaSet,HALF,12,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,384,288,3,0.000000,0.000389,0.000073,0.000022,0.000009,0.000008,0.000112,0.000014,0.000014,0.001439,0.000475,0.000475,0.000099,0.000000,0.002525,0.000015,0.000954,0.000203,0.000074,0.000140,0.000061,0.000000,0.000323,0.000081,0.000029,0.000040,0.002547,0.002561,0.002592,0.002592,0.085672,,5.381655,5.131376,0.792969,0.792969,0.334816,0.095432,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,6.577863,6.259321,0.987883,0.987639,0.446434,0.127884,0.800616,1.462119,0.800616,,0.800616,,0.955999,1.350256,5.035596,1.088462,0.800616,1.462119,0.955999,1.350256,,
1,tsukubaSet,HALF,12,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,384,288,3,0.000000,0.000375,0.000074,0.000022,0.000009,0.000008,0.000115,0.000013,0.000013,0.002315,0.000507,0.000507,0.000100,0.000000,0.003427,0.000016,0.001471,0.000337,0.000121,0.000273,0.000113,0.000000,0.000348,0.000082,0.000030,0.000038,0.003449,0.003470,0.003499,0.003499,0.085672,,5.381655,5.131376,0.792969,0.792969,0.334816,0.095432,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,6.577863,6.259321,0.987883,0.987639,0.446434,0.127884,0.820946,1.447914,0.820946,,,0.820946,0.993884,1.350256,7.421788,1.201246,0.820946,1.447914,0.993884,1.350256,,
2,venus,HALF,12,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,434,383,3,0.000000,0.000739,0.000189,0.000048,0.000015,0.000008,0.000259,0.000010,0.000009,0.003460,0.001159,0.001158,0.000230,0.000000,0.005861,0.000021,0.002242,0.000539,0.000159,0.000385,0.000118,0.000000,0.000884,0.000193,0.000058,0.000023,0.005884,0.005904,0.005950,0.005950,0.215206,,8.888581,7.529309,1.000000,1.000000,0.793884,0.415799,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,8.876009,7.514842,0.990194,0.990194,0.761734,0.408694,0.593046,2.045297,0.593046,,0.593046,,0.950767,1.433079,5.735702,1.122973,0.593046,2.045297,0.950767,1.337263,,
2,venus,HALF,12,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256 w/ float16,434,383,3,0.000000,0.000813,0.000156,0.000043,0.000014,0.000007,0.000220,0.000009,0.000009,0.005741,0.000854,0.000853,0.000242,0.000000,0.007868,0.000019,0.004248,0.000947,0.000296,0.000110,0.000149,0.000000,0.000599,0.000182,0.000062,0.000023,0.007889,0.007909,0.007956,0.007956,0.215206,,8.888581,7.529309,1.000000,1.000000,0.793884,0.415799,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,8.876009,7.514842,0.990194,0.990194,0.761734,0.408694,0.512097,2.045190,0.512097,,,0.512097,1.000912,1.190824,,1.000000,0.512097,2.045190,1.000912,1.337263,,
3,barn1,HALF,12,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,432,381,3,0.000000,0.001080,0.000236,0.000058,0.000019,0.000008,0.000320,0.000023,0.000023,0.006155,0.002015,0.002014,0.000316,0.000000,0.009888,0.000019,0.004051,0.001052,0.000273,0.000593,0.000165,0.000000,0.001260,0.000477,0.000224,0.000063,0.009911,0.009930,0.009976,0.009976,0.412897,,8.252467,7.095519,1.000000,1.000000,0.581116,0.429693,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,8.295033,7.109809,0.990145,0.990145,0.579670,0.445356,0.413740,1.559598,,,0.413740,,0.986810,1.225732,5.430558,1.163466,0.413740,1.559598,0.986810,1.225732,,
3,barn1,HALF,12,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,432,381,3,0.000000,0.001073,0.000266,0.000062,0.000020,0.000009,0.000358,0.000011,0.000011,0.008445,0.001965,0.001965,0.000323,0.000000,0.012143,0.000019,0.005599,0.001520,0.000381,0.000729,0.000208,0.000000,0.001199,0.000491,0.000235,0.000040,0.012162,0.012181,0.012228,0.012228,0.412897,,8.252467,7.095519,1.000000,1.000000,0.581116,0.429693,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,8.295033,7.109809,0.990145,0.990145,0.579670,0.445356,0.446425,1.561841,,,,0.446425,1.015996,1.225732,5.402077,1.123585,0.446425,1.561841,1.015996,1.225732,,
4,conesQuarterSize,HALF,12,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,450,375,3,0.000000,0.002197,0.000840,0.000484,0.000088,0.000012,0.001418,0.000016,0.000015,0.015271,0.007882,0.007881,0.000713,0.000000,0.027508,0.000023,0.010249,0.002650,0.000555,0.001430,0.000314,0.000000,0.005480,0.001810,0.000465,0.000127,0.027531,0.027554,0.027604,0.027604,0.901327,,32.461636,9.680087,0.967828,0.967828,0.967828,0.967763,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,33.217880,9.904392,0.990246,0.990246,0.990246,0.990246,0.346867,1.462410,,0.346867,0.346867,,0.970638,1.063499,4.830016,1.050449,0.346867,1.462410,0.970638,1.063499,,
4,conesQuarterSize,HALF,12,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,450,375,3,0.000000,0.002095,0.000818,0.000455,0.000086,0.000012,0.001372,0.000015,0.000015,0.017326,0.007787,0.007786,0.000670,0.000000,0.029263,0.000021,0.011503,0.003060,0.000670,0.001723,0.000387,0.000000,0.005381,0.001819,0.000481,0.000129,0.029288,0.029309,0.029357,0.029357,0.901327,,32.461636,9.680087,0.967828,0.967828,0.967828,0.967763,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,33.217880,9.904392,0.990246,0.990246,0.990246,0.990246,0.381516,1.469067,,0.381516,,0.381516,1.019482,1.063499,5.348768,1.121985,0.381516,1.469067,1.019482,1.063499,,
