Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,HALF,12,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256 w/ float16,192,144,15,0.000000,0.000053,0.000014,0.000006,0.000005,0.000004,0.000029,0.000007,0.000007,0.000223,0.000077,0.000077,0.000014,0.000000,0.000407,0.000005,0.000103,0.000038,0.000025,0.000033,0.000020,0.000000,0.000038,0.000015,0.000011,0.000012,0.000419,0.000424,0.000433,0.000433,0.008884,,2.691024,2.691024,0.814815,0.792824,0.100803,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,3.167390,3.167390,0.975839,0.535482,0.098090,0.000000,1.645455,1.144100,1.645455,,1.645455,,1.032524,2.015983,,1.000000,1.645455,1.144100,1.032524,1.901008,,
0,tsukubaSetHalfSize,HALF,12,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,192,144,15,0.000000,0.000053,0.000015,0.000007,0.000007,0.000006,0.000035,0.000007,0.000007,0.000597,0.000098,0.000097,0.000014,0.000000,0.000798,0.000005,0.000194,0.000080,0.000191,0.000080,0.000041,0.000000,0.000039,0.000017,0.000022,0.000019,0.000812,0.000818,0.000823,0.000823,0.008884,,2.691024,2.691024,0.814815,0.792824,0.100803,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,3.167390,3.167390,0.975839,0.535482,0.098090,0.000000,1.501120,1.161671,1.501120,,,1.501120,0.988330,1.617005,4.757363,1.060481,1.501120,1.161671,0.988330,1.901008,,
1,tsukubaSet,HALF,12,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,384,288,15,0.000000,0.000381,0.000073,0.000022,0.000009,0.000008,0.000112,0.000016,0.000016,0.001258,0.000513,0.000513,0.000094,0.000000,0.002401,0.000014,0.000801,0.000179,0.000073,0.000131,0.000062,0.000000,0.000363,0.000080,0.000030,0.000033,0.002417,0.002432,0.002462,0.002462,0.085053,,5.381655,5.131376,0.792969,0.792969,0.334816,0.095432,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,6.577863,6.259321,0.987883,0.987639,0.446434,0.127884,0.842755,1.472759,0.842755,,0.842755,,1.000379,1.379101,5.295740,1.168640,0.842755,1.472759,1.000379,1.379101,,
1,tsukubaSet,HALF,12,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,384,288,15,0.000000,0.000378,0.000075,0.000022,0.000009,0.000008,0.000113,0.000016,0.000015,0.002188,0.000525,0.000525,0.000092,0.000000,0.003330,0.000014,0.001343,0.000310,0.000121,0.000288,0.000118,0.000000,0.000371,0.000082,0.000030,0.000037,0.003350,0.003366,0.003395,0.003395,0.085053,,5.381655,5.131376,0.792969,0.792969,0.334816,0.095432,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,6.577863,6.259321,0.987883,0.987639,0.446434,0.127884,0.846081,1.458451,0.846081,,,0.846081,1.003144,1.379101,7.635179,1.273363,0.846081,1.458451,1.003144,1.379101,,
2,venus,HALF,12,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,434,383,15,0.000000,0.000737,0.000147,0.000040,0.000013,0.000006,0.000209,0.000009,0.000008,0.003457,0.001140,0.001139,0.000215,0.000000,0.005771,0.000019,0.002222,0.000551,0.000164,0.000402,0.000115,0.000000,0.000867,0.000190,0.000061,0.000023,0.005789,0.005808,0.005853,0.005853,0.213653,,8.888581,7.529309,1.000000,1.000000,0.793884,0.415799,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,8.876009,7.514842,0.990194,0.990194,0.761734,0.408694,0.602804,2.060171,0.602804,,0.602804,,0.957232,1.458042,5.790957,1.157194,0.602804,2.060171,0.957232,1.364148,,
2,venus,HALF,12,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256 w/ float16,434,383,15,0.000000,0.000730,0.000172,0.000046,0.000015,0.000007,0.000246,0.000010,0.000010,0.005806,0.000878,0.000877,0.000231,0.000000,0.007897,0.000019,0.004251,0.000969,0.000312,0.000116,0.000163,0.000000,0.000602,0.000181,0.000063,0.000025,0.007920,0.007939,0.007985,0.007985,0.213653,,8.888581,7.529309,1.000000,1.000000,0.793884,0.415799,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,8.876009,7.514842,0.990194,0.990194,0.761734,0.408694,0.510265,2.060063,0.510265,,,0.510265,1.007153,1.178841,,1.000000,0.510265,2.060063,1.007153,1.364148,,
3,barn1,HALF,12,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,432,381,15,0.000000,0.001083,0.000228,0.000057,0.000018,0.000007,0.000316,0.000009,0.000009,0.006092,0.002009,0.002009,0.000315,0.000000,0.009809,0.000019,0.004012,0.001026,0.000276,0.000610,0.000162,0.000000,0.001236,0.000481,0.000210,0.000054,0.009829,0.009848,0.009893,0.009893,0.412698,,8.252467,7.095519,1.000000,1.000000,0.581116,0.429693,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,8.295033,7.109809,0.990145,0.990145,0.579670,0.445356,0.417223,1.560351,,,0.417223,,1.001898,1.242076,5.774590,1.167507,0.417223,1.560351,1.001898,1.242076,,
3,barn1,HALF,12,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,432,381,15,0.000000,0.001071,0.000235,0.000059,0.000019,0.000008,0.000322,0.000010,0.000009,0.008484,0.002010,0.002009,0.000316,0.000000,0.012207,0.000019,0.005668,0.001477,0.000382,0.000748,0.000203,0.000000,0.001251,0.000488,0.000209,0.000056,0.012224,0.012243,0.012288,0.012288,0.412698,,8.252467,7.095519,1.000000,1.000000,0.581116,0.429693,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,8.295033,7.109809,0.990145,0.990145,0.579670,0.445356,0.444260,1.562595,,,,0.444260,1.007000,1.242076,5.385822,1.089920,0.444260,1.562595,1.007000,1.242076,,
4,conesQuarterSize,HALF,12,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,450,375,15,0.000000,0.002073,0.000857,0.000463,0.000082,0.000011,0.001429,0.000014,0.000014,0.015092,0.007814,0.007813,0.000695,0.000000,0.027076,0.000019,0.010186,0.002607,0.000555,0.001408,0.000305,0.000000,0.005414,0.001789,0.000484,0.000124,0.027094,0.027113,0.027159,0.027159,0.913393,,32.461636,9.680087,0.967828,0.967828,0.967828,0.967763,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,33.217880,9.904392,0.990246,0.990246,0.990246,0.990246,0.352553,1.443093,,0.352553,0.352553,,0.994293,1.089038,4.892969,1.065700,0.352553,1.443093,0.994293,1.089038,,
4,conesQuarterSize,HALF,12,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,450,375,15,0.000000,0.002075,0.000860,0.000452,0.000084,0.000011,0.001406,0.000014,0.000013,0.017477,0.007803,0.007802,0.000695,0.000000,0.029491,0.000021,0.011690,0.003076,0.000615,0.001709,0.000388,0.000000,0.005400,0.001795,0.000487,0.000125,0.029509,0.029528,0.029577,0.029577,0.913393,,32.461636,9.680087,0.967828,0.967828,0.967828,0.967763,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,33.217880,9.904392,0.990246,0.990246,0.990246,0.990246,0.378677,1.449661,,0.378677,,0.378677,1.001709,1.089038,5.316778,1.129273,0.378677,1.449661,1.001709,1.089038,,
