Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000016,0.000012,0.000012,0.000010,0.000009,0.000043,0.000011,0.000011,0.000286,0.000115,0.000114,0.000016,0.000000,0.000491,0.000008,0.000105,0.000047,0.000039,0.000051,0.000043,0.000000,0.000030,0.000025,0.000025,0.000035,0.000509,0.000517,0.000522,0.000522,0.007108,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.109660,1.473425,1.109660,,1.109660,,1.026497,1.329173,,,,,,,,,,,,,,,,,1.109660,1.473425,1.026497,1.329173,1.156725,0.858008,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000018,0.000012,0.000012,0.000009,0.000008,0.000041,0.000014,0.000014,0.000461,0.000111,0.000110,0.000028,0.000000,0.000666,0.000007,0.000207,0.000091,0.000055,0.000062,0.000043,0.000000,0.000031,0.000024,0.000023,0.000028,0.000682,0.000689,0.000694,0.000694,0.007108,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.863013,1.538732,1.863013,,,1.863013,0.995558,1.329173,,,,,,,,,,,,,,,,,1.863013,1.538732,0.995558,1.329173,0.991969,0.747796,
1,tsukubaSet,FLOAT,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000089,0.000059,0.000015,0.000016,0.000013,0.000103,0.000025,0.000025,0.001166,0.000717,0.000716,0.000115,0.000000,0.002188,0.000013,0.000785,0.000177,0.000076,0.000059,0.000073,0.000000,0.000562,0.000080,0.000043,0.000036,0.002206,0.002217,0.002247,0.002247,0.079386,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000885,1.503279,1.000885,,1.000885,,1.018997,1.325773,,,,,,,,,,,,,,,,,1.000885,1.503279,1.018997,1.325773,1.323945,0.516926,
1,tsukubaSet,FLOAT,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000094,0.000051,0.000016,0.000017,0.000013,0.000098,0.000037,0.000037,0.001883,0.000721,0.000720,0.000103,0.000000,0.002918,0.000014,0.001239,0.000288,0.000130,0.000082,0.000085,0.000000,0.000545,0.000094,0.000039,0.000045,0.002937,0.002950,0.002979,0.002979,0.079386,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.162792,1.536534,1.162792,,,1.162792,0.983581,1.325773,,,,,,,,,,,,,,,,,1.162792,1.536534,0.983581,1.325773,1.234579,0.493288,
2,venus,FLOAT,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000197,0.000083,0.000025,0.000012,0.000010,0.000130,0.000012,0.000012,0.003452,0.001033,0.001032,0.000278,0.000000,0.005097,0.000017,0.002714,0.000417,0.000171,0.000078,0.000074,0.000000,0.000752,0.000156,0.000090,0.000037,0.005119,0.005137,0.005183,0.005183,0.205064,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.713980,2.138652,0.713980,,0.713980,,1.012444,1.698037,,,,,,,,,,,,,,,,,0.713980,2.138652,1.012444,1.698037,1.346284,0.494862,
2,venus,FLOAT,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000175,0.000097,0.000028,0.000012,0.000010,0.000147,0.000013,0.000012,0.007041,0.001081,0.001080,0.000261,0.000000,0.008721,0.000016,0.005681,0.000877,0.000289,0.000120,0.000106,0.000000,0.000772,0.000140,0.000132,0.000039,0.008741,0.008756,0.008801,0.008801,0.205064,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.638689,2.134181,0.638689,,,0.638689,0.997239,1.698037,,,,,,,,,,,,,,,,,0.638689,2.134181,0.997239,1.698037,1.569063,0.499283,
3,barn1,FLOAT,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000294,0.000165,0.000037,0.000024,0.000010,0.000236,0.000012,0.000012,0.007545,0.001998,0.001997,0.000418,0.000000,0.010470,0.000018,0.006220,0.000840,0.000260,0.000126,0.000106,0.000000,0.001546,0.000262,0.000147,0.000053,0.010493,0.010511,0.010558,0.010558,0.389988,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.543283,1.640013,,,0.543283,,1.001905,1.187206,,,,,,,,,,,,,,,,,0.543283,1.640013,1.001905,1.187206,1.545058,0.546128,
3,barn1,FLOAT,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000271,0.000153,0.000039,0.000025,0.000011,0.000226,0.000013,0.000013,0.009488,0.002055,0.002054,0.000414,0.000000,0.012453,0.000019,0.007636,0.001205,0.000376,0.000148,0.000122,0.000000,0.001530,0.000303,0.000166,0.000067,0.012472,0.012489,0.012534,0.012534,0.389988,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.534322,1.624976,,,,0.534322,1.004993,1.187206,,,,,,,,,,,,,,,,,0.534322,1.624976,1.004993,1.187206,1.571747,0.528736,
4,conesQuarterSize,FLOAT,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.000520,0.000542,0.000237,0.000060,0.000017,0.000845,0.000025,0.000024,0.014437,0.004820,0.004819,0.000774,0.000001,0.021357,0.000020,0.011137,0.002320,0.000502,0.000189,0.000249,0.000000,0.003063,0.001229,0.000436,0.000095,0.021390,0.021410,0.021475,0.021475,0.847017,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.774441,1.561575,,0.774441,0.774441,,0.999753,1.413202,,,,,,,,,,,,,,,,,0.774441,1.561575,0.999753,1.413202,1.087716,0.474922,
4,conesQuarterSize,FLOAT,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000001,0.000524,0.000644,0.000262,0.000071,0.000019,0.000994,0.000027,0.000027,0.021929,0.005782,0.005781,0.000825,0.000001,0.030216,0.000023,0.016629,0.004053,0.000773,0.000240,0.000298,0.000000,0.003391,0.001756,0.000516,0.000118,0.030255,0.030277,0.030349,0.030349,0.847017,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.601615,1.574349,,0.601615,,0.601615,0.969434,1.413202,,,,,,,,,,,,,,,,,0.601615,1.574349,0.969434,1.413202,1.540659,0.601444,
