Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,24,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX256,192,144,3,0.000000,0.000025,0.000013,0.000007,0.000009,0.000007,0.000035,0.000007,0.000007,0.000278,0.000091,0.000090,0.000017,0.000000,0.000452,0.000006,0.000154,0.000050,0.000028,0.000021,0.000025,0.000000,0.000035,0.000015,0.000024,0.000020,0.000465,0.000471,0.000479,0.000479,0.007123,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.209406,1.470332,1.209406,,1.209406,,1.052463,1.896793,,0.922521,,,,,,,,,,,,,,,,,,,,,1.209406,1.470332,1.052463,1.407814,,,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000017,0.000012,0.000012,0.000010,0.000009,0.000044,0.000015,0.000014,0.000446,0.000106,0.000106,0.000016,0.000000,0.000644,0.000008,0.000198,0.000084,0.000053,0.000060,0.000042,0.000000,0.000031,0.000022,0.000022,0.000029,0.000660,0.000670,0.000674,0.000674,0.007123,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.917054,1.535502,1.917054,,,1.917054,1.034026,1.298738,,,,,,,,,,,,,,,,,,,,,,,1.917054,1.535502,1.034026,1.407814,,,
1,tsukubaSet,FLOAT,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000091,0.000058,0.000016,0.000017,0.000015,0.000102,0.000027,0.000027,0.001211,0.000705,0.000704,0.000104,0.000000,0.002236,0.000015,0.000830,0.000183,0.000075,0.000065,0.000073,0.000000,0.000529,0.000106,0.000042,0.000040,0.002255,0.002267,0.002298,0.002298,0.080477,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978830,1.482898,0.978830,,0.978830,,1.017209,1.336472,,,,,,,,,,,,,,,,,,,,,,,0.978830,1.482898,1.017209,1.336472,,,
1,tsukubaSet,FLOAT,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000098,0.000046,0.000016,0.000017,0.000015,0.000094,0.000037,0.000037,0.001959,0.000719,0.000718,0.000104,0.000000,0.003008,0.000013,0.001351,0.000304,0.000122,0.000088,0.000093,0.000000,0.000562,0.000077,0.000043,0.000038,0.003027,0.003040,0.003071,0.003071,0.080477,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.128064,1.515702,1.128064,,,1.128064,0.980662,1.336472,,,,,,,,,,,,,,,,,,,,,,,1.128064,1.515702,0.980662,1.336472,,,
2,venus,FLOAT,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000191,0.000090,0.000038,0.000012,0.000009,0.000150,0.000013,0.000013,0.003493,0.001040,0.001039,0.000261,0.000000,0.005147,0.000017,0.002727,0.000426,0.000174,0.000081,0.000076,0.000000,0.000758,0.000156,0.000104,0.000037,0.005168,0.005184,0.005257,0.005257,0.207642,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.703971,2.112101,0.703971,,0.703971,,0.988289,1.668028,,,,,,,,,,,,,,,,,,,,,,,0.703971,2.112101,0.988289,1.571039,,,
2,venus,FLOAT,24,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,434,383,3,0.000000,0.000246,0.000127,0.000030,0.000013,0.000023,0.000194,0.000013,0.000013,0.006444,0.001012,0.001012,0.000267,0.000000,0.008165,0.000017,0.005061,0.000923,0.000260,0.000122,0.000075,0.000000,0.000779,0.000140,0.000060,0.000040,0.008191,0.008208,0.008258,0.008258,0.207642,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680641,2.107684,0.680641,,,0.680641,0.991540,1.200232,,0.941854,,,,,,,,,,,,,,,,,,,,,0.680641,2.107684,0.991540,1.571039,,,
3,barn1,FLOAT,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000279,0.000151,0.000039,0.000024,0.000011,0.000225,0.000013,0.000013,0.007630,0.002032,0.002031,0.000406,0.000000,0.010575,0.000018,0.006267,0.000861,0.000256,0.000121,0.000112,0.000000,0.001547,0.000278,0.000167,0.000053,0.010603,0.010621,0.010674,0.010674,0.389041,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.537383,1.644003,,,0.537383,,0.990108,1.172605,,,,,,,,,,,,,,,,,,,,,,,0.537383,1.644003,0.990108,1.169978,,,
3,barn1,FLOAT,24,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,432,381,3,0.000000,0.000336,0.000168,0.000042,0.000015,0.000009,0.000233,0.000012,0.000012,0.009969,0.001483,0.001482,0.000367,0.000000,0.012394,0.000018,0.007918,0.001433,0.000390,0.000168,0.000095,0.000000,0.001022,0.000283,0.000140,0.000052,0.012419,0.012437,0.012488,0.012488,0.389041,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.536302,1.628931,,,,0.536302,1.002433,1.142346,,0.997760,,,,,,,,,,,,,,,,,,,,,0.536302,1.628931,1.002433,1.169978,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.000570,0.000505,0.000238,0.000062,0.000017,0.000818,0.000025,0.000024,0.014500,0.004732,0.004731,0.000773,0.000001,0.021406,0.000022,0.011226,0.002342,0.000489,0.000189,0.000245,0.000000,0.003000,0.001235,0.000404,0.000095,0.021440,0.021462,0.021528,0.021528,0.863044,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.772537,1.532575,,0.772537,0.772537,,1.001419,1.102091,,,,,,,,,,,,,,,,,,,,,,,0.772537,1.532575,1.001419,1.102091,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000001,0.000530,0.000541,0.000230,0.000062,0.000018,0.000850,0.000025,0.000024,0.016640,0.004802,0.004801,0.000771,0.000001,0.023602,0.000030,0.012835,0.002750,0.000629,0.000203,0.000261,0.000000,0.003035,0.001249,0.000416,0.000104,0.023638,0.023660,0.023726,0.023726,0.863044,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.769549,1.545112,,0.769549,,0.769549,1.008280,1.102091,,,,,,,,,,,,,,,,,,,,,,,0.769549,1.545112,1.008280,1.102091,,,
