Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000017,0.000012,0.000009,0.000010,0.000009,0.000040,0.000012,0.000012,0.000283,0.000109,0.000108,0.000015,0.000000,0.000474,0.000008,0.000096,0.000054,0.000045,0.000047,0.000045,0.000000,0.000031,0.000022,0.000031,0.000024,0.000491,0.000499,0.000504,0.000504,0.007047,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.148619,1.486149,1.148619,,1.148619,,0.988937,1.432512,,,,,,,,,,,,,,,,,,,,,,,1.148619,1.486149,0.988937,1.432512,,,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000018,0.000012,0.000011,0.000009,0.000008,0.000040,0.000015,0.000014,0.000458,0.000107,0.000107,0.000015,0.000000,0.000681,0.000014,0.000201,0.000089,0.000055,0.000058,0.000041,0.000000,0.000033,0.000023,0.000022,0.000029,0.000700,0.000718,0.000723,0.000723,0.007047,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.789309,1.552019,1.789309,,,1.789309,0.953757,1.432512,,,,,,,,,,,,,,,,,,,,,,,1.789309,1.552019,0.953757,1.432512,,,
1,tsukubaSet,FLOAT,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000090,0.000071,0.000016,0.000015,0.000013,0.000115,0.000025,0.000024,0.001181,0.000711,0.000710,0.000110,0.000000,0.002221,0.000013,0.000796,0.000195,0.000083,0.000059,0.000073,0.000000,0.000550,0.000086,0.000047,0.000037,0.002240,0.002253,0.002283,0.002283,0.079964,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.985223,1.492414,0.985223,,0.985223,,1.004992,1.303400,,,,,,,,,,,,,,,,,,,,,,,0.985223,1.492414,1.004992,1.303400,,,
1,tsukubaSet,FLOAT,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000116,0.000048,0.000016,0.000019,0.000014,0.000097,0.000027,0.000027,0.001861,0.000704,0.000703,0.000118,0.000000,0.002915,0.000012,0.001275,0.000313,0.000113,0.000076,0.000087,0.000000,0.000548,0.000078,0.000041,0.000037,0.002934,0.002946,0.002976,0.002976,0.079964,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.164243,1.525429,1.164243,,,1.164243,1.001003,1.303400,,,,,,,,,,,,,,,,,,,,,,,1.164243,1.525429,1.001003,1.303400,,,
2,venus,FLOAT,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000172,0.000110,0.000026,0.000012,0.000010,0.000158,0.000014,0.000013,0.003497,0.001024,0.001023,0.000281,0.000000,0.005094,0.000018,0.002701,0.000483,0.000167,0.000079,0.000071,0.000000,0.000759,0.000138,0.000087,0.000055,0.005114,0.005132,0.005181,0.005181,0.207343,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.714292,2.115151,0.714292,,0.714292,,0.996039,1.727342,,,,,,,,,,,,,,,,,,,,,,,0.714292,2.115151,0.996039,1.588493,,,
2,venus,FLOAT,24,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,434,383,3,0.000000,0.000175,0.000145,0.000029,0.000013,0.000010,0.000196,0.000013,0.000013,0.006487,0.001022,0.001021,0.000263,0.000000,0.008142,0.000018,0.005195,0.000850,0.000261,0.000128,0.000075,0.000000,0.000793,0.000138,0.000057,0.000036,0.008163,0.008181,0.008229,0.008229,0.207343,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.683032,2.110728,0.683032,,,0.683032,0.983816,1.222173,,0.919617,,,,,,,,,,,,,,,,,,,,,0.683032,2.110728,0.983816,1.588493,,,
3,barn1,FLOAT,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000283,0.000150,0.000039,0.000038,0.000011,0.000238,0.000012,0.000012,0.007483,0.002035,0.002034,0.000403,0.000000,0.010456,0.000017,0.006166,0.000849,0.000251,0.000116,0.000106,0.000000,0.001524,0.000291,0.000178,0.000053,0.010498,0.010515,0.010568,0.010568,0.390101,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.542774,1.639537,,,0.542774,,1.006739,1.208630,,,,,,,,,,,,,,,,,,,,,,,0.542774,1.639537,1.006739,1.159843,,,
3,barn1,FLOAT,24,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,432,381,3,0.000000,0.000269,0.000136,0.000037,0.000030,0.000010,0.000213,0.000011,0.000010,0.009845,0.001480,0.001479,0.000365,0.000000,0.012167,0.000017,0.007805,0.001431,0.000374,0.000160,0.000079,0.000000,0.001034,0.000278,0.000117,0.000051,0.012190,0.012207,0.012257,0.012257,0.390101,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.546416,1.624505,,,,0.546416,1.019207,1.110579,,0.959634,,,,,,,,,,,,,,,,,,,,,0.546416,1.624505,1.019207,1.159843,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.000558,0.000526,0.000229,0.000071,0.000018,0.000839,0.000027,0.000026,0.014523,0.004826,0.004825,0.000784,0.000000,0.021523,0.000036,0.011267,0.002357,0.000519,0.000190,0.000234,0.000000,0.003047,0.001253,0.000437,0.000097,0.021563,0.021598,0.021668,0.021668,0.855710,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.767552,1.545711,,0.767552,0.767552,,0.997228,1.115775,,,,,,,,,,,,,,,,,,,,,,,0.767552,1.545711,0.997228,1.115775,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.000620,0.000538,0.000230,0.000064,0.000017,0.000849,0.000025,0.000024,0.016921,0.004892,0.004891,0.000779,0.000001,0.024052,0.000022,0.013023,0.002772,0.000618,0.000210,0.000261,0.000000,0.003067,0.001278,0.000437,0.000109,0.024084,0.024107,0.024177,0.024177,0.855710,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.755206,1.558355,,0.755206,,0.755206,0.995929,1.115775,,,,,,,,,,,,,,,,,,,,,,,0.755206,1.558355,0.995929,1.115775,,,
