Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX512 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX512 w/ float16,192,144,3,0.000000,0.000027,0.000013,0.000007,0.000008,0.000007,0.000035,0.000008,0.000008,0.000283,0.000090,0.000089,0.000013,0.000000,0.000456,0.000006,0.000094,0.000046,0.000068,0.000043,0.000029,0.000000,0.000034,0.000015,0.000019,0.000018,0.000473,0.000479,0.000487,0.000487,0.007610,,0.896934,0.896934,0.759440,0.119900,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003472,0.003472,0.002242,0.000362,0.000000,0.000000,1.461498,1.335626,1.461498,,1.461498,,1.109711,1.624930,1.057360,1.461498,1.335626,1.109711,1.491665,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000020,0.000014,0.000015,0.000011,0.000009,0.000048,0.000013,0.000013,0.000486,0.000105,0.000104,0.000019,0.000000,0.000697,0.000007,0.000206,0.000090,0.000058,0.000081,0.000050,0.000000,0.000025,0.000024,0.000025,0.000028,0.000714,0.000722,0.000727,0.000727,0.007610,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.699183,1.356138,1.699183,,,1.699183,1.021062,1.410745,0.917987,1.699183,1.356138,1.021062,1.491665,
1,tsukubaSet,HALF,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000102,0.000040,0.000015,0.000022,0.000012,0.000090,0.000021,0.000021,0.000785,0.000314,0.000313,0.000037,0.000000,0.001349,0.000012,0.000366,0.000112,0.000076,0.000150,0.000088,0.000000,0.000183,0.000048,0.000040,0.000042,0.001367,0.001378,0.001407,0.001407,0.076629,,1.490307,1.455169,0.398953,0.223009,0.073712,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004494,0.004494,0.001890,0.000479,0.000326,0.000000,1.474389,1.634669,1.474389,,1.474389,,1.012551,1.447302,1.263126,1.474389,1.634669,1.012551,1.447302,
1,tsukubaSet,HALF,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000111,0.000041,0.000016,0.000022,0.000014,0.000093,0.000022,0.000022,0.001401,0.000312,0.000311,0.000036,0.000000,0.001979,0.000012,0.000616,0.000186,0.000092,0.000347,0.000160,0.000000,0.000182,0.000048,0.000043,0.000040,0.001996,0.002007,0.002037,0.002037,0.076629,,1.490307,1.455169,0.398953,0.223009,0.073712,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004494,0.004494,0.001890,0.000479,0.000326,0.000000,1.410456,1.618787,1.410456,,,1.410456,1.073463,1.447302,1.187007,1.410456,1.618787,1.073463,1.447302,
2,venus,HALF,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000201,0.000081,0.000024,0.000011,0.000008,0.000124,0.000009,0.000009,0.001865,0.000449,0.000449,0.000104,0.000000,0.002752,0.000016,0.001068,0.000290,0.000111,0.000304,0.000092,0.000000,0.000293,0.000101,0.000036,0.000019,0.002771,0.002786,0.002834,0.002834,0.199037,,0.446654,0.423928,0.883956,0.025261,0.013993,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002238,0.002238,0.001678,0.000126,0.000066,0.000000,1.245150,2.211452,1.245150,,1.245150,,0.999289,1.470235,1.277191,1.245150,2.211452,0.999289,1.470235,
2,venus,HALF,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000244,0.000083,0.000026,0.000012,0.000009,0.000130,0.000012,0.000011,0.003145,0.000454,0.000453,0.000109,0.000000,0.004082,0.000016,0.001928,0.000542,0.000203,0.000360,0.000121,0.000000,0.000301,0.000096,0.000037,0.000019,0.004101,0.004118,0.004166,0.004166,0.199037,,0.446654,0.423928,0.883956,0.025261,0.013993,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002238,0.002238,0.001678,0.000126,0.000066,0.000000,0.977948,2.211336,0.977948,,,0.977948,1.002492,1.470235,1.246333,0.977948,2.211336,1.002492,1.470235,
3,barn1,HALF,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000299,0.000111,0.000073,0.000012,0.000009,0.000206,0.000012,0.000012,0.003261,0.001480,0.001479,0.000183,0.000000,0.005506,0.000016,0.002041,0.000508,0.000183,0.000392,0.000136,0.000000,0.000871,0.000418,0.000147,0.000046,0.005530,0.005544,0.005593,0.005593,0.388815,,0.500237,0.486434,0.850230,0.039097,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001604,0.001604,0.000784,0.000140,0.000103,0.000000,0.737937,1.656196,,,0.737937,,0.974518,1.181755,1.232747,0.737937,1.656196,0.974518,1.181755,
3,barn1,HALF,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000329,0.000108,0.000074,0.000013,0.000009,0.000204,0.000013,0.000012,0.004364,0.001432,0.001432,0.000185,0.000000,0.006524,0.000017,0.002782,0.000713,0.000241,0.000452,0.000178,0.000000,0.000848,0.000399,0.000140,0.000056,0.006546,0.006563,0.006610,0.006610,0.388815,,0.500237,0.486434,0.850230,0.039097,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001604,0.001604,0.000784,0.000140,0.000103,0.000000,0.825865,1.658577,,,,0.825865,0.999952,1.181755,1.223712,0.825865,1.658577,0.999952,1.181755,
4,conesQuarterSize,HALF,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001250,0.000834,0.000224,0.000043,0.000011,0.001101,0.000026,0.000025,0.007988,0.004671,0.004670,0.000435,0.000000,0.015413,0.000019,0.005092,0.001134,0.000324,0.001081,0.000329,0.000000,0.003207,0.001028,0.000362,0.000096,0.015441,0.015459,0.015516,0.015516,0.856229,,2.316924,1.475779,0.790524,0.157505,0.109879,0.073576,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.040545,0.035994,0.010643,0.005683,0.000741,0.000622,0.617107,1.539437,,0.617107,0.617107,,0.999682,1.073989,1.209529,0.617107,1.539437,0.999682,1.073989,
4,conesQuarterSize,HALF,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001243,0.000763,0.000212,0.000044,0.000011,0.001031,0.000036,0.000035,0.009254,0.004607,0.004606,0.000430,0.000000,0.016570,0.000018,0.006020,0.001400,0.000351,0.001163,0.000339,0.000000,0.003166,0.001039,0.000336,0.000081,0.016594,0.016611,0.016664,0.016664,0.856229,,2.316924,1.475779,0.790524,0.157505,0.109879,0.073576,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.040545,0.035994,0.010643,0.005683,0.000741,0.000622,0.672121,1.546444,,0.672121,,0.672121,1.018229,1.073989,1.252120,0.672121,1.546444,1.018229,1.073989,
