Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX512 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000020,0.000014,0.000014,0.000010,0.000009,0.000050,0.000013,0.000013,0.000302,0.000104,0.000104,0.000019,0.000000,0.000503,0.000008,0.000103,0.000057,0.000042,0.000053,0.000042,0.000000,0.000026,0.000024,0.000026,0.000029,0.000522,0.000535,0.000540,0.000540,0.007710,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.317570,1.318352,1.317570,,1.317570,,1.001973,1.354770,0.998000,1.317570,1.318352,1.001973,1.354770,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000021,0.000014,0.000014,0.000010,0.000009,0.000047,0.000014,0.000013,0.000502,0.000105,0.000104,0.000015,0.000000,0.000704,0.000007,0.000203,0.000085,0.000062,0.000088,0.000055,0.000000,0.000026,0.000023,0.000028,0.000028,0.000720,0.000727,0.000732,0.000732,0.007710,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.686636,1.338599,1.686636,,,1.686636,1.020103,1.354770,0.980318,1.686636,1.338599,1.020103,1.354770,
1,tsukubaSet,HALF,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000101,0.000041,0.000014,0.000020,0.000011,0.000096,0.000018,0.000018,0.000775,0.000301,0.000300,0.000037,0.000000,0.001325,0.000011,0.000378,0.000119,0.000069,0.000146,0.000075,0.000000,0.000182,0.000047,0.000039,0.000040,0.001344,0.001355,0.001385,0.001385,0.077112,,1.490307,1.455169,0.398953,0.223009,0.073712,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004494,0.004494,0.001890,0.000479,0.000326,0.000000,1.498366,1.624421,1.498366,,1.498366,,1.011082,1.480954,,1.498366,1.624421,1.011082,1.480954,
1,tsukubaSet,HALF,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000110,0.000040,0.000015,0.000017,0.000012,0.000085,0.000023,0.000023,0.001412,0.000311,0.000311,0.000037,0.000000,0.001986,0.000012,0.000633,0.000195,0.000096,0.000336,0.000143,0.000000,0.000180,0.000047,0.000042,0.000040,0.002004,0.002015,0.002051,0.002051,0.077112,,1.490307,1.455169,0.398953,0.223009,0.073712,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004494,0.004494,0.001890,0.000479,0.000326,0.000000,1.400822,1.608639,1.400822,,,1.400822,0.990373,1.480954,,1.400822,1.608639,0.990373,1.480954,
2,venus,HALF,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000196,0.000091,0.000023,0.000011,0.000008,0.000131,0.000009,0.000009,0.001858,0.000500,0.000499,0.000109,0.000000,0.002798,0.000016,0.001068,0.000291,0.000110,0.000294,0.000104,0.000000,0.000328,0.000112,0.000044,0.000019,0.002820,0.002837,0.002885,0.002885,0.197945,,0.446654,0.423928,0.883956,0.025261,0.013993,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002238,0.002238,0.001678,0.000126,0.000066,0.000000,1.223060,2.223650,1.223060,,1.223060,,1.004044,1.421258,,1.223060,2.223650,1.004044,1.421258,
2,venus,HALF,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000209,0.000077,0.000040,0.000011,0.000009,0.000134,0.000011,0.000011,0.003129,0.000434,0.000433,0.000109,0.000000,0.004013,0.000017,0.001934,0.000535,0.000203,0.000344,0.000115,0.000000,0.000289,0.000090,0.000035,0.000020,0.004035,0.004052,0.004100,0.004100,0.197945,,0.446654,0.423928,0.883956,0.025261,0.013993,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002238,0.002238,0.001678,0.000126,0.000066,0.000000,0.993701,2.223534,0.993701,,,0.993701,0.996070,1.421258,,0.993701,2.223534,0.996070,1.421258,
3,barn1,HALF,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000294,0.000108,0.000073,0.000013,0.000009,0.000201,0.000013,0.000012,0.003182,0.001466,0.001466,0.000188,0.000000,0.005324,0.000016,0.001991,0.000486,0.000177,0.000400,0.000130,0.000000,0.000853,0.000412,0.000160,0.000042,0.005346,0.005363,0.005411,0.005411,0.390899,,0.500237,0.486434,0.850230,0.039097,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001604,0.001604,0.000784,0.000140,0.000103,0.000000,0.762759,1.647365,,,0.762759,,1.012939,1.212706,,0.762759,1.647365,1.012939,1.212706,
3,barn1,HALF,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000301,0.000120,0.000076,0.000013,0.000009,0.000215,0.000012,0.000011,0.004311,0.001468,0.001468,0.000195,0.000000,0.006480,0.000016,0.002757,0.000739,0.000232,0.000448,0.000146,0.000000,0.000875,0.000410,0.000147,0.000043,0.006500,0.006515,0.006562,0.006562,0.390899,,0.500237,0.486434,0.850230,0.039097,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001604,0.001604,0.000784,0.000140,0.000103,0.000000,0.831857,1.649734,,,,0.831857,1.005203,1.212706,,0.831857,1.649734,1.005203,1.212706,
4,conesQuarterSize,HALF,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001253,0.000837,0.000220,0.000043,0.000010,0.001110,0.000025,0.000025,0.008022,0.004700,0.004700,0.000431,0.000001,0.015519,0.000018,0.005129,0.001194,0.000313,0.001083,0.000308,0.000000,0.003231,0.001046,0.000348,0.000078,0.015546,0.015564,0.015617,0.015617,0.854387,,2.316924,1.475779,0.790524,0.157505,0.109879,0.073576,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.040545,0.035994,0.010643,0.005683,0.000741,0.000622,0.613096,1.542755,,0.613096,0.613096,,1.004512,1.094700,,0.613096,1.542755,1.004512,1.094700,
4,conesQuarterSize,HALF,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001231,0.000837,0.000222,0.000044,0.000011,0.001114,0.000026,0.000025,0.009546,0.004710,0.004709,0.000420,0.000000,0.017006,0.000018,0.006154,0.001519,0.000389,0.001157,0.000355,0.000000,0.003259,0.001030,0.000339,0.000088,0.017027,0.017045,0.017096,0.017096,0.854387,,2.316924,1.475779,0.790524,0.157505,0.109879,0.073576,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.040545,0.035994,0.010643,0.005683,0.000741,0.000622,0.655119,1.549777,,0.655119,,0.655119,0.999096,1.094700,,0.655119,1.549777,0.999096,1.094700,
