Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX512 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX512 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX512 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX512,192,144,3,0.000000,0.000016,0.000013,0.000008,0.000009,0.000008,0.000037,0.000011,0.000011,0.000253,0.000086,0.000085,0.000015,0.000001,0.000418,0.000007,0.000094,0.000046,0.000040,0.000043,0.000040,0.000000,0.000031,0.000016,0.000019,0.000020,0.000432,0.000439,0.000448,0.000448,0.006992,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.294347,1.497798,1.294347,,1.294347,,1.107769,1.458370,0.821056,,,,,,,,,,,,,,,,,,,1.294347,1.497798,1.107769,1.458370,,,
0,tsukubaSetHalfSize,FLOAT,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX512,192,144,3,0.000000,0.000017,0.000011,0.000007,0.000009,0.000007,0.000035,0.000010,0.000010,0.000459,0.000081,0.000081,0.000015,0.000000,0.000623,0.000006,0.000227,0.000084,0.000051,0.000058,0.000035,0.000000,0.000031,0.000015,0.000016,0.000020,0.000638,0.000644,0.000653,0.000653,0.006992,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.980572,1.564185,1.980572,,,1.980572,1.090989,1.458370,0.989875,,,,,,,,,,,,,,,,,,,1.980572,1.564185,1.090989,1.458370,,,
1,tsukubaSet,FLOAT,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000089,0.000046,0.000016,0.000015,0.000013,0.000088,0.000025,0.000025,0.001164,0.000728,0.000727,0.000100,0.000000,0.002192,0.000013,0.000760,0.000193,0.000076,0.000054,0.000075,0.000000,0.000557,0.000091,0.000049,0.000052,0.002211,0.002223,0.002254,0.002254,0.080901,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.997835,1.475120,0.997835,,0.997835,,1.004707,1.316294,,,,,,,,,,,,,,,,,,,,0.997835,1.475120,1.004707,1.293300,,,
1,tsukubaSet,FLOAT,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000093,0.000048,0.000016,0.000015,0.000015,0.000094,0.000034,0.000034,0.001827,0.000739,0.000738,0.000102,0.000000,0.002853,0.000012,0.001259,0.000307,0.000114,0.000087,0.000081,0.000000,0.000530,0.000116,0.000039,0.000053,0.002872,0.002884,0.002915,0.002915,0.080901,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.188355,1.507752,1.188355,,,1.188355,0.990151,1.099053,0.982531,,,,,,,,,,,,,,,,,,,1.188355,1.507752,0.990151,1.293300,,,
2,venus,FLOAT,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000189,0.000102,0.000026,0.000011,0.000009,0.000149,0.000013,0.000013,0.003415,0.001049,0.001049,0.000242,0.000000,0.005040,0.000016,0.002658,0.000460,0.000175,0.000079,0.000087,0.000000,0.000771,0.000145,0.000092,0.000041,0.005062,0.005077,0.005138,0.005138,0.206996,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.720273,2.118697,0.720273,,0.720273,,1.036224,1.652693,0.978320,,,,,,,,,,,,,,,,,,,0.720273,2.118697,1.036224,1.652693,,,
2,venus,FLOAT,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000176,0.000121,0.000030,0.000012,0.000009,0.000170,0.000012,0.000012,0.006772,0.001034,0.001033,0.000247,0.000000,0.008405,0.000016,0.005373,0.000899,0.000296,0.000117,0.000101,0.000000,0.000757,0.000147,0.000091,0.000038,0.008426,0.008443,0.008491,0.008491,0.206996,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.661996,2.114267,0.661996,,,0.661996,0.987269,1.652693,0.975885,,,,,,,,,,,,,,,,,,,0.661996,2.114267,0.987269,1.652693,,,
3,barn1,FLOAT,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX512,432,381,3,0.000000,0.000303,0.000189,0.000055,0.000014,0.000008,0.000263,0.000011,0.000011,0.007258,0.001485,0.001485,0.000394,0.000000,0.009695,0.000016,0.005475,0.001167,0.000358,0.000129,0.000134,0.000000,0.001011,0.000249,0.000177,0.000064,0.009717,0.009733,0.009783,0.009783,0.391873,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586309,1.632121,,,0.586309,,1.087390,1.304137,0.918333,,,,,,,,,,,,,,,,,,,0.586309,1.632121,1.087390,1.304137,,,
3,barn1,FLOAT,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000256,0.000224,0.000041,0.000025,0.000011,0.000302,0.000013,0.000013,0.009646,0.002060,0.002059,0.000392,0.000000,0.012670,0.000017,0.007760,0.001253,0.000380,0.000148,0.000133,0.000000,0.001541,0.000298,0.000179,0.000054,0.012691,0.012709,0.012758,0.012758,0.391873,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.524937,1.617157,,,,0.524937,1.002507,1.304137,0.999363,,,,,,,,,,,,,,,,,,,0.524937,1.617157,1.002507,1.304137,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.000524,0.000562,0.000230,0.000062,0.000017,0.000869,0.000025,0.000025,0.014392,0.004851,0.004850,0.000772,0.000000,0.021428,0.000023,0.011095,0.002350,0.000525,0.000185,0.000239,0.000000,0.003075,0.001261,0.000423,0.000094,0.021463,0.021486,0.021553,0.021553,0.861922,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.771644,1.534570,,0.771644,0.771644,,1.001838,1.120078,,,,,,,,,,,,,,,,,,,,0.771644,1.534570,1.001838,1.120078,,,
4,conesQuarterSize,FLOAT,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.000561,0.000515,0.000239,0.000062,0.000016,0.000831,0.000024,0.000024,0.016925,0.004904,0.004903,0.000780,0.000001,0.024021,0.000021,0.013022,0.002769,0.000673,0.000208,0.000260,0.000000,0.003142,0.001253,0.000416,0.000101,0.024054,0.024074,0.024141,0.024141,0.861922,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.756315,1.547123,,0.756315,,0.756315,0.993526,1.120078,,,,,,,,,,,,,,,,,,,,0.756315,1.547123,0.993526,1.120078,,,
