Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,HALF,24,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX256,192,144,3,0.000000,0.000021,0.000015,0.000008,0.000008,0.000007,0.000038,0.000007,0.000007,0.000247,0.000077,0.000077,0.000015,0.000000,0.000402,0.000007,0.000110,0.000045,0.000027,0.000022,0.000028,0.000000,0.000025,0.000014,0.000021,0.000017,0.000416,0.000422,0.000431,0.000431,0.007475,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.651401,1.359736,1.651401,,1.651401,,1.194896,1.624481,,0.838582,1.651401,1.359736,1.194896,1.624481,
0,tsukubaSetHalfSize,HALF,24,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,192,144,3,0.000000,0.000020,0.000014,0.000014,0.000008,0.000007,0.000043,0.000008,0.000008,0.000478,0.000115,0.000115,0.000015,0.000000,0.000674,0.000007,0.000255,0.000099,0.000058,0.000034,0.000043,0.000000,0.000025,0.000031,0.000030,0.000027,0.000689,0.000695,0.000700,0.000700,0.007475,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.762995,1.380619,1.762995,,,1.762995,1.040350,1.624481,,0.995446,1.762995,1.380619,1.040350,1.624481,
1,tsukubaSet,HALF,24,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,384,288,3,0.000000,0.000118,0.000068,0.000021,0.000020,0.000011,0.000120,0.000020,0.000020,0.001222,0.000307,0.000307,0.000053,0.000000,0.001857,0.000012,0.000798,0.000252,0.000088,0.000050,0.000038,0.000000,0.000160,0.000048,0.000057,0.000040,0.001876,0.001887,0.001916,0.001916,0.075228,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,1.083044,1.665106,1.083044,,1.083044,,1.011451,1.512670,,0.947920,1.083044,1.665106,1.011451,1.261574,
1,tsukubaSet,HALF,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000125,0.000068,0.000022,0.000018,0.000013,0.000122,0.000019,0.000019,0.001718,0.000326,0.000325,0.000048,0.000000,0.002361,0.000012,0.001074,0.000310,0.000133,0.000076,0.000148,0.000000,0.000187,0.000048,0.000042,0.000047,0.002377,0.002388,0.002417,0.002417,0.075228,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,1.188611,1.648928,1.188611,,,1.188611,1.013387,1.195872,,,1.188611,1.648928,1.013387,1.261574,
2,venus,HALF,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000233,0.000141,0.000045,0.000016,0.000010,0.000201,0.000010,0.000010,0.002479,0.000457,0.000457,0.000114,0.000000,0.003494,0.000015,0.001679,0.000477,0.000161,0.000082,0.000098,0.000000,0.000300,0.000103,0.000038,0.000020,0.003512,0.003527,0.003572,0.003572,0.198330,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.987714,2.219332,0.987714,,0.987714,,0.994103,1.433173,,,0.987714,2.219332,0.994103,1.433173,
2,venus,HALF,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000237,0.000128,0.000038,0.000015,0.000010,0.000192,0.000012,0.000012,0.003978,0.000471,0.000470,0.000120,0.000000,0.005037,0.000016,0.002802,0.000693,0.000252,0.000109,0.000119,0.000000,0.000320,0.000094,0.000039,0.000020,0.005059,0.005074,0.005120,0.005120,0.198330,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.795817,2.219216,0.795817,,,0.795817,0.994488,1.433173,,,0.795817,2.219216,0.994488,1.433173,
3,barn1,HALF,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000360,0.000227,0.000098,0.000018,0.000010,0.000350,0.000012,0.000012,0.004115,0.001462,0.001461,0.000192,0.000000,0.006477,0.000017,0.002847,0.000794,0.000245,0.000103,0.000134,0.000000,0.000882,0.000408,0.000129,0.000045,0.006497,0.006514,0.006559,0.006559,0.385968,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,0.629282,1.668408,,,0.629282,,1.019872,1.213662,,,0.629282,1.668408,1.019872,1.213662,
3,barn1,HALF,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000342,0.000191,0.000096,0.000019,0.000011,0.000317,0.000013,0.000012,0.005515,0.001453,0.001452,0.000207,0.000000,0.007878,0.000017,0.003874,0.001010,0.000320,0.000129,0.000140,0.000000,0.000866,0.000405,0.000147,0.000044,0.007899,0.007916,0.007961,0.007961,0.385968,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,0.685748,1.670807,,,,0.685748,0.987255,1.213662,,,0.685748,1.670807,0.987255,1.213662,
4,conesQuarterSize,HALF,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.001240,0.000671,0.000206,0.000047,0.000013,0.000937,0.000030,0.000029,0.009990,0.004568,0.004567,0.000570,0.000000,0.017308,0.000018,0.007396,0.001700,0.000426,0.000167,0.000299,0.000000,0.003120,0.001028,0.000336,0.000084,0.017328,0.017345,0.017394,0.017394,0.842166,,2.332252,1.489943,0.790667,0.159852,0.111081,0.073624,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.023905,0.020840,0.007052,0.003064,0.000421,0.000415,0.550478,1.565142,,0.550478,0.550478,,1.001637,1.128195,,,0.550478,1.565142,1.001637,1.128195,
4,conesQuarterSize,HALF,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.001215,0.000857,0.000216,0.000060,0.000014,0.001146,0.000026,0.000025,0.011893,0.004700,0.004700,0.000561,0.000001,0.019539,0.000017,0.008797,0.002057,0.000550,0.000199,0.000306,0.000000,0.003249,0.001021,0.000348,0.000086,0.019559,0.019576,0.019624,0.019624,0.842166,,2.332252,1.489943,0.790667,0.159852,0.111081,0.073624,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.023905,0.020840,0.007052,0.003064,0.000421,0.000415,0.570746,1.572266,,0.570746,,0.570746,1.001366,1.128195,,,0.570746,1.572266,1.001366,1.128195,
