Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup over AVX256 (w/ float16) CPU vectorization - HALF,Speedup over AVX512 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX512,192,144,3,0.000000,0.000021,0.000014,0.000008,0.000008,0.000006,0.000037,0.000010,0.000010,0.000248,0.000079,0.000078,0.000013,0.000000,0.000402,0.000005,0.000101,0.000045,0.000027,0.000043,0.000031,0.000000,0.000026,0.000014,0.000018,0.000020,0.000423,0.000428,0.000433,0.000433,0.007624,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.642582,1.333135,1.642582,,1.642582,,1.204301,1.630445,,,,0.739576,1.642582,1.333135,1.204301,1.630445,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX512,192,144,3,0.000000,0.000026,0.000015,0.000007,0.000009,0.000007,0.000039,0.000011,0.000010,0.000506,0.000082,0.000081,0.000013,0.000000,0.000678,0.000005,0.000216,0.000079,0.000043,0.000097,0.000054,0.000000,0.000027,0.000014,0.000018,0.000023,0.000693,0.000698,0.000707,0.000707,0.007624,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.747165,1.353609,1.747165,,,1.747165,1.044978,1.630445,,,,0.839531,1.747165,1.353609,1.044978,1.630445,
1,tsukubaSet,HALF,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000119,0.000067,0.000023,0.000024,0.000013,0.000128,0.000024,0.000024,0.001064,0.000320,0.000319,0.000051,0.000000,0.001703,0.000011,0.000658,0.000183,0.000082,0.000053,0.000084,0.000000,0.000178,0.000048,0.000043,0.000044,0.001721,0.001732,0.001761,0.001761,0.076800,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,1.178429,1.631031,1.178429,,1.178429,,1.003434,1.387661,,,,0.939185,1.178429,1.631031,1.003434,1.387661,
1,tsukubaSet,HALF,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000125,0.000068,0.000022,0.000025,0.000013,0.000130,0.000023,0.000022,0.001736,0.000318,0.000317,0.000046,0.000000,0.002381,0.000013,0.001032,0.000309,0.000133,0.000084,0.000153,0.000000,0.000189,0.000048,0.000041,0.000043,0.002401,0.002413,0.002443,0.002443,0.076800,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,1.175781,1.615185,1.175781,,,1.175781,1.014596,1.387661,,,,0.911382,1.175781,1.615185,1.014596,1.387661,
2,venus,HALF,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000234,0.000134,0.000039,0.000015,0.000009,0.000197,0.000010,0.000009,0.002521,0.000480,0.000479,0.000111,0.000000,0.003550,0.000027,0.001739,0.000459,0.000159,0.000079,0.000089,0.000000,0.000311,0.000097,0.000051,0.000019,0.003571,0.003586,0.003631,0.003631,0.199426,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.971783,2.207137,0.971783,,0.971783,,1.011750,1.436488,,,,0.985009,0.971783,2.207137,1.011750,1.436488,
2,venus,HALF,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000247,0.000148,0.000040,0.000015,0.000009,0.000213,0.000012,0.000012,0.004076,0.000477,0.000476,0.000114,0.000000,0.005133,0.000017,0.002841,0.000764,0.000241,0.000107,0.000113,0.000000,0.000313,0.000108,0.000041,0.000021,0.005153,0.005171,0.005216,0.005216,0.199426,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.781175,2.207022,0.781175,,,0.781175,0.986904,1.436488,,,,0.995800,0.781175,2.207022,0.986904,1.436488,
3,barn1,HALF,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000343,0.000210,0.000100,0.000019,0.000023,0.000351,0.000012,0.000012,0.004265,0.001505,0.001504,0.000178,0.000000,0.006609,0.000017,0.002877,0.000919,0.000243,0.000098,0.000118,0.000000,0.000885,0.000416,0.000166,0.000044,0.006629,0.006646,0.006704,0.006704,0.392042,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,0.615732,1.642560,,,0.615732,,0.996067,1.201060,,,,0.995317,0.615732,1.642560,0.996067,1.197454,
3,barn1,HALF,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000342,0.000098,0.000086,0.000012,0.000009,0.000205,0.000011,0.000011,0.005694,0.001485,0.001484,0.000216,0.000000,0.007944,0.000016,0.003818,0.001007,0.000320,0.000410,0.000131,0.000000,0.000886,0.000405,0.000148,0.000044,0.007965,0.007981,0.008027,0.008027,0.392042,,8.252467,7.095519,1.000000,1.000000,0.581116,0.429693,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,8.295033,7.109809,0.990145,0.990145,0.579670,0.445356,0.680065,1.644922,,,,0.680065,1.011899,1.191846,,,,,0.680065,1.644922,1.011899,1.197454,
4,conesQuarterSize,HALF,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001226,0.000819,0.000225,0.000043,0.000010,0.001096,0.000025,0.000025,0.010510,0.004637,0.004636,0.000564,0.000001,0.018031,0.000018,0.007318,0.001667,0.000480,0.000800,0.000231,0.000000,0.003196,0.001020,0.000337,0.000084,0.018052,0.018068,0.018120,0.018120,0.845103,,32.461636,9.680087,0.967828,0.967828,0.967828,0.967763,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,33.217880,9.904392,0.990246,0.990246,0.990246,0.990246,0.528432,1.559704,,0.528432,0.528432,,0.997308,1.130950,,,,,0.528432,1.559704,0.997308,1.130950,
4,conesQuarterSize,HALF,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001249,0.000862,0.000210,0.000043,0.000022,0.001136,0.000025,0.000024,0.012709,0.004711,0.004710,0.000575,0.000001,0.020404,0.000018,0.008903,0.002049,0.000590,0.000907,0.000263,0.000000,0.003256,0.001037,0.000335,0.000082,0.020425,0.020443,0.020492,0.020492,0.845103,,32.461636,9.680087,0.967828,0.967828,0.967828,0.967763,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,33.217880,9.904392,0.990246,0.990246,0.990246,0.990246,0.546553,1.566804,,0.546553,,0.546553,0.989914,1.130950,,,,,0.546553,1.566804,0.989914,1.130950,
