Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,32,NEON,192,144,3,0.000000,0.000009,0.000012,0.000011,0.000010,0.000010,0.000043,0.000006,0.000006,0.000268,0.000064,0.000064,0.000028,0.000000,0.000415,0.000010,0.000108,0.000052,0.000039,0.000035,0.000034,0.000000,0.000024,0.000014,0.000013,0.000012,0.000453,0.000495,0.000497,0.000497,0.010706,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.164892,0.978253,1.164892,,1.164892,,1.294841,1.528243,,,,,,,,,,,,,,,,,,,,1.164892,0.978253,1.294841,1.528243,1.010008,0.827909,
0,tsukubaSetHalfSize,FLOAT,64,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,32,NEON,192,144,3,0.000000,0.000009,0.000012,0.000011,0.000011,0.000011,0.000045,0.000006,0.000006,0.000563,0.000067,0.000067,0.000022,0.000000,0.000718,0.000010,0.000315,0.000108,0.000050,0.000036,0.000035,0.000000,0.000025,0.000017,0.000013,0.000012,0.000746,0.000757,0.000760,0.000760,0.010706,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.700986,1.021612,1.700986,,,1.700986,1.065627,1.528243,,,,,,,,,,,,,,,,,,,,1.700986,1.021612,1.065627,1.528243,0.980761,0.729375,
1,tsukubaSet,FLOAT,64,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000031,0.000028,0.000023,0.000020,0.000020,0.000089,0.000012,0.000012,0.000917,0.000200,0.000200,0.000048,0.000000,0.001304,0.000020,0.000486,0.000175,0.000091,0.000094,0.000066,0.000000,0.000111,0.000041,0.000024,0.000025,0.001324,0.001344,0.001359,0.001359,0.093483,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.655046,1.276589,1.655046,,1.655046,,1.016106,2.208919,,,,,,,,,,,,,,,,,,,,1.655046,1.276589,1.016106,2.208919,0.982488,0.669288,
1,tsukubaSet,FLOAT,64,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000030,0.000027,0.000021,0.000019,0.000019,0.000086,0.000012,0.000012,0.001866,0.000207,0.000206,0.000044,0.000000,0.002945,0.000019,0.001164,0.000387,0.000152,0.000079,0.000066,0.000000,0.000118,0.000040,0.000024,0.000024,0.002968,0.002987,0.003002,0.003002,0.093483,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.154030,1.304829,1.154030,,,1.154030,0.771348,2.208919,,,,,,,,,,,,,,,,,,,,1.154030,1.304829,0.771348,2.208919,1.332751,0.768849,
2,venus,FLOAT,64,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000044,0.000040,0.000025,0.000020,0.000020,0.000104,0.000015,0.000015,0.002523,0.000233,0.000233,0.000160,0.000000,0.003073,0.000020,0.001704,0.000464,0.000195,0.000095,0.000066,0.000000,0.000115,0.000047,0.000037,0.000034,0.003093,0.003113,0.003134,0.003134,0.278424,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.180671,1.575157,1.180671,,1.180671,,1.135332,1.092798,,,,,,,,,,,,,,,,,,,,1.180671,1.575157,1.135332,1.092798,0.977417,0.525462,
2,venus,FLOAT,64,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000041,0.000041,0.000025,0.000027,0.000021,0.000113,0.000015,0.000015,0.002856,0.000241,0.000240,0.000070,0.000000,0.003360,0.000022,0.001936,0.000515,0.000215,0.000103,0.000073,0.000000,0.000116,0.000053,0.000037,0.000036,0.003380,0.003402,0.003425,0.003425,0.278424,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.641116,1.571863,1.641116,,,1.641116,0.992563,1.092798,,,,,,,,,,,,,,,,,,,,1.641116,1.571863,0.992563,1.092798,0.990350,0.502262,
3,barn1,FLOAT,64,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000059,0.000058,0.000036,0.000023,0.000022,0.000139,0.000028,0.000027,0.003801,0.000394,0.000393,0.000105,0.000000,0.004516,0.000022,0.002621,0.000690,0.000276,0.000120,0.000080,0.000000,0.000200,0.000084,0.000062,0.000048,0.004547,0.004569,0.004593,0.004593,0.408941,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.248769,1.564003,,,1.248769,,1.008367,1.192044,,,,,,,,,,,,,,,,,,,,1.248769,1.564003,1.008367,1.192044,0.996958,0.359177,
3,barn1,FLOAT,64,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000001,0.000055,0.000059,0.000030,0.000029,0.000036,0.000410,0.000179,0.000178,0.004109,0.000418,0.000417,0.000105,0.000000,0.005396,0.000023,0.002828,0.000760,0.000300,0.000125,0.000086,0.000000,0.000218,0.000087,0.000065,0.000053,0.005431,0.005453,0.005475,0.005475,0.408941,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.223188,1.549664,,,,1.223188,0.896312,1.192044,,,,,,,,,,,,,,,,,,,,1.223188,1.549664,0.896312,1.192044,1.004839,0.408487,
4,conesQuarterSize,FLOAT,64,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000001,0.000167,0.000182,0.000068,0.000030,0.000025,0.000303,0.000033,0.000033,0.010765,0.001583,0.001582,0.000774,0.000001,0.013692,0.000027,0.008376,0.001507,0.000592,0.000194,0.000118,0.000000,0.001101,0.000291,0.000106,0.000088,0.013732,0.013759,0.013784,0.013784,0.946700,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.206522,1.397148,,1.206522,1.206522,,1.075680,1.047655,,,,,,,,,,,,,,,,,,,,1.206522,1.397148,1.075680,1.047655,1.355176,0.418643,
4,conesQuarterSize,FLOAT,64,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000001,0.000161,0.000170,0.000065,0.000030,0.000032,0.000297,0.000033,0.000033,0.011441,0.001566,0.001565,0.000801,0.000000,0.014352,0.000024,0.008993,0.001550,0.000607,0.000205,0.000123,0.000000,0.001081,0.000292,0.000104,0.000090,0.014392,0.014416,0.014441,0.014441,0.946700,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.264303,1.408577,,1.264303,,1.264303,0.971273,1.047655,,,,,,,,,,,,,,,,,,,,1.264303,1.408577,0.971273,1.047655,1.370560,0.388564,
