Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,32,NEON,192,144,3,0.000000,0.000009,0.000012,0.000010,0.000010,0.000010,0.000043,0.000006,0.000006,0.000277,0.000064,0.000063,0.000030,0.000000,0.000431,0.000010,0.000119,0.000051,0.000039,0.000035,0.000034,0.000000,0.000024,0.000014,0.000013,0.000012,0.000463,0.000488,0.000491,0.000491,0.010539,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.180999,0.993711,1.180999,,1.180999,,1.331005,1.516566,,,,,,,,,,,,,,,,,,,,1.180999,0.993711,1.331005,1.516566,0.976685,0.768021,
0,tsukubaSetHalfSize,FLOAT,64,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,32,NEON,192,144,3,0.000000,0.000009,0.000012,0.000011,0.000010,0.000010,0.000043,0.000006,0.000006,0.000554,0.000064,0.000064,0.000028,0.000000,0.000706,0.000010,0.000317,0.000107,0.000050,0.000036,0.000035,0.000000,0.000024,0.000014,0.000013,0.000012,0.000731,0.000741,0.000744,0.000744,0.010539,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.737785,1.037755,1.737785,,,1.737785,1.069284,1.516566,,,,,,,,,,,,,,,,,,,,1.737785,1.037755,1.069284,1.516566,0.952366,0.709054,
1,tsukubaSet,FLOAT,64,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000031,0.000037,0.000021,0.000020,0.000019,0.000097,0.000012,0.000012,0.000889,0.000202,0.000202,0.000044,0.000000,0.001275,0.000020,0.000483,0.000171,0.000092,0.000076,0.000066,0.000000,0.000114,0.000039,0.000024,0.000025,0.001296,0.001316,0.001330,0.001330,0.093257,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.690634,1.279676,1.690634,,1.690634,,1.011400,1.712966,,,,,,,,,,,,,,,,,,,,1.690634,1.279676,1.011400,1.712966,0.960985,0.660487,
1,tsukubaSet,FLOAT,64,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000030,0.000027,0.000021,0.000020,0.000020,0.000088,0.000012,0.000012,0.001856,0.000193,0.000193,0.000044,0.000000,0.002224,0.000019,0.001149,0.000384,0.000151,0.000086,0.000067,0.000000,0.000106,0.000039,0.000023,0.000025,0.002244,0.002263,0.002279,0.002279,0.093257,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.520154,1.307985,1.520154,,,1.520154,1.003623,1.712966,,,,,,,,,,,,,,,,,,,,1.520154,1.307985,1.003623,1.712966,1.005307,0.474370,
2,venus,FLOAT,64,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000044,0.000039,0.000024,0.000020,0.000020,0.000104,0.000015,0.000015,0.002508,0.000240,0.000240,0.000162,0.000000,0.003081,0.000021,0.001683,0.000463,0.000192,0.000093,0.000066,0.000000,0.000122,0.000049,0.000037,0.000034,0.003102,0.003123,0.003145,0.003145,0.279596,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.176647,1.568555,1.176647,,1.176647,,0.963288,1.070625,,,,,,,,,,,,,,,,,,,,1.176647,1.568555,0.963288,1.070625,0.983882,0.529583,
2,venus,FLOAT,64,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000046,0.000040,0.000024,0.000020,0.000020,0.000104,0.000015,0.000015,0.002832,0.000243,0.000243,0.000068,0.000000,0.003304,0.000021,0.001942,0.000512,0.000208,0.000109,0.000070,0.000000,0.000118,0.000051,0.000040,0.000033,0.003323,0.003344,0.003367,0.003367,0.279596,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.669395,1.565276,1.669395,,,1.669395,0.996313,1.070625,,,,,,,,,,,,,,,,,,,,1.669395,1.565276,0.996313,1.070625,0.969144,0.505812,
3,barn1,FLOAT,64,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000059,0.000060,0.000029,0.000023,0.000022,0.000133,0.000018,0.000018,0.003742,0.000411,0.000411,0.000105,0.000000,0.005385,0.000022,0.002577,0.000692,0.000269,0.000119,0.000080,0.000000,0.000204,0.000088,0.000068,0.000071,0.005421,0.005443,0.005468,0.005468,0.409366,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.048905,1.562379,,,1.048905,,0.825169,0.878240,,,,,,,,,,,,,,,,,,,,1.048905,1.562379,0.825169,0.878240,1.187443,0.441073,
3,barn1,FLOAT,64,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000055,0.000058,0.000028,0.000023,0.000022,0.000131,0.000019,0.000019,0.004038,0.000386,0.000385,0.000095,0.000000,0.004724,0.000023,0.002764,0.000751,0.000296,0.000125,0.000084,0.000000,0.000187,0.000089,0.000062,0.000051,0.004755,0.004778,0.004803,0.004803,0.409366,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.394526,1.548054,,,,1.394526,1.003585,0.878240,,,,,,,,,,,,,,,,,,,,1.394526,1.548054,1.003585,0.878240,0.975743,0.359086,
4,conesQuarterSize,FLOAT,64,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000000,0.000160,0.000192,0.000066,0.000030,0.000025,0.000310,0.000033,0.000033,0.010646,0.001611,0.001610,0.000793,0.000001,0.013522,0.000051,0.008247,0.001502,0.000582,0.000195,0.000117,0.000000,0.001109,0.000305,0.000109,0.000089,0.013573,0.013625,0.013652,0.013652,0.935734,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.218265,1.413522,,1.218265,1.218265,,1.008903,1.057678,,,,,,,,,,,,,,,,,,,,1.218265,1.413522,1.008903,1.057678,1.333526,0.411014,
4,conesQuarterSize,FLOAT,64,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000001,0.000155,0.000176,0.000062,0.000030,0.000025,0.000291,0.000041,0.000041,0.011225,0.001606,0.001606,0.000773,0.000000,0.014315,0.000052,0.008797,0.001541,0.000599,0.000200,0.000122,0.000000,0.001118,0.000294,0.000113,0.000087,0.014362,0.014415,0.014439,0.014439,0.935734,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.264511,1.425085,,1.264511,,1.264511,0.965750,1.057678,,,,,,,,,,,,,,,,,,,,1.264511,1.425085,0.965750,1.057678,1.324429,0.431415,
