Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,48,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,24,AVX256,192,144,15,0.000000,0.000018,0.000013,0.000011,0.000013,0.000012,0.000050,0.000009,0.000009,0.000306,0.000128,0.000127,0.000021,0.000000,0.000536,0.000009,0.000129,0.000055,0.000042,0.000036,0.000042,0.000000,0.000028,0.000032,0.000035,0.000033,0.000555,0.000564,0.000575,0.000575,0.014990,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.007184,0.698667,1.007184,,1.007184,,1.372399,1.747782,1.000000,2.249619,,,,,,,,,,,,,,,,,,,,,1.007184,0.698667,1.372399,1.747782,0.974086,0.752853,
0,tsukubaSetHalfSize,FLOAT,48,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,24,AVX256,192,144,15,0.000000,0.000018,0.000014,0.000012,0.000014,0.000011,0.000053,0.000009,0.000009,0.000733,0.000128,0.000128,0.000020,0.000000,0.000967,0.000008,0.000441,0.000134,0.000071,0.000046,0.000041,0.000000,0.000030,0.000030,0.000036,0.000032,0.000987,0.000995,0.001005,0.001005,0.014990,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.285965,0.729634,1.285965,,,1.285965,1.187534,1.747782,1.000000,2.597666,,,,,,,,,,,,,,,,,,,,,1.285965,0.729634,1.187534,1.747782,1.236779,0.684137,
1,tsukubaSet,FLOAT,48,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,384,288,15,0.000000,0.000099,0.000048,0.000024,0.000023,0.000024,0.000121,0.000037,0.000036,0.001358,0.000801,0.000800,0.000108,0.000000,0.002525,0.000022,0.000756,0.000199,0.000128,0.000097,0.000166,0.000000,0.000483,0.000142,0.000090,0.000079,0.002569,0.002591,0.002660,0.002660,0.154656,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.845734,0.771643,0.845734,,0.845734,,1.009796,1.504956,1.010421,3.217149,,,,,,,,,,,,,,,,,,,,,0.845734,0.771643,1.009796,1.504956,1.259727,0.378006,
1,tsukubaSet,FLOAT,48,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,384,288,15,0.000000,0.000109,0.000052,0.000025,0.000024,0.000025,0.000127,0.000044,0.000044,0.002657,0.000820,0.000819,0.000108,0.000000,0.003866,0.000022,0.001725,0.000429,0.000182,0.000127,0.000185,0.000000,0.000504,0.000141,0.000095,0.000075,0.003911,0.003933,0.004003,0.004003,0.154656,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.865559,0.788713,0.865559,,,0.865559,0.999338,1.504956,1.031592,3.543172,,,,,,,,,,,,,,,,,,,,,0.865559,0.788713,0.999338,1.504956,1.366100,0.426603,
2,venus,FLOAT,48,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,434,383,15,0.000001,0.000230,0.000105,0.000043,0.000028,0.000032,0.000209,0.000050,0.000050,0.005194,0.001419,0.001418,0.000491,0.000001,0.007595,0.000038,0.004123,0.000479,0.000216,0.000143,0.000216,0.000000,0.000925,0.000295,0.000114,0.000079,0.007652,0.007691,0.007802,0.007802,0.382884,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.474319,1.145416,0.474319,,0.474319,,0.996677,1.242482,1.025244,2.487147,,,,,,,,,,,,,,,,,,,,,0.474319,1.145416,0.996677,1.150583,1.911267,0.391702,
2,venus,FLOAT,48,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX256,434,383,15,0.000001,0.000198,0.000101,0.000036,0.000020,0.000028,0.000184,0.000052,0.000052,0.006465,0.001331,0.001331,0.000518,0.000001,0.008758,0.000038,0.005176,0.000771,0.000280,0.000133,0.000088,0.000000,0.000897,0.000264,0.000089,0.000083,0.008820,0.008858,0.008976,0.008976,0.382884,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.626185,1.143021,0.626185,,,0.626185,1.005310,1.122253,1.000000,3.021223,,,,,,,,,,,,,,,,,,,,,0.626185,1.143021,1.005310,1.150583,1.646192,0.391517,
3,barn1,FLOAT,48,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,432,381,15,0.000000,0.000330,0.000212,0.000046,0.000026,0.000029,0.000316,0.000060,0.000059,0.009635,0.002847,0.002846,0.000993,0.000001,0.014193,0.000036,0.008065,0.000803,0.000293,0.000172,0.000276,0.000000,0.002109,0.000438,0.000189,0.000107,0.014249,0.014288,0.014395,0.014395,0.626499,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.398465,1.020888,,,0.398465,,0.996797,1.119668,1.059216,2.153445,,,,,,,,,,,,,,,,,,,,,0.398465,1.020888,0.996797,1.119668,2.080074,0.457090,
3,barn1,FLOAT,48,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,432,381,15,0.000001,0.000352,0.000219,0.000049,0.000028,0.000034,0.000334,0.000062,0.000061,0.011365,0.002836,0.002835,0.000975,0.000001,0.015911,0.000038,0.009213,0.001198,0.000414,0.000211,0.000309,0.000000,0.002091,0.000436,0.000187,0.000111,0.015966,0.016012,0.016117,0.016117,0.626499,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.415532,1.011528,,,,0.415532,1.000105,1.119668,1.013399,2.353412,,,,,,,,,,,,,,,,,,,,,0.415532,1.011528,1.000105,1.119668,1.929527,0.466142,
4,conesQuarterSize,FLOAT,48,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,450,375,15,0.000001,0.000811,0.000842,0.000190,0.000058,0.000048,0.001141,0.000081,0.000080,0.024004,0.007516,0.007515,0.002275,0.000001,0.035831,0.000038,0.019600,0.003217,0.000508,0.000247,0.000394,0.000000,0.005280,0.001618,0.000415,0.000195,0.035885,0.035923,0.036028,0.036028,1.271455,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.461617,1.040289,,0.461617,0.461617,,0.985613,1.048587,1.081917,1.967655,,,,,,,,,,,,,,,,,,,,,0.461617,1.040289,0.985613,1.048587,1.785020,0.473539,
4,conesQuarterSize,FLOAT,48,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,450,375,15,0.000001,0.000839,0.000836,0.000183,0.000062,0.000050,0.001142,0.000084,0.000083,0.025401,0.007818,0.007815,0.002278,0.000001,0.037588,0.000038,0.020579,0.003476,0.000638,0.000280,0.000430,0.000000,0.005246,0.001936,0.000421,0.000192,0.037641,0.037680,0.037779,0.037779,1.271455,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.483294,1.048799,,0.483294,,0.483294,0.996315,1.048587,1.100400,2.026461,,,,,,,,,,,,,,,,,,,,,0.483294,1.048799,0.996315,1.048587,1.738147,0.476575,
