Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,96,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,192,144,15,0.000000,0.000015,0.000011,0.000006,0.000009,0.000007,0.000033,0.000009,0.000009,0.000230,0.000080,0.000079,0.000013,0.000000,0.000380,0.000006,0.000089,0.000039,0.000032,0.000040,0.000029,0.000000,0.000029,0.000014,0.000017,0.000018,0.000395,0.000402,0.000410,0.000410,0.009285,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.413030,1.127981,1.413030,,1.413030,,2.283118,1.714073,1.046600,2.202143,,,,,,,,,,,,,,,,,,,,,1.413030,1.127981,2.283118,1.704033,1.031865,0.806934,
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,24,AVX256,192,144,15,0.000000,0.000012,0.000011,0.000013,0.000011,0.000010,0.000045,0.000009,0.000008,0.000485,0.000102,0.000102,0.000017,0.000000,0.000670,0.000008,0.000251,0.000100,0.000056,0.000042,0.000039,0.000000,0.000023,0.000025,0.000025,0.000029,0.000682,0.000691,0.000699,0.000699,0.009285,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.850466,1.177976,1.850466,,,1.850466,1.527262,1.628160,1.000000,1.893171,,,,,,,,,,,,,,,,,,,,,1.850466,1.177976,1.527262,1.704033,1.148989,0.732342,
1,tsukubaSet,FLOAT,96,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,384,288,15,0.000000,0.000037,0.000030,0.000021,0.000020,0.000023,0.000094,0.000030,0.000030,0.000664,0.000357,0.000356,0.000038,0.000000,0.001214,0.000017,0.000291,0.000123,0.000079,0.000067,0.000104,0.000000,0.000211,0.000044,0.000045,0.000051,0.001230,0.001248,0.001295,0.001295,0.080996,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.737558,1.473388,1.737558,,1.737558,,1.189507,1.534226,1.118481,2.983706,,,,,,,,,,,,,,,,,,,,,1.737558,1.473388,1.189507,1.534226,1.069954,0.688893,
1,tsukubaSet,FLOAT,96,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,72,AVX512,384,288,15,0.000000,0.000047,0.000034,0.000023,0.000024,0.000026,0.000107,0.000048,0.000047,0.001220,0.000455,0.000454,0.000044,0.000000,0.001909,0.000021,0.000612,0.000248,0.000132,0.000105,0.000123,0.000000,0.000283,0.000049,0.000048,0.000069,0.001930,0.001951,0.001986,0.001986,0.080996,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.744363,1.505982,1.744363,,,1.744363,1.014088,1.534226,1.104850,2.752903,,,,,,,,,,,,,,,,,,,,,1.744363,1.505982,1.014088,1.534226,1.052555,0.736601,
2,venus,FLOAT,96,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,434,383,15,0.000000,0.000071,0.000052,0.000031,0.000029,0.000035,0.000148,0.000075,0.000074,0.001289,0.000447,0.000444,0.000061,0.000000,0.002098,0.000027,0.000607,0.000243,0.000169,0.000120,0.000144,0.000000,0.000221,0.000067,0.000074,0.000075,0.002120,0.002149,0.002198,0.002198,0.208111,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.683761,2.107345,1.683761,,1.683761,,1.001441,1.309696,1.091321,3.025242,,,,,,,,,,,,,,,,,,,,,1.683761,2.107345,1.001441,1.295788,1.078631,0.558694,
2,venus,FLOAT,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000068,0.000048,0.000031,0.000030,0.000035,0.000145,0.000074,0.000073,0.001939,0.000456,0.000454,0.000068,0.000000,0.002738,0.000028,0.001085,0.000365,0.000202,0.000158,0.000114,0.000000,0.000236,0.000062,0.000065,0.000085,0.002760,0.002789,0.002848,0.002848,0.208111,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.973772,2.102939,1.973772,,,1.973772,0.997838,1.187357,1.000000,3.204859,,,,,,,,,,,,,,,,,,,,,1.973772,2.102939,0.997838,1.295788,1.135321,0.518012,
3,barn1,FLOAT,96,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,432,381,15,0.000000,0.000112,0.000057,0.000026,0.000019,0.000028,0.000130,0.000071,0.000071,0.002273,0.000637,0.000637,0.000099,0.000000,0.003342,0.000020,0.001361,0.000412,0.000202,0.000122,0.000176,0.000000,0.000392,0.000103,0.000076,0.000057,0.003360,0.003380,0.003457,0.003457,0.393368,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.658950,1.625920,,,1.658950,,1.076130,1.234986,1.111726,3.031365,,,,,,,,,,,,,,,,,,,,,1.658950,1.625920,1.076130,1.234986,1.207453,0.507667,
3,barn1,FLOAT,96,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,432,381,15,0.000000,0.000100,0.000064,0.000037,0.000036,0.000040,0.000179,0.000111,0.000111,0.002798,0.000875,0.000875,0.000111,0.000000,0.004165,0.000028,0.001742,0.000450,0.000244,0.000161,0.000184,0.000000,0.000497,0.000124,0.000136,0.000117,0.004193,0.004220,0.004270,0.004270,0.393368,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.568464,1.611013,,,,1.568464,1.036915,1.234986,1.017105,2.993584,,,,,,,,,,,,,,,,,,,,,1.568464,1.611013,1.036915,1.234986,1.255257,0.526551,
4,conesQuarterSize,FLOAT,96,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000000,0.000185,0.000167,0.000098,0.000054,0.000052,0.000378,0.000184,0.000183,0.004977,0.002039,0.002038,0.000340,0.000000,0.008106,0.000027,0.003538,0.000664,0.000306,0.000185,0.000278,0.000000,0.001043,0.000511,0.000296,0.000192,0.008137,0.008165,0.008222,0.008222,0.851714,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.022804,1.552963,,2.022804,2.022804,,0.996888,1.067480,1.104534,2.918590,,,,,,,,,,,,,,,,,,,,,2.022804,1.552963,0.996888,1.067480,1.270893,0.466905,
4,conesQuarterSize,FLOAT,96,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000000,0.000184,0.000170,0.000101,0.000058,0.000062,0.000399,0.000205,0.000204,0.005532,0.002011,0.002010,0.000335,0.000000,0.008656,0.000028,0.003958,0.000739,0.000335,0.000200,0.000304,0.000000,0.001052,0.000482,0.000289,0.000183,0.008691,0.008718,0.008777,0.008777,0.851714,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.080311,1.565667,,2.080311,,2.080311,1.014913,1.067480,1.153930,3.043576,,,,,,,,,,,,,,,,,,,,,2.080311,1.565667,1.014913,1.067480,1.204808,0.471378,
