Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,96,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,192,144,15,0.000000,0.000017,0.000011,0.000007,0.000010,0.000008,0.000036,0.000010,0.000010,0.000268,0.000090,0.000090,0.000014,0.000000,0.000432,0.000006,0.000107,0.000044,0.000035,0.000045,0.000033,0.000000,0.000032,0.000015,0.000019,0.000021,0.000444,0.000451,0.000460,0.000460,0.009646,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.258397,1.085709,1.258397,,1.258397,,2.118143,1.529996,1.156547,1.908865,,,,,,,,,,,,,,,,,,,,,1.258397,1.085709,2.118143,1.529996,1.029601,0.790630,
0,tsukubaSetHalfSize,FLOAT,96,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,24,AVX512,192,144,15,0.000000,0.000013,0.000012,0.000011,0.000012,0.000012,0.000047,0.000019,0.000019,0.000463,0.000110,0.000109,0.000018,0.000000,0.000673,0.000010,0.000205,0.000086,0.000059,0.000062,0.000048,0.000000,0.000027,0.000026,0.000023,0.000032,0.000685,0.000696,0.000704,0.000704,0.009646,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.835418,1.133831,1.835418,,,1.835418,1.537903,1.529996,1.313983,1.990007,,,,,,,,,,,,,,,,,,,,,1.835418,1.133831,1.537903,1.529996,1.103407,0.706305,
1,tsukubaSet,FLOAT,96,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,384,288,15,0.000000,0.000038,0.000031,0.000022,0.000021,0.000024,0.000098,0.000033,0.000032,0.000719,0.000364,0.000362,0.000042,0.000000,0.001298,0.000018,0.000302,0.000134,0.000083,0.000076,0.000117,0.000000,0.000208,0.000048,0.000047,0.000059,0.001314,0.001333,0.001380,0.001380,0.085865,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.629880,1.389837,1.629880,,1.629880,,1.228489,1.466851,1.205231,2.794767,,,,,,,,,,,,,,,,,,,,,1.629880,1.389837,1.228489,1.466851,0.928636,0.640315,
1,tsukubaSet,FLOAT,96,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,72,AVX512,384,288,15,0.000000,0.000048,0.000036,0.000026,0.000026,0.000028,0.000117,0.000051,0.000051,0.001236,0.000437,0.000432,0.000047,0.000000,0.001941,0.000023,0.000642,0.000233,0.000131,0.000107,0.000120,0.000000,0.000256,0.000055,0.000055,0.000066,0.001962,0.001985,0.002024,0.002024,0.085865,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.711418,1.420583,1.711418,,,1.711418,1.034758,1.466851,1.118891,2.768019,,,,,,,,,,,,,,,,,,,,,1.711418,1.420583,1.034758,1.466851,1.186679,0.694208,
2,venus,FLOAT,96,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,434,383,15,0.000000,0.000072,0.000054,0.000036,0.000034,0.000040,0.000163,0.000077,0.000076,0.001410,0.000501,0.000500,0.000071,0.000000,0.002303,0.000032,0.000653,0.000262,0.000198,0.000138,0.000157,0.000000,0.000245,0.000077,0.000083,0.000090,0.002326,0.002357,0.002414,0.002414,0.223059,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.533222,1.966121,1.533222,,1.533222,,0.998087,1.283608,1.018266,2.874758,,,,,,,,,,,,,,,,,,,,,1.533222,1.966121,0.998087,1.150026,1.165568,0.477432,
2,venus,FLOAT,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX256,434,383,15,0.000000,0.000070,0.000043,0.000024,0.000019,0.000026,0.000113,0.000047,0.000047,0.002039,0.000320,0.000319,0.000064,0.000000,0.002664,0.000021,0.001266,0.000408,0.000155,0.000123,0.000086,0.000000,0.000185,0.000059,0.000034,0.000040,0.002681,0.002703,0.002776,0.002776,0.223059,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.025106,1.962010,2.025106,,,2.025106,1.109837,1.129396,1.000000,3.363146,,,,,,,,,,,,,,,,,,,,,2.025106,1.962010,1.109837,1.150026,1.123993,0.452015,
3,barn1,FLOAT,96,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,432,381,15,0.000000,0.000125,0.000059,0.000028,0.000021,0.000030,0.000138,0.000081,0.000081,0.002205,0.000709,0.000707,0.000113,0.000000,0.003378,0.000022,0.001310,0.000364,0.000213,0.000127,0.000194,0.000000,0.000457,0.000113,0.000081,0.000057,0.003402,0.003425,0.003500,0.003500,0.418637,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.638914,1.527779,,,1.638914,,1.244951,1.240384,1.034457,3.096835,,,,,,,,,,,,,,,,,,,,,1.638914,1.527779,1.244951,1.182192,1.220089,0.350350,
3,barn1,FLOAT,96,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX256,432,381,15,0.000000,0.000103,0.000055,0.000028,0.000022,0.000041,0.000146,0.000077,0.000077,0.003065,0.000514,0.000513,0.000103,0.000000,0.004022,0.000023,0.002007,0.000607,0.000211,0.000148,0.000090,0.000000,0.000318,0.000079,0.000055,0.000060,0.004041,0.004064,0.004137,0.004137,0.418637,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.618719,1.513771,,,,1.618719,1.135361,1.142815,1.000000,3.103290,,,,,,,,,,,,,,,,,,,,,1.618719,1.513771,1.135361,1.182192,1.208202,0.380063,
4,conesQuarterSize,FLOAT,96,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000001,0.000198,0.000231,0.000129,0.000080,0.000056,0.000514,0.000215,0.000213,0.007197,0.002696,0.002693,0.000668,0.000001,0.011552,0.000039,0.005344,0.000915,0.000391,0.000218,0.000314,0.000000,0.001475,0.000669,0.000353,0.000213,0.011604,0.011647,0.011741,0.011741,0.902503,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.416533,1.465569,,1.416533,1.416533,,1.027316,1.056324,1.038815,2.226395,,,,,,,,,,,,,,,,,,,,,1.416533,1.465569,1.027316,1.056324,1.639351,0.367700,
4,conesQuarterSize,FLOAT,96,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000001,0.000199,0.000225,0.000132,0.000082,0.000067,0.000526,0.000215,0.000215,0.007940,0.002678,0.002671,0.000659,0.000001,0.012217,0.000039,0.005917,0.001024,0.000429,0.000240,0.000327,0.000000,0.001469,0.000658,0.000351,0.000202,0.012270,0.012307,0.012402,0.012402,0.902503,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.472190,1.477558,,1.472190,,1.472190,0.997109,1.056324,1.071797,2.312778,,,,,,,,,,,,,,,,,,,,,1.472190,1.477558,0.997109,1.056324,1.571842,0.379949,
