Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX256,192,144,0.000000,0.000016,0.000013,0.000015,0.000012,0.000011,YES,YES,YES,YES,YES,0.000052,0.000010,0.000009,0.000271,0.000115,0.000115,YES,0.000019,0.000000,0.000486,0.000009,0.000109,0.000049,0.000037,0.000034,0.000040,YES,YES,YES,YES,YES,0.000000,0.000030,0.000027,0.000027,0.000030,YES,YES,YES,YES,YES,0.000498,0.000507,0.000516,0.000516,0.007109,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.123935,1.473214,1.123935,4.746142,2.595872,1.000000,2.174220,0.844687,1.033575,1.123935,1.473214,4.746142,2.417797,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX512,192,144,0.000000,0.000021,0.000018,0.000020,0.000024,0.000016,YES,YES,YES,YES,YES,0.000080,0.000024,0.000023,0.000853,0.000192,0.000191,YES,0.000036,0.000000,0.001204,0.000014,0.000415,0.000161,0.000102,0.000094,0.000071,YES,YES,YES,YES,YES,0.000000,0.000043,0.000039,0.000040,0.000066,YES,YES,YES,YES,YES,0.001220,0.001234,0.001246,0.001246,0.007017,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.037358,1.558750,1.037358,2.023135,No Data,1.073652,1.284850,0.749582,1.086950,1.037358,1.558750,2.023135,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,384,288,0.000000,0.000058,0.000038,0.000030,0.000027,0.000035,YES,YES,YES,YES,YES,0.000130,0.000053,0.000053,0.001000,0.000473,0.000471,YES,0.000050,0.000000,0.001748,0.000025,0.000410,0.000193,0.000118,0.000106,0.000163,YES,YES,YES,YES,YES,0.000000,0.000265,0.000062,0.000063,0.000066,YES,YES,YES,YES,YES,0.001765,0.001787,0.001837,0.001837,0.081254,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.224655,1.468714,1.224655,1.853514,1.699112,1.117992,2.521457,0.679571,1.027968,1.224655,1.468714,1.853514,1.699112,
1,tsukubaSet,FLOAT,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,384,288,0.000000,0.000055,0.000055,0.000046,0.000045,0.000046,YES,YES,YES,YES,YES,0.000200,0.000067,0.000067,0.002077,0.000522,0.000521,YES,0.000077,0.000000,0.003007,0.000044,0.000966,0.000461,0.000229,0.000219,0.000203,YES,YES,YES,YES,YES,0.000000,0.000238,0.000093,0.000086,0.000098,YES,YES,YES,YES,YES,0.003024,0.003068,0.003121,0.003121,0.081406,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.110142,1.498397,1.110142,1.261497,No Data,1.070710,1.763287,0.725350,1.310861,1.110142,1.498397,1.261497,No Data,
2,venus,FLOAT,64,16,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,434,383,0.000000,0.000075,0.000060,0.000040,0.000042,0.000054,YES,YES,YES,YES,YES,0.000200,0.000081,0.000081,0.001641,0.000543,0.000542,YES,0.000094,0.000000,0.002646,0.000044,0.000692,0.000327,0.000247,0.000173,0.000205,YES,YES,YES,YES,YES,0.000000,0.000272,0.000084,0.000089,0.000100,YES,YES,YES,YES,YES,0.002664,0.002708,0.002788,0.002788,0.227219,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.327086,1.930127,1.327086,1.484644,1.455643,1.112722,2.780807,0.459222,1.060019,1.327086,1.930127,1.484644,1.455643,
2,venus,FLOAT,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,434,383,0.000000,0.000080,0.000055,0.000037,0.000037,0.000047,YES,YES,YES,YES,YES,0.000178,0.000096,0.000096,0.002883,0.000601,0.000599,YES,0.000078,0.000000,0.003928,0.000036,0.001503,0.000512,0.000337,0.000239,0.000283,YES,YES,YES,YES,YES,0.000000,0.000280,0.000080,0.000122,0.000116,YES,YES,YES,YES,YES,0.003956,0.003990,0.004059,0.004059,0.229146,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.384824,1.909888,1.384824,1.267360,No Data,1.094081,2.197143,0.553240,1.191131,1.384824,1.909888,1.267360,No Data,
3,barn1,FLOAT,16,8,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX256,432,381,0.000000,0.000107,0.000077,0.000041,0.000050,0.000049,YES,YES,YES,YES,YES,0.000222,0.000154,0.000154,0.002773,0.000998,0.000997,YES,0.000114,0.000000,0.004355,0.000038,0.001605,0.000500,0.000278,0.000244,0.000144,YES,YES,YES,YES,YES,0.000000,0.000476,0.000130,0.000222,0.000164,YES,YES,YES,YES,YES,0.004381,0.004422,0.004492,0.004492,0.411396,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.276911,1.554670,No Data,1.210519,1.400582,1.000000,2.176251,0.467598,1.212545,1.276911,1.554670,1.210519,1.400582,
3,barn1,FLOAT,16,8,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,192,AVX256,432,381,0.000000,0.000104,0.000152,0.000122,0.000099,0.000092,YES,YES,YES,YES,YES,0.000466,0.000127,0.000126,0.003984,0.001221,0.001211,YES,0.000180,0.000000,0.006108,0.000084,0.001864,0.000839,0.000506,0.000462,0.000306,YES,YES,YES,YES,YES,0.000000,0.000429,0.000255,0.000280,0.000254,YES,YES,YES,YES,YES,0.006136,0.006221,0.006291,0.006291,0.414209,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.064524,1.529955,No Data,0.976885,No Data,1.000000,1.715382,0.553173,1.496748,1.064524,1.529955,0.976885,No Data,
4,conesQuarterSize,FLOAT,16,8,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,192,AVX256,450,375,0.000001,0.000605,0.000292,0.000182,0.000184,0.000114,YES,YES,YES,YES,YES,0.000770,0.000231,0.000229,0.006384,0.002783,0.002777,YES,0.000243,0.000000,0.010987,0.000085,0.003414,0.001278,0.000768,0.000531,0.000367,YES,YES,YES,YES,YES,0.000000,0.001094,0.000575,0.000599,0.000502,YES,YES,YES,YES,YES,0.011028,0.011105,0.011243,0.011243,0.910494,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.479315,1.452706,No Data,0.983835,1.115789,1.000000,1.781006,0.511450,1.305048,1.479315,1.452706,0.983835,1.095186,
4,conesQuarterSize,FLOAT,64,16,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,192,AVX512,450,375,0.000000,0.001239,0.000311,0.000206,0.000137,0.000108,YES,YES,YES,YES,YES,0.000770,0.000236,0.000233,0.006521,0.003040,0.003037,YES,0.000246,0.000000,0.012038,0.000092,0.003231,0.001526,0.000723,0.000487,0.000555,YES,YES,YES,YES,YES,0.000000,0.001250,0.000751,0.000634,0.000392,YES,YES,YES,YES,YES,0.012088,0.012177,0.012313,0.012313,0.916304,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.482883,1.455303,No Data,0.933091,No Data,1.018812,1.768050,0.513847,1.396437,1.482883,1.455303,0.933091,No Data,
