Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Blur Images Parallel Dimensions,Init Message Values Parallel Dimensions,Level 0 Data Costs Parallel Dimensions,Level 1 Data Costs Parallel Dimensions,Level 2 Data Costs Parallel Dimensions,Level 3 Data Costs Parallel Dimensions,Level 4 Data Costs Parallel Dimensions,Level 0 BP Thread Parallel Dimensions,Level 1 BP Thread Parallel Dimensions,Level 2 BP Thread Parallel Dimensions,Level 3 BP Thread Parallel Dimensions,Level 4 BP Thread Parallel Dimensions,Level 0 Copy Thread Parallel Dimensions,Level 1 Copy Thread Parallel Dimensions,Level 2 Copy Thread Parallel Dimensions,Level 3 Copy Thread Parallel Dimensions,Level 4 Copy Thread Parallel Dimensions,Get Output Disparity Parallel Dimensions,Run Success,Acceleration,Device 0,Cuda version,Cuda Runtime Version,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,CUDA output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,CUDA output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,16,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,256 x 2,256 x 2,256 x 2,256 x 2,256 x 2,128 x 3,256 x 2,32 x 10,64 x 5,128 x 3,256 x 2,256 x 2,16 x 1,256 x 2,64 x 5,256 x 2,256 x 2,32 x 14,YES,CUDA,NVIDIA GeForce RTX 3050 Laptop GPU with 16 multiprocessors,12060,12060,192,144,15,0.000000,0.000008,0.000014,0.000012,0.000012,0.000014,0.000051,0.000005,0.000005,0.000380,0.000104,0.000104,0.000032,0.000000,0.000581,0.000051,0.000189,0.000054,0.000048,0.000045,0.000045,0.000000,0.000048,0.000018,0.000019,0.000019,0.000591,0.000641,0.000670,0.000670,0.008860,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.864878,1.182007,0.864878,,0.864878,,1.054916,1.567610,,,,,,,,,,,,,,,,,,,,,,,0.864878,1.182007,1.054916,1.567610,1.245505,0.421591,
0,tsukubaSetHalfSize,FLOAT,16,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,256 x 2,128 x 1,128 x 3,128 x 1,16 x 1,32 x 5,128 x 1,32 x 1,64 x 5,64 x 1,64 x 3,128 x 1,16 x 1,64 x 6,32 x 5,32 x 2,64 x 3,32 x 8,YES,CUDA,NVIDIA GeForce RTX 3050 Laptop GPU with 16 multiprocessors,12060,12060,192,144,15,0.000000,0.000008,0.000014,0.000012,0.000012,0.000013,0.000050,0.000005,0.000005,0.000757,0.000106,0.000106,0.000033,0.000000,0.000959,0.000051,0.000335,0.000113,0.000096,0.000102,0.000108,0.000000,0.000049,0.000018,0.000019,0.000020,0.000969,0.001021,0.001050,0.001050,0.008860,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.231187,1.234397,1.231187,,,1.231187,1.077298,1.567610,,,,,,,,,,,,,,,,,,,,,,,1.231187,1.234397,1.077298,1.567610,1.233361,0.485918,
1,tsukubaSet,FLOAT,16,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,32 x 8,32 x 3,32 x 1,64 x 6,16 x 1,64 x 3,128 x 1,64 x 1,128 x 1,64 x 3,128 x 1,64 x 2,16 x 1,16 x 1,128 x 1,32 x 5,32 x 3,16 x 1,YES,CUDA,NVIDIA GeForce RTX 3050 Laptop GPU with 16 multiprocessors,12060,12060,384,288,15,0.000000,0.000050,0.000099,0.000034,0.000018,0.000014,0.000165,0.000006,0.000006,0.001791,0.000455,0.000455,0.000207,0.000000,0.002674,0.000206,0.001255,0.000347,0.000088,0.000051,0.000049,0.000000,0.000299,0.000093,0.000036,0.000027,0.002687,0.002891,0.002990,0.002990,0.083120,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.752218,1.435741,0.752218,,0.752218,,0.996771,2.149359,,,,,,,,,,,,,,,,,,,,,,,0.752218,1.435741,0.996771,2.149359,1.569701,0.313664,
1,tsukubaSet,FLOAT,16,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,32 x 3,256 x 1,32 x 1,64 x 5,16 x 1,64 x 1,256 x 1,32 x 1,32 x 1,256 x 1,128 x 1,16 x 1,16 x 1,16 x 1,64 x 5,64 x 2,256 x 2,32 x 10,YES,CUDA,NVIDIA GeForce RTX 3050 Laptop GPU with 16 multiprocessors,12060,12060,384,288,15,0.000000,0.000050,0.000099,0.000035,0.000018,0.000014,0.000166,0.000006,0.000005,0.005236,0.000457,0.000456,0.000206,0.000000,0.006121,0.000196,0.003784,0.000899,0.000251,0.000147,0.000155,0.000000,0.000299,0.000093,0.000036,0.000028,0.006133,0.006330,0.006427,0.006427,0.083120,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.539041,1.467503,0.539041,,,0.539041,1.242127,2.149359,,,,,,,,,,,,,,,,,,,,,,,0.539041,1.467503,1.242127,2.149359,1.677409,0.443529,
2,venus,FLOAT,16,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,64 x 2,64 x 1,32 x 1,32 x 6,32 x 5,16 x 1,128 x 2,64 x 2,64 x 3,64 x 3,64 x 2,32 x 1,16 x 1,16 x 1,64 x 1,128 x 1,64 x 1,256 x 1,YES,CUDA,NVIDIA GeForce RTX 3050 Laptop GPU with 16 multiprocessors,12060,12060,434,383,15,0.000000,0.000095,0.000186,0.000056,0.000022,0.000020,0.000284,0.000006,0.000006,0.003425,0.000849,0.000849,0.000399,0.000000,0.005058,0.000282,0.002462,0.000653,0.000189,0.000064,0.000056,0.000000,0.000582,0.000176,0.000058,0.000032,0.005070,0.005350,0.005498,0.005498,0.280080,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.673067,1.565839,0.673067,,0.673067,,1.010049,2.442302,,,,,,,,,,,,,,,,,,,,,,,0.673067,1.565839,1.010049,2.442302,1.559716,0.286893,
2,venus,FLOAT,16,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,32 x 10,128 x 1,32 x 1,64 x 3,64 x 7,16 x 1,32 x 2,32 x 1,32 x 1,64 x 4,32 x 3,16 x 1,16 x 1,16 x 1,64 x 6,16 x 1,32 x 1,256 x 2,YES,CUDA,NVIDIA GeForce RTX 3050 Laptop GPU with 16 multiprocessors,12060,12060,434,383,15,0.000000,0.000095,0.000187,0.000057,0.000022,0.000020,0.000285,0.000006,0.000006,0.011351,0.000864,0.000864,0.000397,0.000000,0.012998,0.000272,0.008138,0.002264,0.000552,0.000210,0.000186,0.000000,0.000585,0.000178,0.000063,0.000038,0.013011,0.013284,0.013428,0.013428,0.280080,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.418610,1.562565,0.418610,,,0.418610,1.298581,2.442302,,,,,,,,,,,,,,,,,,,,,,,0.418610,1.562565,1.298581,2.442302,1.624701,0.437115,
3,barn1,FLOAT,16,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,64 x 3,128 x 1,16 x 1,128 x 1,32 x 5,16 x 1,32 x 1,64 x 3,256 x 1,64 x 3,32 x 3,64 x 1,16 x 1,16 x 1,64 x 4,256 x 1,32 x 3,128 x 1,YES,CUDA,NVIDIA GeForce RTX 3050 Laptop GPU with 16 multiprocessors,12060,12060,432,381,15,0.000000,0.000133,0.000272,0.000080,0.000036,0.000025,0.000413,0.000006,0.000006,0.008180,0.001323,0.001322,0.000623,0.000000,0.010679,0.000279,0.006055,0.001526,0.000407,0.000124,0.000069,0.000000,0.000908,0.000269,0.000091,0.000054,0.010689,0.010967,0.011110,0.011110,0.477052,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.516281,1.340703,,,0.516281,,1.047277,2.405867,,,,,,,,,,,,,,,,,,,,,,,0.516281,1.340703,1.047277,2.405867,1.636743,0.332929,
3,barn1,FLOAT,16,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,64 x 2,256 x 1,16 x 1,64 x 1,64 x 5,16 x 1,256 x 1,16 x 1,32 x 1,64 x 6,32 x 3,32 x 2,16 x 1,16 x 1,64 x 8,256 x 2,64 x 1,256 x 1,YES,CUDA,NVIDIA GeForce RTX 3050 Laptop GPU with 16 multiprocessors,12060,12060,432,381,15,0.000000,0.000133,0.000272,0.000080,0.000036,0.000025,0.000413,0.000006,0.000006,0.023798,0.001321,0.001321,0.000619,0.000000,0.026292,0.000280,0.017429,0.004673,0.001090,0.000353,0.000251,0.000000,0.000908,0.000268,0.000091,0.000054,0.026303,0.026586,0.026729,0.026729,0.477052,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250563,1.328411,,,,0.250563,1.177217,2.405867,,,,,,,,,,,,,,,,,,,,,,,0.250563,1.328411,1.177217,2.405867,1.743997,0.488028,
4,conesQuarterSize,FLOAT,16,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,32 x 3,32 x 1,16 x 1,64 x 1,64 x 3,16 x 1,32 x 1,32 x 5,256 x 1,256 x 1,64 x 3,64 x 1,16 x 1,16 x 1,64 x 4,128 x 1,256 x 1,64 x 1,YES,CUDA,NVIDIA GeForce RTX 3050 Laptop GPU with 16 multiprocessors,12060,12060,450,375,15,0.000000,0.000273,0.000550,0.000154,0.000063,0.000041,0.000807,0.000008,0.000008,0.041119,0.002900,0.002899,0.001251,0.000000,0.046357,0.000287,0.030561,0.007843,0.001865,0.000555,0.000293,0.000000,0.002082,0.000542,0.000167,0.000108,0.046368,0.046660,0.046805,0.046805,0.969042,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.355334,1.364936,,0.355334,0.355334,,1.084494,1.445241,,,,,,,,,,,,,,,,,,,,,,,0.355334,1.364936,1.084494,1.445241,3.083373,0.397402,
4,conesQuarterSize,FLOAT,16,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,128 x 3,32 x 1,16 x 1,64 x 1,32 x 1,16 x 1,64 x 2,64 x 1,256 x 1,32 x 12,256 x 1,32 x 2,16 x 1,16 x 1,64 x 7,32 x 2,32 x 2,32 x 1,YES,CUDA,NVIDIA GeForce RTX 3050 Laptop GPU with 16 multiprocessors,12060,12060,450,375,15,0.000000,0.000272,0.000549,0.000154,0.000063,0.000042,0.000809,0.000007,0.000007,0.061971,0.002893,0.002893,0.001234,0.000000,0.067190,0.000288,0.045770,0.012307,0.002475,0.000936,0.000482,0.000000,0.002084,0.000543,0.000165,0.000103,0.067203,0.067495,0.067644,0.067644,0.969042,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.269917,1.376101,,0.269917,,0.269917,1.014346,1.445241,,,,,,,,,,,,,,,,,,,,,,,0.269917,1.376101,1.014346,1.445241,1.477354,0.554680,
