Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000023,0.000014,0.000010,0.000009,0.000008,0.000041,0.000012,0.000012,0.000336,0.000120,0.000120,0.000017,0.000000,0.000548,0.000008,0.000127,0.000064,0.000039,0.000048,0.000039,0.000000,0.000045,0.000027,0.000023,0.000027,0.000564,0.000571,0.000576,0.000576,0.007338,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.005756,1.427216,1.005756,,1.005756,,0.997153,1.469534,,,,,,,,,,,,,,,,,,,1.005756,1.427216,0.997153,1.469534,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,192,144,3,0.000000,0.000028,0.000015,0.000008,0.000009,0.000007,0.000038,0.000008,0.000008,0.000605,0.000112,0.000112,0.000017,0.000000,0.000816,0.000006,0.000330,0.000107,0.000061,0.000063,0.000032,0.000000,0.000046,0.000023,0.000026,0.000020,0.000831,0.000837,0.000847,0.000847,0.007338,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.527287,1.490475,1.527287,,,1.527287,0.979952,1.469534,,,,,,,,,,,,,,,,,,,1.527287,1.490475,0.979952,1.469534,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000152,0.000082,0.000024,0.000013,0.000012,0.000131,0.000025,0.000025,0.001985,0.001147,0.001146,0.000182,0.000000,0.003580,0.000019,0.001485,0.000257,0.000108,0.000063,0.000069,0.000000,0.000933,0.000126,0.000048,0.000039,0.003601,0.003620,0.003656,0.003656,0.086688,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.615264,1.376655,0.615264,,0.615264,,0.984320,1.232554,,,,,,,,,,,,,,,,,,,0.615264,1.376655,0.984320,1.232554,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000154,0.000065,0.000023,0.000015,0.000013,0.000114,0.000030,0.000030,0.002839,0.001127,0.001127,0.000201,0.000000,0.004438,0.000016,0.002112,0.000402,0.000137,0.000085,0.000098,0.000000,0.000908,0.000133,0.000047,0.000040,0.004458,0.004473,0.004506,0.004506,0.086688,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.768851,1.407109,0.768851,,,0.768851,1.006266,1.232554,,,,,,,,,,,,,,,,,,,0.768851,1.407109,1.006266,1.232554,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,434,383,3,0.000000,0.000336,0.000189,0.000050,0.000014,0.000008,0.000259,0.000007,0.000007,0.006239,0.001509,0.001508,0.000401,0.000001,0.008653,0.000029,0.004717,0.000980,0.000294,0.000108,0.000126,0.000000,0.001116,0.000247,0.000105,0.000042,0.008685,0.008714,0.008782,0.008782,0.225325,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.421364,1.946346,0.421364,,0.421364,,1.236385,1.460159,,,,,,,,,,,,,,,,,,,0.421364,1.946346,1.236385,1.460159,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,434,383,3,0.000000,0.000378,0.000201,0.000047,0.000014,0.000007,0.000270,0.000007,0.000006,0.010168,0.001488,0.001487,0.000398,0.000001,0.012693,0.000031,0.007842,0.001611,0.000453,0.000136,0.000144,0.000000,0.001115,0.000228,0.000106,0.000039,0.012725,0.012755,0.012823,0.012823,0.225325,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.438336,1.942276,0.438336,,,0.438336,1.072777,1.460159,,,,,,,,,,,,,,,,,,,0.438336,1.942276,1.072777,1.460159,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,432,381,3,0.000000,0.000549,0.000383,0.000084,0.000021,0.000009,0.000494,0.000025,0.000025,0.012927,0.003498,0.003497,0.000759,0.000001,0.018246,0.000032,0.010185,0.001912,0.000473,0.000154,0.000164,0.000000,0.002522,0.000580,0.000321,0.000076,0.018278,0.018311,0.018386,0.018386,0.419528,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.311956,1.524536,,,0.311956,,1.152144,1.330840,,,,,,,,,,,,,,,,,,,0.311956,1.524536,1.152144,1.330840,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000483,0.000338,0.000072,0.000029,0.000021,0.000455,0.000043,0.000043,0.018542,0.003821,0.003820,0.001024,0.000001,0.024319,0.000033,0.015578,0.001973,0.000522,0.000185,0.000264,0.000000,0.002892,0.000569,0.000281,0.000080,0.024359,0.024392,0.024469,0.024469,0.419528,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.273698,1.510558,,,,0.273698,1.006216,1.330840,,,,,,,,,,,,,,,,,,,0.273698,1.510558,1.006216,1.330840,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000942,0.001435,0.000367,0.000079,0.000027,0.001897,0.000046,0.000045,0.033383,0.010337,0.010335,0.003262,0.000001,0.050152,0.000050,0.027004,0.004842,0.000841,0.000234,0.000482,0.000000,0.007051,0.002536,0.000639,0.000149,0.050190,0.050240,0.050321,0.050321,0.911886,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330507,1.450488,,0.330507,0.330507,,1.000778,1.070898,,,,,,,,,,,,,,,,,,,0.330507,1.450488,1.000778,1.070898,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000947,0.001443,0.000331,0.000088,0.000030,0.001888,0.000039,0.000038,0.037216,0.010301,0.010299,0.003259,0.000002,0.053718,0.000034,0.029899,0.005409,0.001038,0.000324,0.000493,0.000000,0.007121,0.002383,0.000701,0.000180,0.053758,0.053791,0.053888,0.053888,0.911886,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338818,1.462354,,0.338818,,0.338818,0.989152,1.070898,,,,,,,,,,,,,,,,,,,0.338818,1.462354,0.989152,1.070898,,,
