Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000027,0.000016,0.000012,0.000010,0.000009,0.000046,0.000013,0.000012,0.000349,0.000130,0.000129,0.000019,0.000000,0.000583,0.000009,0.000150,0.000058,0.000046,0.000049,0.000047,0.000000,0.000047,0.000028,0.000030,0.000028,0.000602,0.000611,0.000622,0.000622,0.007481,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.931506,1.399990,0.931506,,0.931506,,0.888023,1.324074,,,,,,,,,,,,,,,,,,,,,0.931506,1.399990,0.888023,1.324074,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000024,0.000015,0.000011,0.000009,0.000008,0.000046,0.000019,0.000019,0.000546,0.000125,0.000124,0.000021,0.000000,0.000793,0.000008,0.000266,0.000102,0.000063,0.000062,0.000040,0.000000,0.000049,0.000026,0.000024,0.000027,0.000810,0.000818,0.000824,0.000824,0.007481,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.569931,1.462042,1.569931,,,1.569931,0.957399,1.324074,,,,,,,,,,,,,,,,,,,,,1.569931,1.462042,0.957399,1.324074,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000156,0.000080,0.000024,0.000015,0.000016,0.000135,0.000031,0.000031,0.001901,0.001144,0.001144,0.000179,0.000000,0.003517,0.000017,0.001355,0.000279,0.000105,0.000069,0.000079,0.000000,0.000928,0.000136,0.000051,0.000045,0.003538,0.003555,0.003588,0.003588,0.084675,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.626850,1.409380,0.626850,,0.626850,,0.992490,1.256064,,,,,,,,,,,,,,,,,,,,,0.626850,1.409380,0.992490,1.256064,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000161,0.000064,0.000022,0.000014,0.000013,0.000112,0.000027,0.000027,0.002819,0.001149,0.001148,0.000185,0.000000,0.004438,0.000016,0.002067,0.000443,0.000153,0.000084,0.000091,0.000000,0.000948,0.000119,0.000047,0.000040,0.004459,0.004474,0.004507,0.004507,0.084675,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.768668,1.440558,0.768668,,,0.768668,1.004208,1.256064,,,,,,,,,,,,,,,,,,,,,0.768668,1.440558,1.004208,1.256064,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000306,0.000139,0.000057,0.000016,0.000017,0.000227,0.000025,0.000025,0.007612,0.001760,0.001760,0.000403,0.000000,0.010275,0.000028,0.006351,0.000740,0.000246,0.000110,0.000136,0.000000,0.001366,0.000266,0.000125,0.000051,0.010308,0.010337,0.010402,0.010402,0.221653,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.355746,1.978592,0.355746,,0.355746,,1.016874,1.304656,,,,,,,,,,,,,,,,,,,,,0.355746,1.978592,1.016874,1.304656,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000314,0.000189,0.000045,0.000015,0.000015,0.000263,0.000027,0.000027,0.010765,0.001753,0.001752,0.000386,0.000000,0.013453,0.000028,0.008804,0.001213,0.000378,0.000140,0.000172,0.000000,0.001338,0.000253,0.000133,0.000065,0.013483,0.013509,0.013571,0.013571,0.221653,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.414185,1.974455,0.414185,,,0.414185,1.020273,1.304656,,,,,,,,,,,,,,,,,,,,,0.414185,1.974455,1.020273,1.304656,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,432,381,3,0.000000,0.000612,0.000413,0.000083,0.000020,0.000010,0.000527,0.000010,0.000010,0.012976,0.003729,0.003728,0.000792,0.000001,0.018541,0.000032,0.010284,0.001898,0.000477,0.000159,0.000175,0.000000,0.002750,0.000615,0.000305,0.000075,0.018576,0.018608,0.018686,0.018686,0.422902,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.306964,1.512371,,,0.306964,,1.139336,1.332829,,,,,,,,,,,,,,,,,,,,,0.306964,1.512371,1.139336,1.332829,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000447,0.000355,0.000072,0.000027,0.000019,0.000474,0.000049,0.000049,0.018821,0.003918,0.003917,0.001055,0.000001,0.024753,0.000033,0.015873,0.001941,0.000502,0.000188,0.000258,0.000000,0.002968,0.000604,0.000278,0.000084,0.024794,0.024827,0.024905,0.024905,0.422902,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.268916,1.498505,,,,0.268916,0.999076,1.332829,,,,,,,,,,,,,,,,,,,,,0.268916,1.498505,0.999076,1.332829,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,450,375,3,0.000000,0.001191,0.001194,0.000342,0.000075,0.000012,0.001620,0.000019,0.000018,0.050547,0.010168,0.010166,0.003187,0.000002,0.066648,0.000035,0.042216,0.006334,0.001273,0.000360,0.000420,0.000000,0.006523,0.002722,0.000754,0.000171,0.066687,0.066722,0.066801,0.066801,0.904637,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.248970,1.462111,,0.248970,0.248970,,1.200612,0.800853,,,,,,,,,,,,,,,,,,,,,0.248970,1.462111,1.200612,0.800853,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000955,0.001447,0.000373,0.000087,0.000031,0.001932,0.000044,0.000043,0.036692,0.010276,0.010274,0.003238,0.000001,0.053345,0.000032,0.029570,0.005331,0.001034,0.000281,0.000500,0.000000,0.007106,0.002358,0.000671,0.000177,0.053385,0.053417,0.053497,0.053497,0.904637,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341293,1.474072,,0.341293,,0.341293,1.027736,0.800853,,,,,,,,,,,,,,,,,,,,,0.341293,1.474072,1.027736,0.800853,,,
