Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000023,0.000015,0.000011,0.000010,0.000009,0.000046,0.000011,0.000011,0.000341,0.000130,0.000130,0.000017,0.000000,0.000569,0.000008,0.000132,0.000064,0.000044,0.000047,0.000037,0.000000,0.000048,0.000027,0.000028,0.000027,0.000587,0.000595,0.000601,0.000601,0.007516,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.964188,1.393477,0.964188,,0.964188,,0.961641,1.450955,,,,,,,,,,,,,,,,,0.964188,1.393477,0.961641,1.450955,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,192,144,3,0.000000,0.000024,0.000013,0.000007,0.000007,0.000006,0.000033,0.000008,0.000008,0.000582,0.000111,0.000111,0.000016,0.000000,0.000841,0.000005,0.000322,0.000103,0.000061,0.000060,0.000032,0.000000,0.000046,0.000022,0.000025,0.000020,0.000857,0.000862,0.000872,0.000872,0.007516,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.482912,1.455240,1.482912,,,1.482912,0.973931,1.450955,,,,,,,,,,,,,,,,,1.482912,1.455240,0.973931,1.450955,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000141,0.000065,0.000023,0.000013,0.000015,0.000116,0.000023,0.000023,0.001875,0.001140,0.001139,0.000181,0.000000,0.003493,0.000018,0.001369,0.000261,0.000095,0.000066,0.000081,0.000000,0.000928,0.000121,0.000045,0.000045,0.003518,0.003535,0.003572,0.003572,0.085324,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.629629,1.398663,0.629629,,0.629629,,1.006645,1.294733,,,,,,,,,,,,,,,,,0.629629,1.398663,1.006645,1.294733,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000182,0.000070,0.000025,0.000015,0.000013,0.000121,0.000029,0.000029,0.002912,0.001124,0.001124,0.000180,0.000000,0.004547,0.000017,0.002153,0.000443,0.000139,0.000093,0.000092,0.000000,0.000916,0.000121,0.000046,0.000041,0.004571,0.004588,0.004625,0.004625,0.085324,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.749017,1.429604,0.749017,,,0.749017,0.983561,1.294733,,,,,,,,,,,,,,,,,0.749017,1.429604,0.983561,1.294733,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,434,383,3,0.000000,0.000585,0.000377,0.000083,0.000021,0.000009,0.000489,0.000011,0.000010,0.014726,0.003344,0.003343,0.000618,0.000001,0.019767,0.000049,0.012428,0.001626,0.000376,0.000127,0.000162,0.000000,0.002583,0.000497,0.000195,0.000068,0.019819,0.019868,0.019944,0.019944,0.225225,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185547,1.947213,0.185547,,0.185547,,0.518579,0.673664,,,,,,,,,,,,,,,,,0.185547,1.947213,0.518579,0.673664,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,434,383,3,0.000000,0.000381,0.000176,0.000049,0.000015,0.000008,0.000248,0.000007,0.000007,0.010785,0.001498,0.001497,0.000401,0.000001,0.013303,0.000030,0.008275,0.001724,0.000482,0.000142,0.000148,0.000000,0.001110,0.000237,0.000111,0.000052,0.013334,0.013363,0.013435,0.013435,0.225225,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.418371,1.943141,0.418371,,,0.418371,1.042435,0.673664,,,,,,,,,,,,,,,,,0.418371,1.943141,1.042435,0.673664,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,432,381,3,0.000000,0.000578,0.000402,0.000084,0.000020,0.000009,0.000514,0.000011,0.000010,0.012930,0.003714,0.003713,0.000786,0.000001,0.018479,0.000032,0.010173,0.001934,0.000481,0.000157,0.000162,0.000000,0.002701,0.000647,0.000314,0.000096,0.018516,0.018548,0.018626,0.018626,0.425342,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307939,1.503695,,,0.307939,,1.155311,1.365034,,,,,,,,,,,,,,,,,0.307939,1.503695,1.155311,1.365034,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000450,0.000352,0.000093,0.000033,0.000021,0.000499,0.000035,0.000035,0.019211,0.003961,0.003959,0.001092,0.000001,0.025271,0.000034,0.016205,0.001963,0.000542,0.000187,0.000259,0.000000,0.002998,0.000591,0.000287,0.000105,0.025312,0.025346,0.025426,0.025426,0.425342,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.263405,1.489908,,,,0.263405,1.003135,1.365034,,,,,,,,,,,,,,,,,0.263405,1.489908,1.003135,1.365034,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.000944,0.001439,0.000365,0.000082,0.000027,0.001915,0.000043,0.000042,0.033622,0.010842,0.010840,0.003338,0.000002,0.050663,0.000033,0.027105,0.004882,0.000802,0.000237,0.000484,0.000000,0.007418,0.002633,0.000729,0.000158,0.050710,0.050743,0.050828,0.050828,0.898948,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.327208,1.471364,,0.327208,0.327208,,1.005292,1.059804,,,,,,,,,,,,,,,,,0.327208,1.471364,1.005292,1.059804,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000892,0.001453,0.000376,0.000077,0.000028,0.001899,0.000038,0.000037,0.037089,0.010378,0.010376,0.003275,0.000001,0.053709,0.000033,0.029911,0.005412,0.000982,0.000302,0.000516,0.000000,0.007167,0.002425,0.000629,0.000154,0.053753,0.053785,0.053868,0.053868,0.898948,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338947,1.483400,,0.338947,,0.338947,0.997172,1.059804,,,,,,,,,,,,,,,,,0.338947,1.483400,0.997172,1.059804,,,
