Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000025,0.000015,0.000011,0.000010,0.000009,0.000045,0.000012,0.000012,0.000321,0.000119,0.000118,0.000018,0.000000,0.000536,0.000008,0.000129,0.000066,0.000042,0.000049,0.000040,0.000000,0.000044,0.000027,0.000024,0.000024,0.000553,0.000561,0.000567,0.000567,0.007447,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.021913,1.406427,1.021913,,1.021913,,1.048495,1.347754,,,,,,,,,,,,,,,,,1.021913,1.406427,1.048495,1.347754,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000024,0.000015,0.000009,0.000010,0.000008,0.000043,0.000019,0.000018,0.000512,0.000118,0.000118,0.000019,0.000000,0.000736,0.000007,0.000259,0.000094,0.000059,0.000060,0.000037,0.000000,0.000044,0.000026,0.000023,0.000025,0.000751,0.000758,0.000764,0.000764,0.007447,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.692042,1.468765,1.692042,,,1.692042,1.016508,1.347754,,,,,,,,,,,,,,,,,1.692042,1.468765,1.016508,1.347754,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000152,0.000083,0.000022,0.000014,0.000013,0.000132,0.000024,0.000024,0.001919,0.001110,0.001109,0.000194,0.000000,0.003487,0.000017,0.001379,0.000268,0.000095,0.000067,0.000074,0.000000,0.000906,0.000118,0.000045,0.000044,0.003508,0.003525,0.003558,0.003558,0.085367,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.632111,1.397959,0.632111,,0.632111,,0.985810,1.302079,,,,,,,,,,,,,,,,,0.632111,1.397959,0.985810,1.302079,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000153,0.000080,0.000024,0.000014,0.000020,0.000132,0.000025,0.000024,0.002930,0.001141,0.001140,0.000181,0.000000,0.004561,0.000017,0.002122,0.000449,0.000149,0.000091,0.000099,0.000000,0.000914,0.000139,0.000046,0.000041,0.004582,0.004599,0.004633,0.004633,0.085367,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.747726,1.428885,0.747726,,,0.747726,0.983939,1.302079,,,,,,,,,,,,,,,,,0.747726,1.428885,0.983939,1.302079,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000301,0.000172,0.000044,0.000016,0.000016,0.000247,0.000024,0.000024,0.007625,0.001850,0.001849,0.000420,0.000001,0.010454,0.000029,0.006364,0.000754,0.000237,0.000113,0.000153,0.000000,0.001373,0.000289,0.000137,0.000070,0.010490,0.010520,0.010590,0.010590,0.222869,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349446,1.967795,0.349446,,0.349446,,0.988400,2.441449,,,,,,,,,,,,,,,,,0.349446,1.967795,0.988400,2.441449,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,434,383,3,0.000000,0.000562,0.000394,0.000082,0.000020,0.000009,0.000505,0.000011,0.000011,0.020597,0.003347,0.003346,0.000695,0.000001,0.025703,0.000047,0.016986,0.002533,0.000634,0.000230,0.000243,0.000000,0.002543,0.000526,0.000211,0.000075,0.025736,0.025783,0.025854,0.025854,0.222869,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.217412,1.963681,0.217412,,,0.217412,0.518202,2.441449,,,,,,,,,,,,,,,,,0.217412,1.963681,0.518202,2.441449,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,432,381,3,0.000001,0.000572,0.000394,0.000089,0.000024,0.000010,0.000516,0.000011,0.000010,0.012667,0.003612,0.003611,0.000752,0.000001,0.018050,0.000033,0.009970,0.001958,0.000479,0.000157,0.000170,0.000000,0.002603,0.000617,0.000321,0.000078,0.018085,0.018118,0.018197,0.018197,0.423067,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315209,1.511783,,,0.315209,,1.191546,1.308840,,,,,,,,,,,,,,,,,0.315209,1.511783,1.191546,1.308840,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,432,381,3,0.000000,0.000590,0.000393,0.000085,0.000022,0.000010,0.000510,0.000011,0.000011,0.018086,0.003562,0.003560,0.000737,0.000001,0.023670,0.000033,0.014277,0.002667,0.000695,0.000210,0.000207,0.000000,0.002570,0.000605,0.000313,0.000081,0.023706,0.023740,0.023817,0.023817,0.423067,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.281200,1.497923,,,,0.281200,1.027910,1.308840,,,,,,,,,,,,,,,,,0.281200,1.497923,1.027910,1.308840,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000983,0.001467,0.000322,0.000075,0.000043,0.001905,0.000043,0.000042,0.033762,0.010381,0.010379,0.003223,0.000001,0.050291,0.000033,0.027214,0.004879,0.000924,0.000245,0.000483,0.000000,0.007140,0.002442,0.000645,0.000172,0.050332,0.050366,0.050448,0.050448,0.900665,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.329670,1.468559,,0.329670,0.329670,,0.993053,1.052994,,,,,,,,,,,,,,,,,0.329670,1.468559,0.993053,1.052994,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000876,0.001485,0.000351,0.000092,0.000031,0.001933,0.000042,0.000041,0.036546,0.010294,0.010293,0.003218,0.000001,0.052965,0.000033,0.029301,0.005374,0.001081,0.000277,0.000513,0.000000,0.007156,0.002344,0.000626,0.000171,0.053008,0.053041,0.053122,0.053122,0.900665,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343706,1.480572,,0.343706,,0.343706,1.003655,1.052994,,,,,,,,,,,,,,,,,0.343706,1.480572,1.003655,1.052994,,,
