Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,192,144,15,0.000000,0.000022,0.000013,0.000005,0.000004,0.000003,0.000026,0.000004,0.000004,0.000256,0.000073,0.000072,0.000013,0.000000,0.000392,0.000003,0.000143,0.000044,0.000021,0.000029,0.000017,0.000000,0.000038,0.000014,0.000009,0.000011,0.000406,0.000409,0.000418,0.000418,0.010842,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.385553,0.965971,1.385553,,1.385553,,1.093607,3.234678,1.118997,3.049240,,,,,,,,,,,,,,,,,,,,,1.385553,0.965971,1.093607,3.234678,0.874537,0.668355,
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,15,0.000000,0.000026,0.000012,0.000006,0.000006,0.000005,0.000029,0.000007,0.000007,0.001111,0.000092,0.000092,0.000095,0.000000,0.001320,0.000005,0.000738,0.000190,0.000085,0.000064,0.000031,0.000000,0.000039,0.000017,0.000016,0.000019,0.001339,0.001344,0.001353,0.001353,0.010842,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.955872,1.008786,0.955872,,,0.955872,0.981345,3.234678,1.659294,3.311634,,,,,,,,,,,,,,,,,,,,,0.955872,1.008786,0.981345,3.234678,0.945439,0.508250,
1,tsukubaSet,FLOAT,16,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX256,384,288,15,0.000001,0.000166,0.000085,0.000028,0.000012,0.000009,0.000135,0.000019,0.000018,0.004480,0.001761,0.001760,0.000561,0.000001,0.007100,0.000056,0.003891,0.000413,0.000115,0.000041,0.000027,0.000000,0.001196,0.000385,0.000117,0.000041,0.007137,0.007418,0.007460,0.007460,0.084939,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.301514,1.404996,0.301514,,0.301514,,0.905199,1.976544,1.000000,2.451062,,,,,,,,,,,,,,,,,,,,,0.301514,1.404996,0.905199,1.426403,2.564563,0.264783,
1,tsukubaSet,FLOAT,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,384,288,15,0.000001,0.000192,0.000086,0.000030,0.000012,0.000009,0.000140,0.000019,0.000018,0.007756,0.001759,0.001758,0.000583,0.000000,0.010504,0.000056,0.005963,0.001222,0.000308,0.000148,0.000105,0.000000,0.001222,0.000373,0.000114,0.000041,0.010542,0.010598,0.010641,0.010641,0.084939,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325575,1.436077,0.325575,,,0.325575,1.078143,1.070668,1.385684,2.849640,,,,,,,,,,,,,,,,,,,,,0.325575,1.436077,1.078143,1.426403,1.512013,0.362067,
2,venus,FLOAT,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,434,383,15,0.000001,0.000616,0.000486,0.000079,0.000015,0.000006,0.000593,0.000012,0.000011,0.018055,0.006527,0.006526,0.002236,0.000000,0.028023,0.000071,0.016288,0.001245,0.000280,0.000103,0.000139,0.000000,0.005185,0.001018,0.000243,0.000064,0.028059,0.028130,0.028189,0.028189,0.289046,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131272,1.517270,0.131272,,0.131272,,1.046542,1.099580,1.088216,1.692755,,,,,,,,,,,,,,,,,,,,,0.131272,1.517270,1.046542,1.099580,2.945506,0.398591,
2,venus,FLOAT,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,15,0.000001,0.000618,0.000482,0.000078,0.000013,0.000010,0.000590,0.000025,0.000025,0.020516,0.006553,0.006552,0.002349,0.000000,0.030826,0.000076,0.017366,0.002143,0.000570,0.000174,0.000175,0.000000,0.005312,0.000948,0.000216,0.000066,0.030863,0.030939,0.030996,0.030996,0.289046,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.181342,1.514098,0.181342,,,0.181342,1.008241,1.099580,1.310908,2.161158,,,,,,,,,,,,,,,,,,,,,0.181342,1.514098,1.008241,1.099580,2.114553,0.426336,
3,barn1,FLOAT,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,432,381,15,0.000001,0.001111,0.001137,0.000162,0.000040,0.000009,0.001352,0.000017,0.000017,0.031906,0.011026,0.011025,0.003753,0.000001,0.049141,0.000072,0.028878,0.002228,0.000470,0.000143,0.000201,0.000000,0.008797,0.001666,0.000442,0.000114,0.049178,0.049245,0.049302,0.049302,0.493214,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.116340,1.296769,,,0.116340,,1.014246,1.039728,1.087480,2.470733,,,,,,,,,,,,,,,,,,,,,0.116340,1.296769,1.014246,1.039728,2.303131,0.439030,
3,barn1,FLOAT,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,432,381,15,0.000001,0.001114,0.001189,0.000150,0.000034,0.000011,0.001384,0.000032,0.000031,0.033690,0.010952,0.010951,0.003846,0.000001,0.051086,0.000075,0.029651,0.002758,0.000661,0.000202,0.000236,0.000000,0.008885,0.001591,0.000384,0.000109,0.051129,0.051204,0.051260,0.051260,0.493214,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130651,1.284880,,,,0.130651,0.999592,1.039728,1.082421,2.356247,,,,,,,,,,,,,,,,,,,,,0.130651,1.284880,0.999592,1.039728,2.120373,0.442930,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,450,375,15,0.000000,0.002714,0.003896,0.000646,0.000081,0.000013,0.004636,0.000028,0.000027,0.078696,0.025908,0.025906,0.007992,0.000001,0.120055,0.000067,0.064722,0.011900,0.001272,0.000304,0.000461,0.000000,0.019209,0.005560,0.000960,0.000187,0.120095,0.120162,0.120217,0.120217,0.971568,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138344,1.361388,,0.138344,0.138344,,1.040383,1.013759,1.116688,1.606081,,,,,,,,,,,,,,,,,,,,,0.138344,1.361388,1.040383,1.013759,2.071016,0.484286,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,450,375,15,0.000001,0.002825,0.004060,0.000665,0.000082,0.000011,0.004816,0.000030,0.000029,0.079490,0.025709,0.025708,0.008175,0.000001,0.121716,0.000067,0.065329,0.011506,0.001721,0.000425,0.000559,0.000000,0.019339,0.005140,0.001017,0.000201,0.121750,0.121817,0.121871,0.121871,0.971568,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149816,1.372524,,0.149816,,0.149816,1.042743,1.013759,1.100242,1.701215,,,,,,,,,,,,,,,,,,,,,0.149816,1.372524,1.042743,1.013759,2.043501,0.479709,
