Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000022,0.000014,0.000010,0.000010,0.000009,0.000043,0.000011,0.000011,0.000327,0.000133,0.000133,0.000020,0.000000,0.000555,0.000007,0.000136,0.000063,0.000042,0.000052,0.000038,0.000000,0.000050,0.000027,0.000027,0.000028,0.000572,0.000580,0.000586,0.000586,0.007484,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.988940,1.399418,0.988940,0.988940,0.979219,1.354379,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000025,0.000015,0.000011,0.000010,0.000009,0.000046,0.000018,0.000018,0.000529,0.000120,0.000119,0.000018,0.000000,0.000762,0.000008,0.000273,0.000097,0.000054,0.000061,0.000039,0.000000,0.000045,0.000025,0.000023,0.000026,0.000779,0.000787,0.000794,0.000794,0.007484,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.629437,1.461445,1.629437,,1.053124,1.354379,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000151,0.000066,0.000023,0.000014,0.000014,0.000115,0.000021,0.000021,0.001937,0.001152,0.001151,0.000180,0.000000,0.003501,0.000019,0.001346,0.000281,0.000102,0.000068,0.000070,0.000000,0.000924,0.000134,0.000056,0.000054,0.003524,0.003543,0.003579,0.003579,0.085824,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.628551,1.390503,0.628551,0.628551,0.999952,1.285966,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000163,0.000068,0.000024,0.000014,0.000015,0.000120,0.000027,0.000027,0.002874,0.001172,0.001171,0.000178,0.000000,0.004514,0.000016,0.002131,0.000428,0.000141,0.000086,0.000096,0.000000,0.000973,0.000124,0.000062,0.000041,0.004534,0.004549,0.004602,0.004602,0.085824,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.752832,1.421264,0.752832,,0.977661,1.285966,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,434,383,3,0.000000,0.000594,0.000401,0.000084,0.000020,0.000008,0.000514,0.000010,0.000010,0.014540,0.003174,0.003173,0.000657,0.000000,0.019423,0.000048,0.012342,0.001571,0.000375,0.000123,0.000156,0.000000,0.002414,0.000491,0.000198,0.000083,0.019456,0.019502,0.019578,0.019578,0.225459,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.189017,1.945196,0.189017,0.189017,0.547152,0.695391,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000308,0.000145,0.000041,0.000015,0.000018,0.000219,0.000026,0.000026,0.010726,0.001829,0.001827,0.000397,0.000000,0.013474,0.000031,0.008773,0.001247,0.000379,0.000155,0.000175,0.000000,0.001385,0.000254,0.000129,0.000059,0.013510,0.013541,0.013614,0.013614,0.225459,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412878,1.941129,0.412878,,1.001946,0.695391,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,432,381,3,0.000001,0.000806,0.000679,0.000141,0.000044,0.000011,0.000876,0.000015,0.000014,0.022561,0.007237,0.007236,0.000736,0.000001,0.032219,0.000049,0.018716,0.002730,0.000672,0.000206,0.000232,0.000000,0.005639,0.001021,0.000480,0.000097,0.032256,0.032305,0.032381,0.032381,0.420461,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.177133,1.521151,,0.177133,0.666980,0.736354,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,432,381,3,0.000001,0.000557,0.000405,0.000085,0.000021,0.000008,0.000519,0.000010,0.000010,0.018170,0.003805,0.003804,0.000726,0.000001,0.023681,0.000034,0.014245,0.002761,0.000757,0.000214,0.000211,0.000000,0.002772,0.000620,0.000325,0.000089,0.023717,0.023750,0.023844,0.023844,0.420461,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280877,1.507204,,,1.051530,0.736354,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.000965,0.001453,0.000349,0.000094,0.000028,0.001898,0.000040,0.000040,0.033610,0.010306,0.010305,0.003274,0.000002,0.050311,0.000032,0.027282,0.004840,0.000805,0.000236,0.000463,0.000000,0.007128,0.002370,0.000625,0.000193,0.050350,0.050382,0.050462,0.050462,0.911655,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.329582,1.450856,,0.329582,1.008162,1.076803,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.000930,0.001438,0.000357,0.000076,0.000029,0.001896,0.000040,0.000039,0.037334,0.010226,0.010224,0.003286,0.000002,0.054182,0.000033,0.029826,0.005590,0.001062,0.000287,0.000507,0.000000,0.007118,0.002350,0.000617,0.000158,0.054224,0.054256,0.054337,0.054337,0.911655,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336017,1.462724,,,1.005717,1.076803,
