Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,192,144,15,0.000000,0.000018,0.000013,0.000016,0.000011,0.000011,0.000052,0.000010,0.000010,0.000274,0.000114,0.000113,0.000019,0.000000,0.000487,0.000009,0.000112,0.000049,0.000036,0.000035,0.000040,0.000000,0.000030,0.000027,0.000026,0.000030,0.000502,0.000511,0.000521,0.000521,0.008251,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.112829,1.269344,1.112829,1.112829,1.760049,1.569766,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,192,144,15,0.000000,0.000016,0.000013,0.000016,0.000012,0.000011,0.000053,0.000010,0.000010,0.000565,0.000112,0.000111,0.000020,0.000000,0.000786,0.000009,0.000300,0.000112,0.000061,0.000046,0.000042,0.000000,0.000027,0.000027,0.000025,0.000030,0.000799,0.000808,0.000817,0.000817,0.008251,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.581980,1.325605,1.581980,,1.323607,1.569766,1.581980,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,96,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX256,384,288,15,0.000000,0.000036,0.000030,0.000021,0.000029,0.000022,0.000102,0.000030,0.000030,0.000671,0.000481,0.000481,0.000044,0.000000,0.001364,0.000017,0.000340,0.000129,0.000075,0.000061,0.000055,0.000000,0.000342,0.000043,0.000042,0.000050,0.001382,0.001398,0.001442,0.001442,0.081311,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.559381,1.467693,1.559381,1.559381,1.090556,1.441985,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,96,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,384,288,15,0.000000,0.000040,0.000040,0.000031,0.000037,0.000032,0.000140,0.000048,0.000047,0.001260,0.000464,0.000463,0.000056,0.000000,0.002009,0.000025,0.000611,0.000277,0.000153,0.000116,0.000100,0.000000,0.000261,0.000065,0.000063,0.000063,0.002028,0.002051,0.002080,0.002080,0.081311,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.665628,1.500161,1.665628,,1.004729,1.441985,1.665628,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,96,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000066,0.000047,0.000030,0.000030,0.000034,0.000141,0.000065,0.000065,0.001492,0.000453,0.000452,0.000066,0.000000,0.002286,0.000027,0.000795,0.000293,0.000168,0.000130,0.000100,0.000000,0.000234,0.000060,0.000066,0.000081,0.002307,0.002334,0.002386,0.002386,0.207932,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.550718,2.109153,1.550718,1.550718,1.003118,1.184685,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,96,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000067,0.000050,0.000033,0.000031,0.000036,0.000150,0.000067,0.000067,0.001915,0.000449,0.000448,0.000067,0.000000,0.002724,0.000029,0.001064,0.000373,0.000203,0.000155,0.000114,0.000000,0.000236,0.000061,0.000067,0.000083,0.002746,0.002775,0.002827,0.002827,0.207932,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.988294,2.104743,1.988294,,0.995732,1.184685,1.988294,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,96,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX256,432,381,15,0.000000,0.000161,0.000076,0.000028,0.000018,0.000025,0.000148,0.000062,0.000062,0.005128,0.000897,0.000896,0.000176,0.000000,0.006575,0.000020,0.004020,0.000654,0.000233,0.000131,0.000081,0.000000,0.000643,0.000143,0.000059,0.000056,0.006598,0.006620,0.006687,0.006687,0.392288,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857776,1.630394,,0.857776,0.576897,0.639977,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,96,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,432,381,15,0.000000,0.000096,0.000062,0.000039,0.000039,0.000039,0.000180,0.000096,0.000095,0.002960,0.000724,0.000723,0.000108,0.000000,0.004173,0.000030,0.001923,0.000505,0.000239,0.000171,0.000119,0.000000,0.000366,0.000105,0.000129,0.000114,0.004196,0.004227,0.004279,0.004279,0.392288,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.564994,1.615446,,,0.997208,0.639977,1.564994,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,96,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,450,375,15,0.000000,0.000192,0.000117,0.000075,0.000058,0.000051,0.000305,0.000183,0.000183,0.005946,0.002007,0.002005,0.000359,0.000000,0.009008,0.000027,0.004365,0.000854,0.000346,0.000227,0.000150,0.000000,0.001093,0.000418,0.000301,0.000193,0.009037,0.009064,0.009137,0.009137,0.842957,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.820266,1.569096,,1.820266,1.000596,1.114178,,1.820266,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,96,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,450,375,15,0.000000,0.000183,0.000123,0.000075,0.000059,0.000060,0.000329,0.000179,0.000178,0.007015,0.002009,0.002007,0.000361,0.000000,0.010065,0.000027,0.005139,0.001049,0.000400,0.000254,0.000164,0.000000,0.001099,0.000401,0.000301,0.000198,0.010095,0.010122,0.010180,0.010180,0.842957,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.793555,1.581931,,,0.999450,1.114178,1.793555,1.793555,,,,,,,,,,,,,,,,,
