Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,
0,tsukubaSetHalfSize,FLOAT,96,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX512_float16Vect,192,144,15,0.000000,0.000018,0.000012,0.000007,0.000009,0.000007,0.000034,0.000009,0.000009,0.000251,0.000083,0.000083,0.000014,0.000000,0.000409,0.000006,0.000097,0.000042,0.000033,0.000043,0.000030,0.000000,0.000031,0.000015,0.000017,0.000020,0.000423,0.000428,0.000438,0.000438,0.008251,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.324009,1.269344,1.324009,1.324009,2.047761,1.456814,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,96,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512_float16Vect,192,144,15,0.000000,0.000014,0.000011,0.000013,0.000011,0.000011,0.000047,0.000017,0.000017,0.000404,0.000103,0.000103,0.000019,0.000000,0.000607,0.000009,0.000171,0.000078,0.000052,0.000063,0.000045,0.000000,0.000026,0.000023,0.000021,0.000032,0.000620,0.000629,0.000638,0.000638,0.008251,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.028123,1.325605,2.028123,,1.537854,1.456814,2.028123,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,96,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512_float16Vect,384,288,15,0.000000,0.000095,0.000047,0.000016,0.000013,0.000013,0.000088,0.000021,0.000021,0.001119,0.000649,0.000648,0.000089,0.000000,0.002081,0.000011,0.000734,0.000178,0.000071,0.000049,0.000073,0.000000,0.000513,0.000059,0.000032,0.000034,0.002094,0.002105,0.002149,0.002149,0.081311,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.046670,1.467693,1.046670,1.046670,0.699076,0.829077,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,96,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512_float16Vect,384,288,15,0.000000,0.000044,0.000038,0.000030,0.000032,0.000030,0.000130,0.000048,0.000047,0.001019,0.000419,0.000418,0.000051,0.000000,0.001713,0.000023,0.000423,0.000218,0.000136,0.000113,0.000119,0.000000,0.000212,0.000067,0.000061,0.000072,0.001732,0.001755,0.001782,0.001782,0.081311,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.944473,1.500161,1.944473,,0.999184,0.829077,1.944473,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,96,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX512_float16Vect,434,383,15,0.000000,0.000104,0.000053,0.000021,0.000015,0.000020,0.000108,0.000036,0.000035,0.001853,0.000585,0.000585,0.000106,0.000000,0.002797,0.000016,0.001215,0.000278,0.000146,0.000085,0.000126,0.000000,0.000413,0.000077,0.000049,0.000041,0.002816,0.002831,0.002896,0.002896,0.207932,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.278007,2.109153,1.278007,1.278007,0.735046,0.991734,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,96,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512_float16Vect,434,383,15,0.000000,0.000079,0.000048,0.000030,0.000029,0.000035,0.000142,0.000066,0.000066,0.001969,0.000459,0.000458,0.000060,0.000000,0.002771,0.000027,0.001065,0.000373,0.000217,0.000141,0.000157,0.000000,0.000226,0.000067,0.000075,0.000087,0.002793,0.002819,0.002872,0.002872,0.207932,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.957439,2.104743,1.957439,,0.990953,0.991734,1.957439,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,96,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX512_float16Vect,432,381,15,0.000000,0.000151,0.000079,0.000027,0.000020,0.000024,0.000149,0.000081,0.000081,0.004322,0.001188,0.001187,0.000207,0.000000,0.006130,0.000017,0.003361,0.000452,0.000198,0.000112,0.000180,0.000000,0.000885,0.000152,0.000087,0.000058,0.006150,0.006168,0.006225,0.006225,0.392288,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.921380,1.630394,,0.921380,0.584875,0.690342,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,96,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512_float16Vect,432,381,15,0.000000,0.000114,0.000062,0.000036,0.000037,0.000039,0.000175,0.000109,0.000109,0.002809,0.000877,0.000876,0.000114,0.000000,0.004196,0.000028,0.001778,0.000450,0.000244,0.000157,0.000179,0.000000,0.000480,0.000122,0.000150,0.000107,0.004217,0.004248,0.004298,0.004298,0.392288,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.558395,1.615446,,,0.998514,0.690342,1.558395,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,96,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512_float16Vect,450,375,15,0.000000,0.000191,0.000168,0.000102,0.000057,0.000051,0.000392,0.000180,0.000179,0.004960,0.002004,0.002002,0.000343,0.000000,0.008067,0.000028,0.003568,0.000607,0.000300,0.000189,0.000289,0.000000,0.001034,0.000486,0.000296,0.000188,0.008097,0.008126,0.008184,0.008184,0.842957,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.032157,1.569096,,2.032157,0.999545,1.073186,,2.032157,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,96,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512_float16Vect,450,375,15,0.000000,0.000216,0.000167,0.000102,0.000059,0.000062,0.000401,0.000180,0.000180,0.005512,0.002015,0.002014,0.000346,0.000000,0.008672,0.000027,0.003970,0.000728,0.000323,0.000204,0.000289,0.000000,0.001044,0.000484,0.000295,0.000186,0.008699,0.008726,0.008783,0.008783,0.842957,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.078818,1.581931,,,0.997089,1.073186,2.078818,2.078818,,,,,,,,,,,,,,,,,
