Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,192,144,15,0.000000,0.000016,0.000012,0.000016,0.000012,0.000011,0.000051,0.000010,0.000009,0.000267,0.000121,0.000120,0.000019,0.000000,0.000485,0.000009,0.000108,0.000048,0.000039,0.000034,0.000038,0.000000,0.000029,0.000027,0.000029,0.000034,0.000497,0.000506,0.000515,0.000515,0.008198,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.124709,1.277584,1.124709,1.124709,1.853106,1.753000,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,192,144,15,0.000000,0.000017,0.000013,0.000016,0.000012,0.000011,0.000052,0.000009,0.000009,0.000649,0.000122,0.000121,0.000020,0.000000,0.000871,0.000010,0.000385,0.000121,0.000059,0.000041,0.000038,0.000000,0.000028,0.000026,0.000029,0.000035,0.000885,0.000894,0.000903,0.000903,0.008198,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.431746,1.334211,1.431746,,1.187546,1.753000,1.431746,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,96,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,72,AVX256,384,288,15,0.000000,0.000047,0.000034,0.000024,0.000032,0.000027,0.000117,0.000028,0.000028,0.000798,0.000514,0.000514,0.000050,0.000000,0.001564,0.000021,0.000390,0.000163,0.000096,0.000072,0.000068,0.000000,0.000344,0.000053,0.000053,0.000056,0.001586,0.001607,0.001644,0.001644,0.085063,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.368513,1.402956,1.368513,1.368513,1.023438,1.310760,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,96,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,384,288,15,0.000000,0.000042,0.000042,0.000033,0.000038,0.000033,0.000145,0.000050,0.000050,0.001279,0.000500,0.000498,0.000057,0.000000,0.002076,0.000027,0.000622,0.000287,0.000147,0.000117,0.000104,0.000000,0.000280,0.000071,0.000070,0.000071,0.002096,0.002123,0.002154,0.002154,0.085063,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.608098,1.433992,1.608098,,0.993800,1.310760,1.608098,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,96,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX256,434,383,15,0.000000,0.000113,0.000053,0.000023,0.000016,0.000021,0.000113,0.000041,0.000041,0.003111,0.000637,0.000636,0.000121,0.000000,0.004118,0.000018,0.002375,0.000392,0.000153,0.000108,0.000073,0.000000,0.000458,0.000087,0.000040,0.000042,0.004139,0.004158,0.004219,0.004219,0.222043,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.877128,1.975119,0.877128,0.877128,0.607631,1.163093,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,96,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX256,434,383,15,0.000000,0.000116,0.000061,0.000025,0.000019,0.000025,0.000130,0.000043,0.000043,0.003760,0.000616,0.000615,0.000126,0.000000,0.004799,0.000020,0.002824,0.000536,0.000192,0.000122,0.000080,0.000000,0.000470,0.000068,0.000035,0.000042,0.004816,0.004836,0.004907,0.004907,0.222043,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.145511,1.970990,1.145511,,0.615565,1.163093,1.145511,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,96,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX256,432,381,15,0.000000,0.000166,0.000082,0.000031,0.000019,0.000028,0.000160,0.000063,0.000062,0.004797,0.000855,0.000854,0.000222,0.000000,0.006267,0.000021,0.003665,0.000667,0.000221,0.000152,0.000086,0.000000,0.000584,0.000140,0.000073,0.000058,0.006290,0.006318,0.006389,0.006389,0.417325,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.897822,1.532582,,0.897822,0.643946,1.111216,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,96,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,AVX256,432,381,15,0.000000,0.000167,0.000077,0.000029,0.000017,0.000034,0.000158,0.000080,0.000080,0.005367,0.000968,0.000967,0.000223,0.000000,0.006976,0.000021,0.004097,0.000785,0.000251,0.000157,0.000087,0.000000,0.000662,0.000156,0.000073,0.000061,0.007008,0.007028,0.007099,0.007099,0.417325,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.943398,1.518530,,,0.637932,1.111216,0.943398,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,96,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,450,375,15,0.000000,0.000211,0.000206,0.000114,0.000079,0.000059,0.000474,0.000196,0.000195,0.007816,0.002616,0.002613,0.000679,0.000001,0.012014,0.000039,0.005917,0.001030,0.000437,0.000268,0.000160,0.000000,0.001478,0.000558,0.000364,0.000204,0.012072,0.012110,0.012201,0.012201,0.897003,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.363081,1.474555,,1.363081,0.997599,1.089320,,1.363081,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,96,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,450,375,15,0.000000,0.000205,0.000203,0.000113,0.000078,0.000068,0.000471,0.000193,0.000192,0.008894,0.002650,0.002647,0.000696,0.000001,0.013112,0.000037,0.006743,0.001220,0.000473,0.000289,0.000173,0.000000,0.001501,0.000555,0.000368,0.000211,0.013165,0.013200,0.013291,0.013291,0.897003,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.373727,1.486617,,,1.005546,1.089320,1.373727,1.373727,,,,,,,,,,,,,,,,,
