Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,192,144,15,0.000000,0.000011,0.000013,0.000016,0.000012,0.000011,0.000054,0.000010,0.000010,0.000660,0.000115,0.000115,0.000025,0.000000,0.000872,0.000010,0.000330,0.000105,0.000121,0.000061,0.000040,0.000000,0.000027,0.000026,0.000030,0.000032,0.000887,0.000898,0.000904,0.000904,0.008198,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.641303,1.277584,0.641303,0.641303,1.261537,1.523833,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,96,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,48,DEFAULT,192,144,15,0.000000,0.000013,0.000021,0.000022,0.000021,0.000020,0.000085,0.000013,0.000012,0.001070,0.000138,0.000138,0.000019,0.000000,0.001340,0.000017,0.000582,0.000194,0.000131,0.000091,0.000064,0.000000,0.000031,0.000035,0.000033,0.000038,0.001352,0.001370,0.001377,0.001377,0.008198,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.939146,1.334211,0.939146,,1.087879,1.523833,0.939146,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,96,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,DEFAULT,384,288,15,0.000000,0.000041,0.000039,0.000034,0.000039,0.000033,0.000148,0.000031,0.000031,0.002950,0.000493,0.000493,0.000129,0.000000,0.003808,0.000030,0.001850,0.000533,0.000208,0.000217,0.000135,0.000000,0.000274,0.000078,0.000069,0.000072,0.003833,0.003865,0.003898,0.003898,0.085063,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.577024,1.402956,0.577024,0.577024,0.983220,1.437775,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,96,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,DEFAULT,384,288,15,0.000000,0.000045,0.000045,0.000037,0.000042,0.000035,0.000158,0.000058,0.000057,0.004578,0.000542,0.000541,0.000144,0.000000,0.005514,0.000033,0.003022,0.000890,0.000304,0.000221,0.000147,0.000000,0.000298,0.000082,0.000075,0.000074,0.005538,0.005571,0.005605,0.005605,0.085063,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.618144,1.433992,0.618144,,0.992433,1.437775,0.618144,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,96,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,DEFAULT,434,383,15,0.000000,0.000070,0.000053,0.000034,0.000034,0.000041,0.000166,0.000084,0.000084,0.005980,0.000519,0.000518,0.000179,0.000001,0.007011,0.000034,0.003963,0.001210,0.000399,0.000255,0.000178,0.000000,0.000260,0.000072,0.000084,0.000101,0.007034,0.007070,0.007136,0.007136,0.222043,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.518602,1.975119,0.518602,0.518602,1.004247,1.321585,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,96,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,DEFAULT,434,383,15,0.000000,0.000076,0.000063,0.000038,0.000037,0.000046,0.000190,0.000090,0.000090,0.008125,0.000555,0.000553,0.000186,0.000001,0.009292,0.000041,0.005432,0.001650,0.000525,0.000306,0.000205,0.000000,0.000272,0.000078,0.000093,0.000104,0.009320,0.009361,0.009430,0.009430,0.222043,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.596059,1.970990,0.596059,,1.002627,1.321585,0.596059,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,96,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,DEFAULT,432,381,15,0.000000,0.000098,0.000071,0.000044,0.000042,0.000043,0.000203,0.000117,0.000117,0.009320,0.000865,0.000864,0.000271,0.000000,0.010866,0.000033,0.006348,0.001849,0.000559,0.000336,0.000214,0.000000,0.000424,0.000128,0.000162,0.000143,0.010899,0.010933,0.010999,0.010999,0.417325,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.521487,1.532582,,0.521487,0.996060,1.203527,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,96,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,DEFAULT,432,381,15,0.000000,0.000105,0.000075,0.000046,0.000045,0.000048,0.000216,0.000117,0.000117,0.011439,0.000900,0.000899,0.000269,0.000001,0.013078,0.000036,0.007837,0.002259,0.000652,0.000379,0.000241,0.000000,0.000441,0.000128,0.000176,0.000147,0.013117,0.013155,0.013237,0.013237,0.417325,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.505931,1.518530,,,0.975888,1.203527,0.505931,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,96,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,DEFAULT,450,375,15,0.000001,0.000201,0.000190,0.000114,0.000080,0.000062,0.000467,0.000250,0.000249,0.021844,0.002816,0.002814,0.000951,0.000001,0.026569,0.000045,0.015364,0.004030,0.001441,0.000601,0.000347,0.000000,0.001626,0.000559,0.000380,0.000247,0.026628,0.026677,0.026771,0.026771,0.897003,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.621240,1.474555,,0.621240,1.000198,1.111970,,0.621240,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,96,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,DEFAULT,450,375,15,0.000001,0.000207,0.000226,0.000129,0.000092,0.000090,0.000541,0.000245,0.000243,0.024385,0.003021,0.003019,0.000992,0.000002,0.029538,0.000051,0.017068,0.004625,0.001625,0.000695,0.000396,0.000000,0.001763,0.000590,0.000431,0.000263,0.029605,0.029656,0.029769,0.029769,0.897003,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.613339,1.486617,,,0.981035,1.111970,0.613339,0.613339,,,,,,,,,,,,,,,,,
