Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512_float16Vect,192,144,3,0.000000,0.000023,0.000015,0.000012,0.000011,0.000009,0.000047,0.000010,0.000010,0.000354,0.000126,0.000126,0.000018,0.000000,0.000578,0.000008,0.000129,0.000072,0.000057,0.000050,0.000037,0.000000,0.000049,0.000029,0.000025,0.000027,0.000596,0.000604,0.000610,0.000610,0.007601,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.949193,1.377805,0.949193,0.949193,0.913109,1.336815,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512_float16Vect,192,144,3,0.000000,0.000025,0.000015,0.000011,0.000009,0.000008,0.000043,0.000020,0.000020,0.000532,0.000129,0.000129,0.000018,0.000000,0.000785,0.000008,0.000272,0.000100,0.000056,0.000063,0.000038,0.000000,0.000042,0.000037,0.000025,0.000026,0.000802,0.000810,0.000816,0.000816,0.007601,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.584495,1.438874,1.584495,,1.043574,1.336815,1.584495,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512_float16Vect,384,288,3,0.000000,0.000143,0.000091,0.000035,0.000014,0.000012,0.000139,0.000024,0.000023,0.001868,0.001141,0.001140,0.000180,0.000000,0.003477,0.000017,0.001344,0.000291,0.000102,0.000069,0.000083,0.000000,0.000890,0.000158,0.000049,0.000043,0.003500,0.003517,0.003553,0.003553,0.085001,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.633025,1.403979,0.633025,0.633025,1.035630,1.322508,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512_float16Vect,384,288,3,0.000000,0.000149,0.000065,0.000023,0.000014,0.000014,0.000116,0.000028,0.000028,0.003007,0.001152,0.001151,0.000178,0.000000,0.004629,0.000016,0.002220,0.000463,0.000152,0.000083,0.000099,0.000000,0.000950,0.000124,0.000048,0.000041,0.004649,0.004664,0.004699,0.004699,0.085001,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.737241,1.435038,0.737241,,1.015656,1.322508,0.737241,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512_float16Vect,434,383,3,0.000000,0.000318,0.000157,0.000045,0.000016,0.000016,0.000232,0.000024,0.000024,0.007507,0.001784,0.001783,0.000388,0.000000,0.010171,0.000029,0.006300,0.000732,0.000225,0.000110,0.000150,0.000000,0.001351,0.000252,0.000121,0.000069,0.010204,0.010233,0.010301,0.010301,0.223071,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.359230,1.966018,0.359230,0.359230,1.006400,1.324211,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512_float16Vect,434,383,3,0.000000,0.000341,0.000145,0.000042,0.000015,0.000016,0.000218,0.000022,0.000022,0.010887,0.001780,0.001779,0.000387,0.000000,0.013517,0.000027,0.008812,0.001278,0.000389,0.000145,0.000175,0.000000,0.001361,0.000244,0.000122,0.000066,0.013548,0.013576,0.013641,0.013641,0.223071,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412065,1.961907,0.412065,,1.015836,1.324211,0.412065,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512_float16Vect,432,381,3,0.000001,0.000460,0.000330,0.000070,0.000028,0.000021,0.000450,0.000034,0.000034,0.015362,0.003941,0.003940,0.001035,0.000001,0.021201,0.000032,0.013112,0.001462,0.000375,0.000158,0.000246,0.000000,0.002969,0.000591,0.000283,0.000105,0.021242,0.021273,0.021353,0.021353,0.422028,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.268617,1.515505,,0.268617,0.982415,1.140470,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512_float16Vect,432,381,3,0.000000,0.000551,0.000389,0.000101,0.000021,0.000009,0.000508,0.000011,0.000010,0.018669,0.003750,0.003749,0.000760,0.000001,0.024203,0.000053,0.014751,0.002780,0.000711,0.000224,0.000222,0.000000,0.002730,0.000643,0.000320,0.000084,0.024240,0.024274,0.024352,0.024352,0.422028,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.275013,1.501610,,,1.029697,1.140470,0.275013,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512_float16Vect,450,375,3,0.000001,0.000961,0.001470,0.000345,0.000077,0.000028,0.001909,0.000040,0.000038,0.034092,0.010375,0.010373,0.003308,0.000002,0.050706,0.000033,0.027644,0.004917,0.000825,0.000254,0.000488,0.000000,0.007156,0.002433,0.000646,0.000172,0.050747,0.050781,0.050863,0.050863,0.914373,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.326983,1.446544,,0.326983,1.024300,1.067003,,0.326983,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512_float16Vect,450,375,3,0.000000,0.000863,0.001483,0.000391,0.000077,0.000028,0.001957,0.000036,0.000035,0.037360,0.010370,0.010369,0.003300,0.000002,0.054115,0.000034,0.030192,0.005416,0.001025,0.000290,0.000496,0.000000,0.007183,0.002374,0.000648,0.000164,0.054153,0.054187,0.054271,0.054271,0.914373,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336429,1.458377,,,0.995278,1.067003,0.336429,0.336429,,,,,,,,,,,,,,,,,
