Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,
0,tsukubaSetHalfSize,FLOAT,16,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,DEFAULT,192,144,3,0.000000,0.000022,0.000015,0.000012,0.000010,0.000008,0.000045,0.000009,0.000009,0.001092,0.000128,0.000128,0.000062,0.000000,0.001362,0.000008,0.000719,0.000199,0.000093,0.000047,0.000034,0.000000,0.000049,0.000029,0.000025,0.000025,0.001378,0.001386,0.001392,0.001392,0.007420,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.416170,1.411511,0.416170,0.416170,1.057168,2.503981,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,16,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,DEFAULT,192,144,3,0.000000,0.000023,0.000015,0.000011,0.000009,0.000007,0.000043,0.000009,0.000009,0.003209,0.000121,0.000121,0.000049,0.000000,0.003456,0.000007,0.002319,0.000605,0.000184,0.000064,0.000037,0.000000,0.000046,0.000028,0.000024,0.000023,0.003473,0.003480,0.003486,0.003486,0.007420,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.370892,1.474073,0.370892,,1.017477,2.503981,0.370892,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,16,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,DEFAULT,384,288,3,0.000000,0.000161,0.000071,0.000024,0.000018,0.000013,0.000125,0.000020,0.000020,0.011876,0.001119,0.001118,0.000700,0.000001,0.013942,0.000017,0.008797,0.002217,0.000568,0.000190,0.000073,0.000000,0.000898,0.000143,0.000051,0.000040,0.013971,0.013988,0.014031,0.014031,0.085953,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.160316,1.388421,0.160316,0.160316,1.011941,1.550227,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,16,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,DEFAULT,384,288,3,0.000000,0.000149,0.000083,0.000025,0.000019,0.000013,0.000139,0.000038,0.000037,0.019439,0.001131,0.001131,0.000711,0.000001,0.021635,0.000020,0.014311,0.003748,0.000993,0.000298,0.000102,0.000000,0.000878,0.000159,0.000055,0.000042,0.021688,0.021709,0.021751,0.021751,0.085953,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159282,1.419135,0.159282,,0.999169,1.550227,0.159282,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,16,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,DEFAULT,434,383,3,0.000000,0.000322,0.000161,0.000041,0.000016,0.000018,0.000233,0.000028,0.000027,0.027010,0.001948,0.001946,0.000952,0.000001,0.030523,0.000033,0.019177,0.005446,0.001528,0.000415,0.000144,0.000000,0.001513,0.000271,0.000105,0.000068,0.030569,0.030603,0.030679,0.030679,0.227426,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120618,1.928370,0.120618,0.120618,0.983495,1.294618,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,16,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,DEFAULT,434,383,3,0.000000,0.000312,0.000156,0.000038,0.000015,0.000015,0.000225,0.000026,0.000026,0.036339,0.001739,0.001738,0.000958,0.000001,0.039584,0.000029,0.026293,0.007300,0.001944,0.000541,0.000188,0.000000,0.001375,0.000218,0.000103,0.000061,0.039625,0.039654,0.039718,0.039718,0.227426,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.141521,1.924338,0.141521,,1.014612,1.294618,0.141521,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,16,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,DEFAULT,432,381,3,0.000000,0.000507,0.000282,0.000082,0.000050,0.000019,0.000413,0.000067,0.000066,0.044183,0.003139,0.003138,0.001504,0.000001,0.049781,0.000035,0.032593,0.008609,0.002154,0.000588,0.000226,0.000000,0.002309,0.000560,0.000183,0.000090,0.049837,0.049872,0.049957,0.049957,0.423600,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114814,1.509880,,0.114814,0.996164,1.187208,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,16,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,DEFAULT,432,381,3,0.000000,0.000455,0.000293,0.000066,0.000020,0.000019,0.000399,0.000033,0.000032,0.052816,0.003519,0.003518,0.001555,0.000001,0.059135,0.000036,0.038877,0.010526,0.002598,0.000694,0.000274,0.000000,0.002677,0.000584,0.000204,0.000086,0.059187,0.059222,0.059309,0.059309,0.423600,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.112921,1.496037,,,0.993223,1.187208,0.112921,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,16,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,DEFAULT,450,375,3,0.000001,0.000957,0.001316,0.000223,0.000117,0.000032,0.001680,0.000061,0.000061,0.105088,0.010395,0.010393,0.004938,0.000002,0.123316,0.000036,0.077930,0.019715,0.005631,0.001410,0.000495,0.000000,0.007923,0.001756,0.000549,0.000167,0.123371,0.123407,0.123522,0.123522,0.903275,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134643,1.464316,,0.134643,1.003578,1.100470,,0.134643,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,16,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,DEFAULT,450,375,3,0.000001,0.000942,0.001351,0.000219,0.000075,0.000027,0.001672,0.000044,0.000044,0.117023,0.010801,0.010799,0.004985,0.000002,0.135724,0.000052,0.086535,0.022012,0.006202,0.001571,0.000513,0.000000,0.008147,0.001903,0.000602,0.000155,0.135779,0.135831,0.135932,0.135932,0.903275,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134319,1.476295,,,0.998224,1.100470,0.134319,0.134319,,,,,,,,,,,,,,,,,
