Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,
0,tsukubaSetHalfSize,FLOAT,16,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX256,192,144,3,0.000000,0.000026,0.000015,0.000008,0.000008,0.000006,0.000037,0.000007,0.000007,0.000322,0.000117,0.000116,0.000018,0.000000,0.000526,0.000006,0.000170,0.000061,0.000034,0.000020,0.000023,0.000000,0.000048,0.000022,0.000026,0.000020,0.000540,0.000547,0.000558,0.000558,0.008089,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.039146,1.294724,1.039146,1.039146,1.019263,2.028242,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,16,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,192,144,3,0.000000,0.000028,0.000016,0.000013,0.000009,0.000008,0.000046,0.000009,0.000008,0.000860,0.000128,0.000127,0.000023,0.000000,0.001102,0.000008,0.000553,0.000175,0.000065,0.000036,0.000037,0.000000,0.000044,0.000025,0.000026,0.000026,0.001118,0.001125,0.001131,0.001131,0.008089,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.143311,1.352110,1.143311,,0.992495,2.028242,1.143311,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,16,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,384,288,3,0.000000,0.000159,0.000096,0.000026,0.000018,0.000013,0.000152,0.000029,0.000029,0.002078,0.001235,0.001234,0.000196,0.000000,0.003834,0.000016,0.001531,0.000329,0.000119,0.000053,0.000033,0.000000,0.000991,0.000155,0.000051,0.000039,0.003856,0.003870,0.003906,0.003906,0.087690,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.575798,1.360912,0.575798,0.575798,1.006755,1.505177,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,16,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,384,288,3,0.000000,0.000171,0.000102,0.000028,0.000020,0.000013,0.000163,0.000023,0.000023,0.004040,0.001229,0.001228,0.000195,0.000000,0.005798,0.000017,0.002963,0.000770,0.000201,0.000086,0.000047,0.000000,0.000972,0.000174,0.000053,0.000041,0.005825,0.005842,0.005880,0.005880,0.087690,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.589209,1.391018,0.589209,,0.991783,1.505177,0.589209,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,16,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,434,383,3,0.000000,0.000326,0.000181,0.000047,0.000016,0.000016,0.000261,0.000036,0.000035,0.010470,0.001873,0.001872,0.000420,0.000000,0.013348,0.000028,0.008887,0.001108,0.000271,0.000137,0.000067,0.000000,0.001455,0.000274,0.000087,0.000065,0.013381,0.013409,0.013473,0.013473,0.227273,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.274663,1.929668,0.274663,0.274663,1.017590,1.042864,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,16,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX256,434,383,3,0.000000,0.000362,0.000234,0.000054,0.000015,0.000008,0.000311,0.000007,0.000007,0.010241,0.001612,0.001611,0.000462,0.000000,0.013895,0.000029,0.007891,0.001695,0.000428,0.000165,0.000063,0.000000,0.001223,0.000262,0.000080,0.000046,0.013931,0.013961,0.014050,0.014050,0.227273,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400058,1.925634,0.400058,,1.039969,1.042864,0.400058,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,16,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,432,381,3,0.000001,0.000463,0.000263,0.000067,0.000022,0.000027,0.000379,0.000033,0.000032,0.013785,0.002792,0.002791,0.000888,0.000001,0.018285,0.000031,0.011150,0.001920,0.000471,0.000185,0.000088,0.000000,0.001982,0.000543,0.000202,0.000091,0.018328,0.018360,0.018437,0.018437,0.430971,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.311105,1.484054,,0.311105,1.009777,1.210804,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,16,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,432,381,3,0.000000,0.000505,0.000301,0.000073,0.000022,0.000021,0.000417,0.000035,0.000035,0.016166,0.003453,0.003451,0.000939,0.000001,0.022169,0.000031,0.013072,0.002261,0.000562,0.000213,0.000094,0.000000,0.002559,0.000597,0.000202,0.000093,0.022212,0.022243,0.022323,0.022323,0.430971,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300011,1.470448,,,1.027116,1.210804,0.300011,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,16,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,450,375,3,0.000000,0.001054,0.001519,0.000260,0.000087,0.000031,0.001899,0.000050,0.000050,0.038918,0.010612,0.010610,0.003476,0.000002,0.055889,0.000035,0.031435,0.005874,0.001165,0.000310,0.000146,0.000000,0.007821,0.001956,0.000708,0.000172,0.055939,0.055972,0.056059,0.056059,0.930205,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.296676,1.421924,,0.296676,1.031252,1.147706,,0.296676,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,16,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256,450,375,3,0.000001,0.000936,0.001340,0.000225,0.000088,0.000031,0.001686,0.000063,0.000062,0.045693,0.010616,0.010614,0.003405,0.000002,0.064176,0.000034,0.035978,0.006925,0.001367,0.000377,0.000163,0.000000,0.007905,0.001902,0.000641,0.000182,0.064221,0.064256,0.064339,0.064339,0.930205,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.283783,1.433556,,,0.995323,1.147706,0.283783,0.283783,,,,,,,,,,,,,,,,,
