Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,
0,tsukubaSetHalfSize,FLOAT,16,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX256_float16Vect,192,144,3,0.000000,0.000035,0.000017,0.000008,0.000008,0.000007,0.000039,0.000007,0.000007,0.000270,0.000107,0.000106,0.000017,0.000000,0.000472,0.000006,0.000151,0.000053,0.000027,0.000019,0.000022,0.000000,0.000041,0.000021,0.000025,0.000020,0.000486,0.000492,0.000502,0.000502,0.008089,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.155221,1.294724,1.155221,1.155221,1.137969,2.534379,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,16,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX256_float16Vect,192,144,3,0.000000,0.000028,0.000015,0.000008,0.000008,0.000006,0.000049,0.000007,0.000007,0.001021,0.000116,0.000115,0.000020,0.000000,0.001236,0.000006,0.000691,0.000194,0.000072,0.000032,0.000033,0.000000,0.000044,0.000023,0.000027,0.000022,0.001254,0.001260,0.001271,0.001271,0.008089,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.017188,1.352110,1.017188,,0.992646,2.534379,1.017188,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,16,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256_float16Vect,384,288,3,0.000000,0.000163,0.000094,0.000025,0.000016,0.000012,0.000147,0.000023,0.000023,0.002152,0.001212,0.001211,0.000181,0.000000,0.003887,0.000016,0.001565,0.000359,0.000112,0.000054,0.000037,0.000000,0.000977,0.000141,0.000051,0.000050,0.003909,0.003923,0.003959,0.003959,0.087690,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.568105,1.360912,0.568105,0.568105,1.026747,1.651130,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,16,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256_float16Vect,384,288,3,0.000000,0.000188,0.000109,0.000029,0.000020,0.000014,0.000172,0.000041,0.000040,0.004293,0.001421,0.001420,0.000196,0.000000,0.006443,0.000017,0.003148,0.000775,0.000219,0.000086,0.000050,0.000000,0.001143,0.000172,0.000083,0.000043,0.006478,0.006495,0.006537,0.006537,0.087690,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529949,1.391018,0.529949,,0.903657,1.651130,0.529949,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,16,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256_float16Vect,434,383,3,0.000000,0.000324,0.000190,0.000044,0.000016,0.000018,0.000268,0.000025,0.000025,0.010315,0.001751,0.001750,0.000404,0.000000,0.013054,0.000027,0.008759,0.001086,0.000275,0.000129,0.000066,0.000000,0.001389,0.000233,0.000085,0.000060,0.013087,0.013112,0.013178,0.013178,0.227273,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280811,1.929668,0.280811,0.280811,0.993541,0.956814,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,16,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX256_float16Vect,434,383,3,0.000000,0.000359,0.000246,0.000051,0.000015,0.000007,0.000317,0.000008,0.000007,0.009984,0.001425,0.001424,0.000440,0.000000,0.012484,0.000028,0.007650,0.001682,0.000430,0.000164,0.000057,0.000000,0.001056,0.000259,0.000075,0.000042,0.012515,0.012544,0.012609,0.012609,0.227273,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.445797,1.925634,0.445797,,1.153360,0.956814,0.445797,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,16,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256_float16Vect,432,381,3,0.000001,0.000495,0.000279,0.000065,0.000020,0.000019,0.000378,0.000053,0.000053,0.013746,0.003108,0.003107,0.000874,0.000001,0.019489,0.000033,0.011192,0.002001,0.000436,0.000179,0.000079,0.000000,0.002310,0.000550,0.000184,0.000088,0.019536,0.019568,0.019664,0.019664,0.430971,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.291683,1.484054,,0.291683,1.005235,1.044603,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,16,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256_float16Vect,432,381,3,0.000000,0.000472,0.000284,0.000064,0.000020,0.000021,0.000389,0.000033,0.000033,0.015863,0.002754,0.002752,0.000892,0.000001,0.020391,0.000031,0.012773,0.002236,0.000550,0.000213,0.000091,0.000000,0.001944,0.000536,0.000195,0.000088,0.020434,0.020465,0.020542,0.020542,0.430971,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.326034,1.470448,,,1.027395,1.044603,0.326034,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,16,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256_float16Vect,450,375,3,0.000001,0.001091,0.001531,0.000254,0.000085,0.000031,0.001902,0.000050,0.000049,0.038906,0.010424,0.010422,0.003461,0.000002,0.056542,0.000036,0.031393,0.005900,0.001120,0.000300,0.000143,0.000000,0.007797,0.001800,0.000630,0.000196,0.056588,0.056621,0.056703,0.056703,0.930205,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.293303,1.421924,,0.293303,1.029133,1.116956,,0.293303,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,16,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX256_float16Vect,450,375,3,0.000000,0.001002,0.001306,0.000228,0.000080,0.000031,0.001634,0.000047,0.000046,0.045705,0.010537,0.010535,0.003531,0.000001,0.063177,0.000033,0.036801,0.006926,0.001353,0.000392,0.000175,0.000000,0.007943,0.001832,0.000644,0.000161,0.063221,0.063255,0.063335,0.063335,0.930205,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.288280,1.433556,,,0.981354,1.116956,0.288280,0.288280,,,,,,,,,,,,,,,,,
