Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000026,0.000013,0.000006,0.000006,0.000005,0.000032,0.000007,0.000007,0.000266,0.000106,0.000106,0.000014,0.000000,0.000450,0.000005,0.000121,0.000049,0.000028,0.000041,0.000027,0.000000,0.000048,0.000018,0.000018,0.000022,0.000470,0.000475,0.000484,0.000484,0.009463,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.197461,1.106764,1.197461,1.197461,1.021410,5.800923,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000026,0.000012,0.000006,0.000006,0.000006,0.000030,0.000007,0.000007,0.001839,0.000093,0.000093,0.000016,0.000000,0.002007,0.000005,0.000679,0.000195,0.000091,0.000065,0.000031,0.000000,0.000038,0.000018,0.000017,0.000020,0.002027,0.002798,0.002807,0.002807,0.009463,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.460651,1.155819,0.460651,,0.508151,5.800923,0.460651,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,384,288,3,0.000001,0.000183,0.000110,0.000027,0.000010,0.000006,0.000153,0.000010,0.000010,0.004553,0.001766,0.001765,0.000598,0.000001,0.007216,0.000052,0.003945,0.000396,0.000096,0.000058,0.000057,0.000000,0.001218,0.000411,0.000111,0.000039,0.007257,0.007309,0.007350,0.007350,0.081961,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.306042,1.456042,0.306042,0.306042,1.184840,1.658507,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000171,0.000092,0.000030,0.000013,0.000008,0.000144,0.000018,0.000018,0.007494,0.003181,0.003180,0.000621,0.000001,0.012048,0.000059,0.005684,0.001106,0.000309,0.000297,0.000096,0.000000,0.002617,0.000393,0.000119,0.000043,0.012086,0.012146,0.012190,0.012190,0.081961,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.284217,1.488252,0.284217,,1.002600,1.658507,0.284217,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX512,434,383,3,0.000001,0.000712,0.000551,0.000096,0.000016,0.000007,0.000669,0.000015,0.000013,0.018885,0.006714,0.006713,0.002268,0.000001,0.029264,0.000081,0.017117,0.001227,0.000298,0.000109,0.000140,0.000000,0.005285,0.001067,0.000254,0.000073,0.029299,0.029380,0.029437,0.029437,0.269180,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125708,1.629245,0.125708,0.125708,1.112620,1.130884,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX512,434,383,3,0.000001,0.000716,0.000489,0.000091,0.000027,0.000006,0.000618,0.000013,0.000012,0.022470,0.006991,0.006990,0.002460,0.000001,0.033121,0.000074,0.018670,0.002719,0.000723,0.000207,0.000190,0.000000,0.005555,0.001049,0.000250,0.000063,0.033160,0.033233,0.033290,0.033290,0.269180,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.168848,1.625839,0.168848,,1.037739,1.130884,0.168848,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,432,381,3,0.000001,0.001574,0.001409,0.000194,0.000051,0.000016,0.001670,0.000033,0.000032,0.034558,0.012816,0.012815,0.003853,0.000001,0.054476,0.000069,0.030412,0.002947,0.000725,0.000167,0.000255,0.000000,0.010197,0.001976,0.000527,0.000116,0.054505,0.054575,0.054629,0.054629,0.440860,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104996,1.450766,,0.104996,1.055970,0.983365,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.001128,0.001251,0.000156,0.000033,0.000014,0.001450,0.000032,0.000031,0.034406,0.012585,0.012584,0.003904,0.000001,0.053548,0.000076,0.030134,0.003129,0.000681,0.000216,0.000229,0.000000,0.009085,0.001763,0.000452,0.000106,0.053587,0.053664,0.053720,0.053720,0.440860,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124670,1.437465,,,0.960591,0.983365,0.124670,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,450,375,3,0.000000,0.003243,0.004207,0.000871,0.000153,0.000024,0.005227,0.000058,0.000055,0.081832,0.025323,0.025321,0.008283,0.000000,0.123159,0.000071,0.067993,0.011908,0.001569,0.000388,0.000609,0.000000,0.019011,0.004879,0.001213,0.000250,0.123193,0.123259,0.123315,0.123315,0.905728,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134869,1.460350,,0.134869,1.025715,0.989323,,0.134869,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,450,375,3,0.000001,0.002840,0.004189,0.000693,0.000080,0.000011,0.004968,0.000031,0.000030,0.079977,0.025878,0.025876,0.008156,0.000001,0.121845,0.000066,0.065601,0.011644,0.001748,0.000428,0.000555,0.000000,0.019503,0.005170,0.001033,0.000204,0.121876,0.121942,0.121998,0.121998,0.905728,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149660,1.472297,,,1.040712,0.989323,0.149660,0.149660,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000025,0.000013,0.000006,0.000005,0.000005,0.000030,0.000006,0.000006,0.000396,0.000099,0.000099,0.000023,0.000000,0.000580,0.000005,0.000233,0.000082,0.000032,0.000023,0.000026,0.000000,0.000052,0.000021,0.000014,0.000013,0.000599,0.000604,0.000613,0.000613,0.009463,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,1.173175,1.173403,1.173175,1.173175,0.983333,4.416980,,,,,,,,,,,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000034,0.000016,0.000007,0.000006,0.000006,0.000044,0.000008,0.000008,0.002408,0.000119,0.000118,0.000036,0.000000,0.002668,0.000006,0.001716,0.000474,0.000138,0.000055,0.000035,0.000000,0.000065,0.000023,0.000016,0.000014,0.002690,0.002697,0.002707,0.002707,0.009463,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,0.746324,1.191981,0.746324,,0.988450,4.416980,0.746324,,,,,,,,,,
1,tsukubaSet,DOUBLE,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX512,384,288,3,0.000001,0.000711,0.000552,0.000084,0.000015,0.000007,0.000657,0.000018,0.000017,0.019183,0.006173,0.006172,0.002359,0.000000,0.029101,0.000047,0.017705,0.001091,0.000194,0.000054,0.000050,0.000000,0.004928,0.000973,0.000201,0.000065,0.029140,0.029188,0.029227,0.029227,0.081961,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.126186,1.488667,0.126186,0.126186,1.070261,1.097034,,,,,,,,,,,
1,tsukubaSet,DOUBLE,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX512,384,288,3,0.000001,0.000628,0.000483,0.000075,0.000015,0.000007,0.000581,0.000016,0.000015,0.022271,0.005976,0.005975,0.002488,0.000000,0.031934,0.000045,0.018083,0.003177,0.000722,0.000196,0.000103,0.000000,0.004849,0.000900,0.000173,0.000059,0.031977,0.032023,0.032063,0.032063,0.081961,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.184714,1.497977,0.184714,,1.048515,1.097034,0.184714,,,,,,,,,,
2,venus,DOUBLE,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.001696,0.002091,0.000268,0.000023,0.000009,0.002394,0.000037,0.000036,0.047013,0.015137,0.015135,0.005684,0.000001,0.072909,0.000077,0.041646,0.004793,0.000383,0.000133,0.000069,0.000000,0.011517,0.002403,0.000316,0.000113,0.072948,0.072987,0.073043,0.073043,0.269180,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.082318,1.616209,0.082318,0.082318,0.955326,0.990129,,,,,,,,,,,
2,venus,DOUBLE,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.001777,0.002103,0.000267,0.000021,0.000009,0.002401,0.000024,0.000023,0.048573,0.013653,0.013651,0.005619,0.000001,0.072144,0.000075,0.042043,0.005123,0.000957,0.000296,0.000132,0.000000,0.011335,0.001885,0.000320,0.000118,0.072187,0.072262,0.072322,0.072322,0.269180,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.130196,1.606209,0.130196,,1.001292,0.990129,0.130196,,,,,,,,,,
3,barn1,DOUBLE,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,432,381,3,0.000000,0.002868,0.003921,0.000478,0.000046,0.000013,0.004543,0.000028,0.000027,0.077337,0.021301,0.021299,0.008458,0.000001,0.114486,0.000065,0.065592,0.010249,0.001096,0.000327,0.000096,0.000000,0.016900,0.003588,0.000653,0.000159,0.114520,0.114573,0.114626,0.114626,0.440860,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.106755,1.454030,,0.106755,1.016878,1.040300,,,,,,,,,,,
3,barn1,DOUBLE,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,432,381,3,0.000000,0.002844,0.003977,0.000550,0.000051,0.000009,0.004587,0.000027,0.000027,0.081888,0.021242,0.021240,0.008423,0.000001,0.119091,0.000066,0.067185,0.011998,0.001922,0.000513,0.000154,0.000000,0.016866,0.003602,0.000644,0.000165,0.119124,0.119190,0.119245,0.119245,0.440860,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.133248,1.462990,,,1.003891,1.040300,0.133248,,,,,,,,,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,450,375,3,0.000001,0.006540,0.009049,0.002074,0.000261,0.000030,0.011421,0.000064,0.000062,0.179457,0.048720,0.048718,0.017758,0.000001,0.263891,0.000065,0.143168,0.032165,0.003292,0.000649,0.000187,0.000000,0.036607,0.009702,0.002012,0.000418,0.263929,0.263994,0.264047,0.264047,0.905728,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,0.184747,1.449585,,0.184747,1.140429,1.006852,,0.184747,,,,,,,,,
