Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,12,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,192,144,15,0.000000,0.000027,0.000017,0.000010,0.000010,0.000008,0.000045,0.000017,0.000016,0.000406,0.000155,0.000155,0.000033,0.000000,0.000686,0.000008,0.000198,0.000077,0.000051,0.000039,0.000039,0.000000,0.000052,0.000025,0.000038,0.000039,0.000701,0.000709,0.000715,0.000715,0.009787,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.972849,1.070073,0.972849,,0.972849,,1.199687,,,,,,,,,,,,,,,,,,,,,0.972849,1.070073,1.199687,,,,
0,tsukubaSetHalfSize,FLOAT,12,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,192,144,15,0.000000,0.000031,0.000017,0.000010,0.000012,0.000009,0.000049,0.000016,0.000016,0.001185,0.000175,0.000174,0.000036,0.000000,0.001492,0.000009,0.000769,0.000217,0.000088,0.000056,0.000053,0.000000,0.000058,0.000030,0.000044,0.000040,0.001508,0.001516,0.001522,0.001522,0.009787,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.882441,1.117502,0.882441,,,0.882441,1.038467,,,,,,,,,,,,,,,,,,,,,0.882441,1.117502,1.038467,,,,
1,tsukubaSet,FLOAT,12,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,384,288,15,0.000001,0.000227,0.000156,0.000031,0.000011,0.000014,0.000213,0.000038,0.000037,0.004686,0.002207,0.002206,0.000584,0.000000,0.007922,0.000092,0.003876,0.000529,0.000155,0.000069,0.000055,0.000000,0.001503,0.000493,0.000117,0.000078,0.007956,0.008048,0.008104,0.008104,0.096407,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250438,1.237871,0.250438,,0.250438,,0.902242,,,,,,,,,,,,,,,,,,,,,0.250438,1.237871,0.902242,,,,
1,tsukubaSet,FLOAT,12,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,384,288,15,0.000001,0.000235,0.000144,0.000032,0.000011,0.000011,0.000199,0.000036,0.000036,0.007515,0.002161,0.002161,0.000702,0.000001,0.010815,0.000088,0.006007,0.001021,0.000274,0.000091,0.000072,0.000000,0.001486,0.000463,0.000125,0.000075,0.010850,0.010938,0.010987,0.010987,0.096407,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.289653,1.265255,0.289653,,,0.289653,0.918557,,,,,,,,,,,,,,,,,,,,,0.289653,1.265255,0.918557,,,,
2,venus,FLOAT,12,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,434,383,15,0.000000,0.000524,0.000198,0.000054,0.000017,0.000011,0.000281,0.000020,0.000019,0.029512,0.007079,0.007078,0.003579,0.000001,0.040950,0.000113,0.027668,0.001256,0.000334,0.000127,0.000077,0.000000,0.006006,0.000770,0.000210,0.000074,0.040985,0.041099,0.041167,0.041167,0.400476,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.091215,1.095099,0.091215,,0.091215,,1.014734,,,,,,,,,,,,,,,,,,,,,0.091215,1.095099,1.014734,,,,
2,venus,FLOAT,12,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,434,383,15,0.000000,0.000515,0.000202,0.000055,0.000017,0.000011,0.000286,0.000019,0.000019,0.029723,0.006980,0.006979,0.003547,0.000001,0.041118,0.000113,0.027341,0.001673,0.000434,0.000154,0.000083,0.000000,0.005937,0.000770,0.000202,0.000073,0.041156,0.041270,0.041345,0.041345,0.400476,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135731,1.092809,0.135731,,,0.135731,0.998372,,,,,,,,,,,,,,,,,,,,,0.135731,1.092809,0.998372,,,,
3,barn1,FLOAT,12,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,432,381,15,0.000000,0.000817,0.000473,0.000123,0.000026,0.000014,0.000637,0.000028,0.000027,0.045348,0.011842,0.011841,0.005362,0.000001,0.064078,0.000098,0.041962,0.002493,0.000565,0.000208,0.000101,0.000000,0.009883,0.001463,0.000361,0.000128,0.064115,0.064213,0.064281,0.064281,0.726734,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089465,0.880081,,,0.089465,,1.002638,,,,,,,,,,,,,,,,,,,,,0.089465,0.880081,1.002638,,,,
3,barn1,FLOAT,12,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,432,381,15,0.000000,0.000825,0.000515,0.000127,0.000027,0.000013,0.000687,0.000026,0.000025,0.046049,0.011800,0.011799,0.005291,0.000001,0.064746,0.000102,0.042135,0.002894,0.000659,0.000217,0.000096,0.000000,0.009880,0.001425,0.000348,0.000128,0.064785,0.064888,0.064945,0.064945,0.726734,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103275,0.872012,,,,0.103275,1.001493,,,,,,,,,,,,,,,,,,,,,0.103275,0.872012,1.001493,,,,
4,conesQuarterSize,FLOAT,12,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,450,375,15,0.000000,0.002635,0.005815,0.000571,0.000085,0.000025,0.006507,0.000044,0.000043,0.113072,0.027406,0.027405,0.010929,0.000001,0.160717,0.000097,0.092915,0.018713,0.000967,0.000294,0.000131,0.000000,0.021711,0.004640,0.000796,0.000229,0.160755,0.160854,0.160910,0.160910,1.519356,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103441,0.870553,,0.103441,0.103441,,1.000808,,,,,,,,,,,,,,,,,,,,,0.103441,0.870553,1.000808,,,,
4,conesQuarterSize,FLOAT,12,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,450,375,15,0.000000,0.002488,0.005784,0.000562,0.000087,0.000025,0.006470,0.000046,0.000045,0.114410,0.027313,0.027312,0.010785,0.000001,0.161619,0.000096,0.093382,0.019139,0.001323,0.000406,0.000161,0.000000,0.021642,0.004615,0.000794,0.000233,0.161655,0.161752,0.161815,0.161815,1.519356,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.112702,0.877675,,0.112702,,0.112702,0.998826,,,,,,,,,,,,,,,,,,,,,0.112702,0.877675,0.998826,,,,
