Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,12,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,192,144,15,0.000000,0.000027,0.000017,0.000010,0.000012,0.000009,0.000048,0.000016,0.000015,0.000446,0.000175,0.000174,0.000035,0.000000,0.000759,0.000008,0.000211,0.000086,0.000059,0.000041,0.000041,0.000000,0.000058,0.000028,0.000045,0.000040,0.000774,0.000782,0.000788,0.000788,0.009904,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.824586,1.057515,0.824586,,0.824586,,1.120778,,,,,,,,,,,,,,,,,,,,,0.824586,1.057515,1.120778,,,,
0,tsukubaSetHalfSize,FLOAT,12,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,192,144,15,0.000000,0.000033,0.000018,0.000011,0.000014,0.000009,0.000051,0.000017,0.000017,0.001276,0.000183,0.000183,0.000037,0.000000,0.001619,0.000009,0.000833,0.000226,0.000090,0.000058,0.000055,0.000000,0.000060,0.000030,0.000051,0.000041,0.001635,0.001668,0.001674,0.001674,0.009904,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.817594,1.104387,0.817594,,,0.817594,1.058346,,,,,,,,,,,,,,,,,,,,,0.817594,1.104387,1.058346,,,,
1,tsukubaSet,FLOAT,12,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,384,288,15,0.000000,0.000237,0.000150,0.000030,0.000011,0.000019,0.000209,0.000043,0.000043,0.005365,0.002212,0.002210,0.000635,0.000000,0.008674,0.000090,0.004449,0.000548,0.000178,0.000073,0.000059,0.000000,0.001480,0.000501,0.000118,0.000084,0.008708,0.008797,0.008846,0.008846,0.096334,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247782,1.238805,0.247782,,0.247782,,0.974497,,,,,,,,,,,,,,,,,,,,,0.247782,1.238805,0.974497,,,,
1,tsukubaSet,FLOAT,12,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,384,288,15,0.000001,0.000248,0.000148,0.000031,0.000011,0.000015,0.000207,0.000036,0.000035,0.007374,0.002213,0.002212,0.000716,0.000001,0.010853,0.000088,0.005970,0.000980,0.000262,0.000085,0.000064,0.000000,0.001525,0.000482,0.000125,0.000073,0.010888,0.010976,0.011031,0.011031,0.096334,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.306471,1.266210,0.306471,,,0.306471,0.975768,,,,,,,,,,,,,,,,,,,,,0.306471,1.266210,0.975768,,,,
2,venus,FLOAT,12,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,434,383,15,0.000001,0.000523,0.000196,0.000055,0.000017,0.000010,0.000278,0.000019,0.000019,0.030268,0.007165,0.007164,0.003630,0.000001,0.041853,0.000114,0.028483,0.001230,0.000314,0.000120,0.000072,0.000000,0.006118,0.000783,0.000194,0.000073,0.041893,0.042010,0.042081,0.042081,0.402974,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089591,1.088311,0.089591,,0.089591,,1.018798,,,,,,,,,,,,,,,,,,,,,0.089591,1.088311,1.018798,,,,
2,venus,FLOAT,12,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,434,383,15,0.000000,0.000531,0.000206,0.000056,0.000017,0.000010,0.000289,0.000019,0.000018,0.030609,0.007192,0.007191,0.003620,0.000001,0.042220,0.000116,0.028186,0.001690,0.000439,0.000155,0.000088,0.000000,0.006129,0.000787,0.000202,0.000074,0.042261,0.042378,0.042441,0.042441,0.402974,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131930,1.086035,0.131930,,,0.131930,0.996125,,,,,,,,,,,,,,,,,,,,,0.131930,1.086035,0.996125,,,,
3,barn1,FLOAT,12,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,432,381,15,0.000000,0.000848,0.000467,0.000121,0.000026,0.000013,0.000631,0.000028,0.000027,0.046569,0.012069,0.012067,0.005444,0.000001,0.065666,0.000098,0.043159,0.002529,0.000553,0.000201,0.000100,0.000000,0.010063,0.001499,0.000359,0.000127,0.065703,0.065801,0.065856,0.065856,0.709482,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087129,0.901481,,,0.087129,,1.000373,,,,,,,,,,,,,,,,,,,,,0.087129,0.901481,1.000373,,,,
3,barn1,FLOAT,12,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,432,381,15,0.000001,0.000840,0.000499,0.000125,0.000027,0.000014,0.000669,0.000028,0.000028,0.047209,0.012101,0.012100,0.005371,0.000001,0.066345,0.000098,0.043167,0.002963,0.000692,0.000230,0.000104,0.000000,0.010102,0.001493,0.000377,0.000129,0.066382,0.066481,0.066544,0.066544,0.709482,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100890,0.893216,,,,0.100890,1.002449,,,,,,,,,,,,,,,,,,,,,0.100890,0.893216,1.002449,,,,
4,conesQuarterSize,FLOAT,12,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,450,375,15,0.000000,0.002668,0.005967,0.000582,0.000089,0.000025,0.006680,0.000044,0.000043,0.115797,0.027797,0.027796,0.011049,0.000001,0.164276,0.000097,0.095073,0.019341,0.000956,0.000298,0.000130,0.000000,0.022022,0.004695,0.000802,0.000227,0.164317,0.164414,0.164475,0.164475,1.526271,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101494,0.866609,,0.101494,0.101494,,1.003723,,,,,,,,,,,,,,,,,,,,,0.101494,0.866609,1.003723,,,,
4,conesQuarterSize,FLOAT,12,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,450,375,15,0.000000,0.002507,0.005903,0.000570,0.000089,0.000026,0.006588,0.000044,0.000043,0.116728,0.027816,0.027814,0.010922,0.000001,0.164672,0.000101,0.095426,0.019461,0.001286,0.000405,0.000157,0.000000,0.022103,0.004686,0.000805,0.000225,0.164712,0.164807,0.164862,0.164862,1.526271,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110615,0.873698,,0.110615,,0.110615,0.998788,,,,,,,,,,,,,,,,,,,,,0.110615,0.873698,0.998788,,,,
