Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,12,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,192,144,15,0.000000,0.000027,0.000017,0.000010,0.000012,0.000008,0.000048,0.000016,0.000015,0.000432,0.000174,0.000173,0.000034,0.000000,0.000730,0.000008,0.000212,0.000081,0.000056,0.000039,0.000040,0.000000,0.000058,0.000027,0.000046,0.000042,0.000747,0.000755,0.000761,0.000761,0.009735,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.948390,1.075855,0.948390,,0.948390,,1.244878,,,,,,,,,,,,,,,,,,,,,,,,0.948390,1.075855,1.244878,,,,
0,tsukubaSetHalfSize,FLOAT,12,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,192,144,15,0.000000,0.000031,0.000017,0.000011,0.000015,0.000008,0.000052,0.000016,0.000016,0.001154,0.000181,0.000180,0.000036,0.000000,0.001477,0.000009,0.000731,0.000216,0.000088,0.000056,0.000054,0.000000,0.000057,0.000030,0.000050,0.000041,0.001492,0.001500,0.001506,0.001506,0.009735,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.852665,1.123541,0.852665,,,0.852665,0.993089,,,,,,,,,,,,,,,,,,,,,,,,0.852665,1.123541,0.993089,,,,
1,tsukubaSet,FLOAT,12,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,384,288,15,0.000001,0.000231,0.000151,0.000032,0.000011,0.000020,0.000215,0.000041,0.000041,0.004986,0.002289,0.002288,0.000589,0.000000,0.008341,0.000090,0.004101,0.000558,0.000175,0.000075,0.000060,0.000000,0.001561,0.000510,0.000126,0.000092,0.008375,0.008473,0.008516,0.008516,0.095938,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.242178,1.243912,0.242178,,0.242178,,0.916920,,,,,,,,,,,,,,,,,,,,,,,,0.242178,1.243912,0.916920,,,,
1,tsukubaSet,FLOAT,12,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,384,288,15,0.000000,0.000239,0.000147,0.000031,0.000012,0.000019,0.000210,0.000042,0.000042,0.007663,0.002250,0.002249,0.000742,0.000001,0.011194,0.000088,0.006151,0.001040,0.000298,0.000098,0.000078,0.000000,0.001549,0.000487,0.000135,0.000083,0.011230,0.011320,0.011369,0.011369,0.095938,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.293799,1.271429,0.293799,,,0.293799,0.964105,,,,,,,,,,,,,,,,,,,,,,,,0.293799,1.271429,0.964105,,,,
2,venus,FLOAT,12,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,434,383,15,0.000001,0.000546,0.000202,0.000055,0.000017,0.000011,0.000288,0.000020,0.000019,0.029932,0.006863,0.006862,0.003585,0.000001,0.041232,0.000113,0.028001,0.001347,0.000349,0.000137,0.000080,0.000000,0.005790,0.000759,0.000219,0.000077,0.041270,0.041383,0.041464,0.041464,0.395901,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090681,1.107754,0.090681,,0.090681,,1.016074,,,,,,,,,,,,,,,,,,,,,,,,0.090681,1.107754,1.016074,,,,
2,venus,FLOAT,12,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,434,383,15,0.000000,0.000495,0.000205,0.000056,0.000017,0.000011,0.000291,0.000019,0.000019,0.030343,0.006952,0.006951,0.003576,0.000001,0.041667,0.000112,0.027924,0.001703,0.000452,0.000155,0.000084,0.000000,0.005911,0.000755,0.000196,0.000070,0.041703,0.041815,0.041893,0.041893,0.395901,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134088,1.105438,0.134088,,,0.134088,0.999368,,,,,,,,,,,,,,,,,,,,,,,,0.134088,1.105438,0.999368,,,,
3,barn1,FLOAT,12,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,432,381,15,0.000000,0.000780,0.000532,0.000127,0.000025,0.000013,0.000700,0.000027,0.000027,0.046412,0.011944,0.011942,0.005427,0.000001,0.065320,0.000097,0.042936,0.002541,0.000551,0.000195,0.000099,0.000000,0.009980,0.001477,0.000361,0.000127,0.065357,0.065453,0.065509,0.065509,0.716350,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087960,0.892839,,,0.087960,,1.004611,,,,,,,,,,,,,,,,,,,,,,,,0.087960,0.892839,1.004611,,,,
3,barn1,FLOAT,12,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,432,381,15,0.000001,0.000786,0.000481,0.000124,0.000026,0.000013,0.000650,0.000027,0.000027,0.047545,0.011911,0.011910,0.005368,0.000001,0.066362,0.000099,0.043339,0.003164,0.000700,0.000232,0.000104,0.000000,0.009940,0.001462,0.000364,0.000125,0.066399,0.066498,0.066554,0.066554,0.716350,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101112,0.884653,,,,0.101112,1.004808,,,,,,,,,,,,,,,,,,,,,,,,0.101112,0.884653,1.004808,,,,
4,conesQuarterSize,FLOAT,12,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,450,375,15,0.000000,0.002510,0.005797,0.000587,0.000085,0.000025,0.006500,0.000044,0.000043,0.114717,0.026613,0.026612,0.010841,0.000001,0.161348,0.000099,0.094149,0.019204,0.000938,0.000281,0.000121,0.000000,0.020970,0.004621,0.000795,0.000236,0.161388,0.161484,0.161543,0.161543,1.517762,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103052,0.871467,,0.103052,0.103052,,1.000960,,,,,,,,,,,,,,,,,,,,,,,,0.103052,0.871467,1.000960,,,,
4,conesQuarterSize,FLOAT,12,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,450,375,15,0.000000,0.002329,0.005682,0.000565,0.000086,0.000026,0.006370,0.000045,0.000044,0.115777,0.027106,0.027105,0.010821,0.000001,0.162423,0.000101,0.094822,0.018934,0.001372,0.000397,0.000146,0.000000,0.021423,0.004581,0.000855,0.000245,0.162459,0.162560,0.162615,0.162615,1.517762,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111552,0.878596,,0.111552,,0.111552,0.993522,,,,,,,,,,,,,,,,,,,,,,,,0.111552,0.878596,0.993522,,,,
