Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,192,16,8,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX256,192,144,15,0.000001,0.009578,0.019415,0.018424,0.018381,0.018289,0.075710,0.009319,0.009318,0.325340,0.072854,0.072851,0.027002,0.000001,0.517065,0.017936,0.065964,0.065479,0.064036,0.064725,0.062998,0.000000,0.018178,0.018007,0.018767,0.018535,0.517106,0.534983,0.534999,0.534999,0.011478,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.816646,0.912419,0.816646,,0.816646,,754.024595,,,,,,,,,,,,,,,,,,,,,,,,0.816646,0.912419,754.024595,,,,
0,tsukubaSetHalfSize,FLOAT,192,16,8,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX256,192,144,15,0.000001,0.000057,0.000111,0.000107,0.000107,0.000101,0.000436,0.000057,0.000056,0.002016,0.000551,0.000551,0.000179,0.000000,0.003282,0.000101,0.000534,0.000386,0.000365,0.000362,0.000367,0.000000,0.000141,0.000145,0.000128,0.000128,0.003297,0.003398,0.003404,0.003404,0.011478,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.226962,0.952860,1.226962,,,1.226962,3.230080,,,,,,,,,,,,,,,,,,,,,,,,1.226962,0.952860,3.230080,,,,
1,tsukubaSet,FLOAT,192,64,16,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX512,384,288,15,0.000000,0.000101,0.000138,0.000132,0.000130,0.000120,0.000531,0.000104,0.000104,0.002394,0.000681,0.000681,0.000194,0.000000,0.004005,0.000110,0.000701,0.000482,0.000395,0.000400,0.000416,0.000000,0.000198,0.000150,0.000158,0.000182,0.004021,0.004131,0.004149,0.004149,0.101174,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.162439,1.179545,1.162439,,1.162439,,2.144341,,,,,,,,,,,,,,,,,,,,,,,,1.162439,1.179545,2.144341,,,,
1,tsukubaSet,FLOAT,192,16,8,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX256,384,288,15,0.000001,0.008015,0.018785,0.018509,0.019000,0.017999,0.074460,0.008997,0.008996,0.326517,0.074612,0.074610,0.026818,0.000001,0.517998,0.018924,0.063515,0.064452,0.064675,0.067863,0.066333,0.000000,0.018520,0.018514,0.018362,0.018174,0.518031,0.535973,0.536019,0.536019,0.101174,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.036080,1.205638,1.036080,,,1.036080,160.299208,,,,,,,,,,,,,,,,,,,,,,,,1.036080,1.205638,160.299208,,,,
2,venus,FLOAT,192,64,16,YES,sockets,true,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX512,434,383,15,0.000001,0.010929,0.021813,0.020289,0.020044,0.019847,0.083274,0.010876,0.010875,0.358496,0.084935,0.084933,0.030336,0.000001,0.581546,0.020354,0.073283,0.071725,0.070423,0.072167,0.072626,0.000000,0.022140,0.020673,0.021790,0.021486,0.581593,0.600860,0.600906,0.600906,0.331150,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.103831,1.324359,1.103831,,1.103831,,179.246175,,,,,,,,,,,,,,,,,,,,,,,,1.103831,1.324359,179.246175,,,,
2,venus,FLOAT,192,64,16,YES,sockets,true,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX512,434,383,15,0.000001,0.009657,0.017982,0.019003,0.019488,0.018137,0.075833,0.009032,0.009030,0.320608,0.072472,0.072458,0.026761,0.000001,0.512996,0.018593,0.064092,0.065018,0.063409,0.063988,0.063836,0.000000,0.017975,0.019923,0.017991,0.019000,0.513032,0.531112,0.531160,0.531160,0.331150,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.405090,1.321590,1.405090,,,1.405090,132.776008,,,,,,,,,,,,,,,,,,,,,,,,1.405090,1.321590,132.776008,,,,
3,barn1,FLOAT,192,64,16,YES,sockets,true,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX512,432,381,15,0.000001,0.010584,0.020951,0.020663,0.020664,0.021228,0.083346,0.010218,0.010217,0.357502,0.084867,0.084866,0.030304,0.000001,0.580528,0.020732,0.072522,0.071079,0.070319,0.072468,0.072564,0.000000,0.020948,0.021622,0.021502,0.020796,0.580563,0.600791,0.600836,0.600836,0.542766,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.242901,1.178381,,,1.242901,,130.196673,,,,,,,,,,,,,,,,,,,,,,,,1.242901,1.178381,130.196673,,,,
3,barn1,FLOAT,192,64,16,YES,sockets,true,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX512,432,381,15,0.000001,0.008931,0.017970,0.017993,0.018367,0.018489,0.072968,0.009024,0.009023,0.318968,0.072825,0.072823,0.027623,0.000001,0.512999,0.017733,0.062591,0.063650,0.065015,0.062901,0.064985,0.000000,0.017514,0.018427,0.018276,0.019017,0.513034,0.529939,0.530006,0.530006,0.542766,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.338521,1.167577,,,,1.338521,105.927795,,,,,,,,,,,,,,,,,,,,,,,,1.338521,1.167577,105.927795,,,,
4,conesQuarterSize,FLOAT,192,16,8,YES,sockets,true,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX256,450,375,15,0.000001,0.010997,0.020898,0.021383,0.020001,0.021000,0.084365,0.011005,0.011004,0.367452,0.085712,0.085710,0.030887,0.000001,0.595516,0.019316,0.077084,0.074974,0.073350,0.070963,0.071875,0.000000,0.020479,0.022143,0.020490,0.020088,0.595550,0.614072,0.614125,0.614125,1.111062,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.743190,1.190465,,1.743190,1.743190,,64.368827,,,,,,,,,,,,,,,,,,,,,,,,1.743190,1.190465,64.368827,,,,
4,conesQuarterSize,FLOAT,192,64,16,YES,sockets,true,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX512,450,375,15,0.000001,0.009053,0.017962,0.018942,0.018460,0.018532,0.075492,0.009489,0.009488,0.325626,0.074975,0.074972,0.028884,0.000000,0.519821,0.018703,0.065783,0.065018,0.065545,0.065023,0.063981,0.000000,0.018336,0.018921,0.019002,0.018003,0.519869,0.538896,0.538950,0.538950,1.111062,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.921127,1.200203,,1.921127,,1.921127,56.707977,,,,,,,,,,,,,,,,,,,,,,,,1.921127,1.200203,56.707977,,,,
5,conesHalfSize,FLOAT,192,16,8,YES,sockets,true,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX256,900,750,7,0.000001,0.010496,0.021966,0.022323,0.019482,0.022040,0.084498,0.010344,0.010342,0.406617,0.090816,0.090813,0.034622,0.000001,0.636481,0.018361,0.097451,0.081235,0.073191,0.076236,0.072835,0.000000,0.026769,0.021326,0.020236,0.020659,0.636524,0.656396,0.656637,0.656637,9.722235,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.029433,1.050859,,4.029433,4.029433,,11.561561,,,,,,,,,,,,,,,,,,,,,,,,4.029433,1.050859,11.561561,,,,
5,conesHalfSize,FLOAT,192,64,16,YES,sockets,true,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX512,900,750,7,0.000001,0.012409,0.021182,0.019492,0.022149,0.022025,0.085074,0.010940,0.010939,0.395784,0.096624,0.096621,0.036121,0.000001,0.634085,0.019639,0.098009,0.079432,0.074730,0.072224,0.072103,0.000000,0.026920,0.024787,0.023529,0.020940,0.634130,0.655614,0.655888,0.655888,9.722235,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.123791,1.055015,,4.123791,,4.123791,11.681950,,,,,,,,,,,,,,,,,,,,,,,,4.123791,1.055015,11.681950,,,,
6,conesFullSizeCropped,FLOAT,192,64,16,YES,sockets,true,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX512,900,750,7,0.000001,0.010806,0.023405,0.018015,0.017732,0.018902,0.078187,0.010157,0.010156,0.384131,0.086493,0.086491,0.033709,0.000001,0.607999,0.017001,0.121798,0.073285,0.061829,0.067657,0.060990,0.000000,0.032376,0.018794,0.018172,0.017151,0.608045,0.627708,0.627991,0.627991,19.222697,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.253988,0.971721,,4.253988,4.253988,,5.683200,,,,,,,,,,,,,,,,,,,,,,,,4.253988,0.971721,5.683200,,,,
6,conesFullSizeCropped,FLOAT,192,64,16,YES,sockets,true,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX512,900,750,7,0.000001,0.010938,0.023517,0.019810,0.016909,0.017977,0.076174,0.009482,0.009481,0.385895,0.088120,0.088117,0.030865,0.000001,0.600279,0.018781,0.120386,0.072226,0.065037,0.062337,0.063966,0.000000,0.033276,0.020161,0.018090,0.017376,0.600327,0.622182,0.622453,0.622453,19.222697,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.269118,0.968147,,4.269118,,4.269118,5.606706,,,,,,,,,,,,,,,,,,,,,,,,4.269118,0.968147,5.606706,,,,
0,tsukubaSetHalfSize,DOUBLE,192,16,8,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX256,192,144,15,0.000001,0.009005,0.018996,0.017004,0.018251,0.018005,0.072655,0.009481,0.009480,0.317764,0.072788,0.072786,0.027985,0.000000,0.510994,0.018482,0.065193,0.063482,0.061989,0.063834,0.063146,0.000000,0.018000,0.018002,0.018520,0.017939,0.511037,0.531056,0.531063,0.531063,0.011478,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,0.876299,0.967356,0.876299,,0.876299,,647.279722,,,,,,,,,,,,,,0.876299,0.967356,647.279722,,,,
0,tsukubaSetHalfSize,DOUBLE,192,64,16,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX512,192,144,15,0.000000,0.000063,0.000124,0.000108,0.000106,0.000105,0.000452,0.000058,0.000058,0.002131,0.000521,0.000521,0.000172,0.000000,0.003394,0.000104,0.000582,0.000429,0.000374,0.000386,0.000360,0.000000,0.000136,0.000122,0.000143,0.000122,0.003409,0.003512,0.003520,0.003520,0.011478,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.053048,0.982672,1.053048,,,1.053048,1.834609,,,,,,,,,,,,,,1.053048,0.982672,1.834609,,,,
1,tsukubaSet,DOUBLE,192,16,8,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX256,384,288,15,0.000001,0.008757,0.016994,0.018310,0.018483,0.018262,0.072317,0.008594,0.008594,0.319461,0.074249,0.074247,0.026887,0.000001,0.514122,0.017919,0.064158,0.063552,0.067007,0.063427,0.063997,0.000000,0.019005,0.018295,0.018498,0.017525,0.514160,0.531955,0.531989,0.531989,0.101174,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,1.237859,1.205974,1.237859,,1.237859,,178.556073,,,,,,,,,,,,,,1.237859,1.205974,178.556073,,,,
1,tsukubaSet,DOUBLE,192,16,8,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,192,AVX256,384,288,15,0.000001,0.009665,0.018721,0.019058,0.018483,0.019005,0.076322,0.008490,0.008489,0.318268,0.074746,0.074743,0.027858,0.000001,0.517961,0.019849,0.063961,0.063032,0.064916,0.063005,0.063995,0.000000,0.018416,0.018977,0.018995,0.019300,0.518002,0.536961,0.537011,0.537011,0.101174,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,1.303435,1.213516,1.303435,,,1.303435,118.185330,,,,,,,,,,,,,,1.303435,1.213516,118.185330,,,,
