Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,192,16,8,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000035,0.000066,0.000070,0.000066,0.000057,0.000270,0.000040,0.000039,0.001162,0.000381,0.000381,0.000111,0.000000,0.002011,0.000058,0.000327,0.000242,0.000197,0.000190,0.000189,0.000000,0.000089,0.000093,0.000088,0.000108,0.002025,0.002084,0.002090,0.002090,0.011752,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.894773,0.891167,0.894773,,0.894773,,3.226708,,,,,,,,,,,,,,,,,,,,,,,,0.894773,0.891167,3.226708,,,,
0,tsukubaSetHalfSize,FLOAT,192,64,16,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,192,144,15,0.000000,0.000039,0.000063,0.000059,0.000058,0.000056,0.000238,0.000036,0.000035,0.001257,0.000355,0.000355,0.000105,0.000000,0.002044,0.000055,0.000385,0.000255,0.000198,0.000214,0.000192,0.000000,0.000092,0.000084,0.000087,0.000093,0.002064,0.002121,0.002128,0.002128,0.011752,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.426960,0.930667,1.426960,,,1.426960,2.348612,,,,,,,,,,,,,,,,,,,,,,,,1.426960,0.930667,2.348612,,,,
1,tsukubaSet,FLOAT,192,64,16,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000061,0.000096,0.000082,0.000086,0.000087,0.000351,0.000085,0.000085,0.001644,0.000523,0.000523,0.000135,0.000000,0.002817,0.000074,0.000464,0.000389,0.000268,0.000240,0.000295,0.000000,0.000169,0.000114,0.000096,0.000151,0.002831,0.002901,0.002923,0.002923,0.100670,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.031326,1.185452,1.031326,,1.031326,,1.340205,,,,,,,,,,,,,,,,,,,,,,,,1.031326,1.185452,1.340205,,,,
1,tsukubaSet,FLOAT,192,64,16,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000067,0.000112,0.000098,0.000100,0.000100,0.000409,0.000093,0.000093,0.002549,0.000601,0.000600,0.000160,0.000000,0.003869,0.000089,0.000824,0.000635,0.000406,0.000324,0.000356,0.000000,0.000194,0.000131,0.000100,0.000174,0.003883,0.003971,0.003994,0.003994,0.100670,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.179255,1.211677,1.179255,,,1.179255,1.359458,,,,,,,,,,,,,,,,,,,,,,,,1.179255,1.211677,1.359458,,,,
2,venus,FLOAT,192,16,8,YES,sockets,true,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000086,0.000105,0.000095,0.000094,0.000107,0.000401,0.000129,0.000129,0.002528,0.000584,0.000583,0.000180,0.000000,0.003910,0.000087,0.000995,0.000558,0.000414,0.000309,0.000249,0.000000,0.000199,0.000123,0.000108,0.000151,0.003924,0.004010,0.004041,0.004041,0.331597,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.112381,1.322571,1.112381,,1.112381,,1.214722,,,,,,,,,,,,,,,,,,,,,,,,1.112381,1.322571,1.214722,,,,
2,venus,FLOAT,192,16,8,YES,sockets,true,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000088,0.000105,0.000095,0.000095,0.000107,0.000412,0.000124,0.000124,0.002705,0.000586,0.000585,0.000176,0.000000,0.004093,0.000090,0.001084,0.000589,0.000432,0.000329,0.000259,0.000000,0.000189,0.000127,0.000104,0.000158,0.004108,0.004217,0.004249,0.004249,0.331597,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500152,1.319806,1.500152,,,1.500152,1.133996,,,,,,,,,,,,,,,,,,,,,,,,1.500152,1.319806,1.133996,,,,
3,barn1,FLOAT,192,64,16,YES,sockets,true,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,432,381,15,0.000000,0.000109,0.000117,0.000098,0.000105,0.000122,0.000447,0.000165,0.000164,0.003138,0.000935,0.000934,0.000179,0.000000,0.004970,0.000076,0.001205,0.000673,0.000463,0.000383,0.000410,0.000000,0.000320,0.000150,0.000182,0.000279,0.004985,0.005058,0.005094,0.005094,0.543675,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.254233,1.176411,,,1.254233,,1.113857,,,,,,,,,,,,,,,,,,,,,,,,1.254233,1.176411,1.113857,,,,
3,barn1,FLOAT,192,64,16,YES,sockets,true,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,432,381,15,0.000000,0.000113,0.000115,0.000098,0.000107,0.000120,0.000445,0.000150,0.000149,0.003418,0.000959,0.000959,0.000180,0.000000,0.005265,0.000076,0.001400,0.000728,0.000487,0.000392,0.000411,0.000000,0.000321,0.000144,0.000179,0.000285,0.005281,0.005365,0.005397,0.005397,0.543675,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.256884,1.165626,,,,1.256884,1.012822,,,,,,,,,,,,,,,,,,,,,,,,1.256884,1.165626,1.012822,,,,
4,conesQuarterSize,FLOAT,192,64,16,YES,sockets,true,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000000,0.000240,0.000182,0.000125,0.000141,0.000161,0.000611,0.000296,0.000296,0.005399,0.002030,0.002030,0.000215,0.000000,0.008821,0.000093,0.002399,0.001237,0.000637,0.000518,0.000586,0.000000,0.000818,0.000370,0.000256,0.000605,0.008839,0.008943,0.008979,0.008979,1.126639,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.806283,1.174005,,1.806283,1.806283,,0.975184,,,,,,,,,,,,,,,,,,,,,,,,1.806283,1.174005,0.975184,,,,
4,conesQuarterSize,FLOAT,192,64,16,YES,sockets,true,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,450,375,15,0.000000,0.000279,0.000167,0.000120,0.000137,0.000146,0.000575,0.000306,0.000306,0.005905,0.002115,0.002114,0.000197,0.000000,0.009368,0.000080,0.002986,0.001213,0.000640,0.000506,0.000571,0.000000,0.000928,0.000367,0.000268,0.000538,0.009385,0.009463,0.009501,0.009501,1.126639,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.901313,1.183609,,1.901313,,1.901313,0.989406,,,,,,,,,,,,,,,,,,,,,,,,1.901313,1.183609,0.989406,,,,
5,conesHalfSize,FLOAT,192,64,16,YES,sockets,true,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.001440,0.002022,0.000356,0.000126,0.000120,0.002615,0.000294,0.000293,0.043514,0.011471,0.011470,0.003770,0.000001,0.062998,0.000131,0.033809,0.005827,0.001816,0.000808,0.000732,0.000000,0.008770,0.001689,0.000692,0.000292,0.063037,0.063164,0.063384,0.063384,9.767986,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.554561,1.045937,,3.554561,3.554561,,0.984494,,,,,,,,,,,,,,,,,,,,,,,,3.554561,1.045937,0.984494,,,,
5,conesHalfSize,FLOAT,192,64,16,YES,sockets,true,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.001382,0.001940,0.000352,0.000117,0.000111,0.002526,0.000270,0.000270,0.043669,0.011445,0.011444,0.003143,0.000001,0.062480,0.000135,0.034380,0.005806,0.001879,0.000832,0.000726,0.000000,0.008812,0.001727,0.000694,0.000282,0.062517,0.062653,0.062877,0.062877,9.767986,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.565007,1.050073,,3.565007,,3.565007,0.968151,,,,,,,,,,,,,,,,,,,,,,,,3.565007,1.050073,0.968151,,,,
6,conesFullSizeCropped,FLOAT,192,64,16,YES,sockets,true,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.002472,0.004023,0.000945,0.000262,0.000207,0.005419,0.000498,0.000498,0.091062,0.023115,0.023113,0.006724,0.000001,0.129554,0.000133,0.068946,0.015811,0.003438,0.001414,0.001266,0.000000,0.017646,0.003560,0.001395,0.000553,0.129597,0.129727,0.129957,0.129957,19.311241,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.603491,0.967266,,3.603491,3.603491,,0.996243,,,,,,,,,,,,,,,,,,,,,,,,3.603491,0.967266,0.996243,,,,
6,conesFullSizeCropped,FLOAT,192,64,16,YES,sockets,true,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.002482,0.003938,0.000903,0.000252,0.000238,0.005369,0.000599,0.000598,0.088981,0.022545,0.022542,0.006308,0.000001,0.126326,0.000127,0.068261,0.014441,0.003524,0.001457,0.001298,0.000000,0.017216,0.003572,0.001365,0.000516,0.126366,0.126493,0.126735,0.126735,19.311241,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.649312,0.963708,,3.649312,,3.649312,0.975820,,,,,,,,,,,,,,,,,,,,,,,,3.649312,0.963708,0.975820,,,,
0,tsukubaSetHalfSize,DOUBLE,192,64,16,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,192,144,15,0.000000,0.000042,0.000081,0.000067,0.000058,0.000055,0.000262,0.000039,0.000038,0.001262,0.000357,0.000357,0.000121,0.000000,0.002094,0.000055,0.000371,0.000270,0.000205,0.000216,0.000189,0.000000,0.000099,0.000082,0.000091,0.000079,0.002109,0.002165,0.002171,0.002171,0.011752,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,0.964839,0.944826,0.964839,,0.964839,,2.913787,,,,,,,,,,,,,,0.964839,0.944826,2.913787,,,,
0,tsukubaSetHalfSize,DOUBLE,192,64,16,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,192,144,15,0.000000,0.000054,0.000078,0.000065,0.000056,0.000054,0.000255,0.000036,0.000036,0.001455,0.000333,0.000332,0.000110,0.000000,0.002259,0.000056,0.000527,0.000316,0.000211,0.000206,0.000187,0.000000,0.000104,0.000082,0.000071,0.000072,0.002274,0.002340,0.002345,0.002345,0.011752,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.581593,0.959785,1.581593,,,1.581593,1.835797,,,,,,,,,,,,,,1.581593,0.959785,1.835797,,,,
1,tsukubaSet,DOUBLE,192,64,16,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000074,0.000104,0.000083,0.000076,0.000071,0.000337,0.000063,0.000063,0.001938,0.000574,0.000573,0.000143,0.000000,0.003134,0.000067,0.000664,0.000493,0.000300,0.000225,0.000256,0.000000,0.000251,0.000135,0.000091,0.000095,0.003149,0.003216,0.003237,0.003237,0.100670,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,1.273591,1.212014,1.273591,,1.273591,,1.117840,,,,,,,,,,,,,,1.273591,1.212014,1.117840,,,,
1,tsukubaSet,DOUBLE,192,16,8,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,384,288,15,0.000000,0.000099,0.000144,0.000100,0.000098,0.000098,0.000442,0.000072,0.000072,0.003373,0.000670,0.000670,0.000181,0.000000,0.004839,0.000095,0.001383,0.000881,0.000463,0.000360,0.000287,0.000000,0.000291,0.000170,0.000106,0.000099,0.004855,0.004949,0.004972,0.004972,0.100670,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,1.286935,1.219594,1.286935,,,1.286935,1.080338,,,,,,,,,,,,,,1.286935,1.219594,1.080338,,,,
2,venus,DOUBLE,192,16,8,YES,sockets,true,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000120,0.000121,0.000099,0.000100,0.000106,0.000429,0.000081,0.000080,0.003732,0.000679,0.000679,0.000210,0.000000,0.005254,0.000097,0.001717,0.000823,0.000493,0.000382,0.000303,0.000000,0.000301,0.000151,0.000112,0.000117,0.005267,0.005363,0.005398,0.005398,0.331597,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,1.186696,1.311989,1.186696,,1.186696,,1.065332,,,,,,,,,,,,,,1.186696,1.311989,1.065332,,,,
