Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,176,64,16,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,192,144,15,0.000000,0.010000,0.021995,0.021000,0.023000,0.020994,0.089996,0.010996,0.010995,0.386002,0.089999,0.089996,0.033997,0.000000,0.614998,0.021949,0.077000,0.078001,0.074997,0.075001,0.076005,0.000000,0.023000,0.021002,0.021999,0.021999,0.615027,0.637983,0.637989,0.637989,0.010781,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.888669,0.971449,0.888669,,0.888669,,978.481447,,,,,,,,,,,,,,,,,,,,,,,,0.888669,0.971449,978.481447,,,,
0,tsukubaSetHalfSize,FLOAT,176,64,16,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,192,144,15,0.000000,0.000047,0.000081,0.000084,0.000084,0.000075,0.000327,0.000041,0.000041,0.001386,0.000413,0.000412,0.000117,0.000000,0.002330,0.000075,0.000325,0.000264,0.000257,0.000281,0.000256,0.000000,0.000096,0.000096,0.000122,0.000100,0.002343,0.002420,0.002426,0.002426,0.010781,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.493915,1.014506,1.493915,,,1.493915,2.802502,,,,,,,,,,,,,,,,,,,,,,,,1.493915,1.014506,2.802502,,,,
1,tsukubaSet,FLOAT,176,64,16,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,384,288,15,0.000000,0.000089,0.000090,0.000088,0.000103,0.000084,0.000370,0.000074,0.000074,0.001679,0.000615,0.000615,0.000131,0.000000,0.002951,0.000079,0.000488,0.000350,0.000276,0.000260,0.000305,0.000000,0.000197,0.000135,0.000121,0.000162,0.002965,0.003052,0.003070,0.003070,0.088048,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.195102,1.355389,1.195102,,1.195102,,1.631072,,,,,,,,,,,,,,,,,,,,,,,,1.195102,1.355389,1.631072,,,,
1,tsukubaSet,FLOAT,176,16,8,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,384,288,15,0.000001,0.010031,0.022989,0.023003,0.022992,0.019997,0.089993,0.010994,0.010993,0.399049,0.093042,0.093040,0.033975,0.000000,0.640001,0.021933,0.081021,0.078996,0.080994,0.083007,0.079000,0.000000,0.023006,0.021002,0.023004,0.024998,0.640031,0.662949,0.662976,0.662976,0.088048,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.264181,1.385373,1.264181,,,1.264181,241.916441,,,,,,,,,,,,,,,,,,,,,,,,1.264181,1.385373,241.916441,,,,
2,venus,FLOAT,176,16,8,YES,sockets,true,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,434,383,15,0.000000,0.011016,0.021972,0.021989,0.021003,0.022001,0.089975,0.013000,0.012997,0.406035,0.091014,0.091012,0.033922,0.000000,0.644000,0.022921,0.082026,0.080004,0.081999,0.079985,0.081002,0.000000,0.021002,0.024000,0.023002,0.022006,0.644030,0.666952,0.666991,0.666991,0.303760,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.205780,1.443773,1.205780,,1.205780,,217.334669,,,,,,,,,,,,,,,,,,,,,,,,1.205780,1.443773,217.334669,,,,
2,venus,FLOAT,176,16,8,YES,sockets,true,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,434,383,15,0.000001,0.012023,0.024984,0.024997,0.023997,0.024002,0.096985,0.013000,0.012999,0.423053,0.096008,0.096006,0.035940,0.000001,0.681998,0.025912,0.085038,0.089005,0.085993,0.083974,0.083001,0.000000,0.024003,0.024994,0.023997,0.024005,0.682030,0.707951,0.707993,0.707993,0.303760,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.531288,1.440754,1.531288,,,1.531288,192.875040,,,,,,,,,,,,,,,,,,,,,,,,1.531288,1.440754,192.875040,,,,
3,barn1,FLOAT,176,16,8,YES,sockets,true,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,432,381,15,0.000000,0.012036,0.023997,0.022997,0.023999,0.021999,0.092956,0.012008,0.012008,0.410091,0.090015,0.090012,0.033926,0.000001,0.651996,0.022921,0.083089,0.082012,0.081993,0.083006,0.079001,0.000000,0.024007,0.023012,0.024000,0.021982,0.652029,0.674950,0.674987,0.674987,0.499144,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.308748,1.281365,,,1.308748,,154.013642,,,,,,,,,,,,,,,,,,,,,,,,1.308748,1.281365,154.013642,,,,
3,barn1,FLOAT,176,16,8,YES,sockets,true,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,432,381,15,0.000001,0.011039,0.023961,0.025988,0.024995,0.023999,0.098966,0.013007,0.013006,0.431003,0.097041,0.097038,0.035912,0.000001,0.685997,0.025917,0.087041,0.087010,0.084004,0.088991,0.086998,0.000000,0.025005,0.024000,0.024013,0.024050,0.686028,0.711746,0.711786,0.711786,0.499144,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.457679,1.269617,,,,1.457679,154.922894,,,,,,,,,,,,,,,,,,,,,,,,1.457679,1.269617,154.922894,,,,
4,conesQuarterSize,FLOAT,176,64,16,YES,sockets,true,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,450,375,15,0.000001,0.013055,0.023957,0.023992,0.025973,0.023999,0.097908,0.013021,0.013019,0.429995,0.096229,0.096226,0.036841,0.000001,0.684999,0.024907,0.088035,0.083993,0.087997,0.082983,0.089001,0.000000,0.024038,0.026027,0.023013,0.022999,0.685031,0.705664,0.705706,0.705706,1.020312,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.325338,1.296349,,2.325338,2.325338,,98.669641,,,,,,,,,,,,,,,,,,,,,,,,2.325338,1.296349,98.669641,,,,
4,conesQuarterSize,FLOAT,176,64,16,YES,sockets,true,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,450,375,15,0.000001,0.012045,0.025959,0.024991,0.024992,0.026999,0.101943,0.013002,0.013001,0.433014,0.097099,0.097097,0.037856,0.000000,0.692007,0.023912,0.087079,0.087979,0.087956,0.084984,0.085004,0.000000,0.024064,0.023018,0.025024,0.024010,0.692037,0.716017,0.716062,0.716062,1.020312,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.400583,1.306953,,2.400583,,2.400583,94.147198,,,,,,,,,,,,,,,,,,,,,,,,2.400583,1.306953,94.147198,,,,
