Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,176,64,16,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX512,192,144,15,0.000000,0.000039,0.000049,0.000047,0.000045,0.000043,0.000185,0.000033,0.000032,0.000803,0.000293,0.000292,0.000069,0.000000,0.001427,0.000043,0.000182,0.000155,0.000142,0.000172,0.000149,0.000000,0.000068,0.000060,0.000069,0.000094,0.001440,0.001483,0.001489,0.001489,0.010654,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.883249,0.983065,0.883249,,0.883249,,2.269976,,,,,,,,,,,,,,,,,,,,,,,,0.883249,0.983065,2.269976,,,,
0,tsukubaSetHalfSize,FLOAT,176,64,16,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX512,192,144,15,0.000000,0.000038,0.000046,0.000046,0.000044,0.000042,0.000179,0.000031,0.000030,0.000869,0.000279,0.000279,0.000069,0.000000,0.001470,0.000043,0.000253,0.000168,0.000143,0.000160,0.000143,0.000000,0.000071,0.000058,0.000061,0.000087,0.001483,0.001526,0.001532,0.001532,0.010654,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.149450,1.026638,1.149450,,,1.149450,1.362117,,,,,,,,,,,,,,,,,,,,,,,,1.149450,1.026638,1.362117,,,,
1,tsukubaSet,FLOAT,176,64,16,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX512,384,288,15,0.000000,0.000108,0.000072,0.000061,0.000071,0.000061,0.000267,0.000092,0.000092,0.001313,0.000542,0.000541,0.000095,0.000000,0.002410,0.000051,0.000409,0.000304,0.000208,0.000175,0.000209,0.000000,0.000211,0.000109,0.000102,0.000121,0.002426,0.002477,0.002497,0.002497,0.087734,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.379453,1.360239,1.379453,,1.379453,,1.531516,,,,,,,,,,,,,,,,,,,,,,,,1.379453,1.360239,1.531516,,,,
1,tsukubaSet,FLOAT,176,16,8,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX256,384,288,15,0.000000,0.000069,0.000075,0.000058,0.000072,0.000060,0.000264,0.000078,0.000077,0.001625,0.000523,0.000521,0.000096,0.000000,0.002651,0.000049,0.000729,0.000351,0.000211,0.000173,0.000150,0.000000,0.000185,0.000111,0.000109,0.000115,0.002665,0.002717,0.002736,0.002736,0.087734,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.302117,1.390330,1.302117,,,1.302117,1.028497,,,,,,,,,,,,,,,,,,,,,,,,1.302117,1.390330,1.028497,,,,
2,venus,FLOAT,176,16,8,YES,sockets,true,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX256,434,383,15,0.000000,0.000120,0.000078,0.000062,0.000068,0.000074,0.000280,0.000138,0.000137,0.001901,0.000563,0.000562,0.000116,0.000000,0.003122,0.000054,0.000884,0.000427,0.000238,0.000194,0.000160,0.000000,0.000200,0.000102,0.000106,0.000149,0.003138,0.003191,0.003224,0.003224,0.306251,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.194579,1.432033,1.194579,,1.194579,,1.040655,,,,,,,,,,,,,,,,,,,,,,,,1.194579,1.432033,1.040655,,,,
2,venus,FLOAT,176,16,8,YES,sockets,true,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX256,434,383,15,0.000000,0.000122,0.000079,0.000062,0.000066,0.000072,0.000280,0.000094,0.000094,0.002199,0.000550,0.000549,0.000118,0.000000,0.003372,0.000054,0.001050,0.000509,0.000275,0.000204,0.000164,0.000000,0.000204,0.000103,0.000105,0.000133,0.003385,0.003439,0.003471,0.003471,0.306251,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.648684,1.429039,1.648684,,,1.648684,1.018179,,,,,,,,,,,,,,,,,,,,,,,,1.648684,1.429039,1.018179,,,,
3,barn1,FLOAT,176,64,16,YES,sockets,true,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX512,432,381,15,0.000000,0.000117,0.000096,0.000068,0.000075,0.000090,0.000328,0.000149,0.000149,0.002488,0.000821,0.000821,0.000116,0.000000,0.004022,0.000049,0.001133,0.000549,0.000281,0.000227,0.000288,0.000000,0.000362,0.000120,0.000136,0.000197,0.004040,0.004087,0.004115,0.004115,0.497137,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.302164,1.286536,,,1.302164,,0.934135,,,,,,,,,,,,,,,,,,,,,,,,1.302164,1.286536,0.934135,,,,
3,barn1,FLOAT,176,64,16,YES,sockets,true,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX512,432,381,15,0.000000,0.000133,0.000086,0.000069,0.000072,0.000088,0.000317,0.000166,0.000166,0.002891,0.000888,0.000888,0.000127,0.000000,0.004512,0.000052,0.001443,0.000582,0.000308,0.000242,0.000318,0.000000,0.000409,0.000129,0.000166,0.000195,0.004525,0.004585,0.004615,0.004615,0.497137,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.501904,1.274741,,,,1.501904,1.034922,,,,,,,,,,,,,,,,,,,,,,,,1.501904,1.274741,1.034922,,,,
4,conesQuarterSize,FLOAT,176,64,16,YES,sockets,true,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX512,450,375,15,0.000000,0.000245,0.000126,0.000089,0.000105,0.000117,0.000438,0.000332,0.000332,0.004018,0.001865,0.001865,0.000153,0.000000,0.007094,0.000048,0.001958,0.000795,0.000430,0.000316,0.000503,0.000000,0.000871,0.000309,0.000249,0.000427,0.007109,0.007157,0.007191,0.007191,1.046497,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.361606,1.263911,,2.361606,2.361606,,1.021037,,,,,,,,,,,,,,,,,,,,,,,,2.361606,1.263911,1.021037,,,,
4,conesQuarterSize,FLOAT,176,64,16,YES,sockets,true,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,88,AVX512,450,375,15,0.000000,0.000234,0.000129,0.000092,0.000102,0.000117,0.000439,0.000356,0.000356,0.004766,0.001861,0.001860,0.000150,0.000000,0.007857,0.000048,0.002622,0.000907,0.000434,0.000320,0.000476,0.000000,0.000858,0.000311,0.000247,0.000433,0.007871,0.007919,0.007954,0.007954,1.046497,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.316662,1.274251,,2.316662,,2.316662,1.009214,,,,,,,,,,,,,,,,,,,,,,,,2.316662,1.274251,1.009214,,,,
