Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,30,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,192,144,15,0.000000,0.000029,0.000025,0.000021,0.000019,0.000015,0.000080,0.000019,0.000019,0.000439,0.000242,0.000240,0.000037,0.000000,0.000846,0.000017,0.000153,0.000102,0.000068,0.000055,0.000057,0.000000,0.000083,0.000051,0.000053,0.000051,0.000863,0.000881,0.000887,0.000887,0.020362,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.780439,0.514352,0.780439,,0.780439,,1.194942,,,,,,,,,,,,,,,,,,,,,0.780439,0.514352,1.194942,,,,
0,tsukubaSetHalfSize,FLOAT,30,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,192,144,15,0.000000,0.000026,0.000023,0.000020,0.000018,0.000015,0.000077,0.000020,0.000020,0.001011,0.000225,0.000224,0.000136,0.000000,0.001473,0.000016,0.000546,0.000209,0.000114,0.000073,0.000061,0.000000,0.000073,0.000052,0.000048,0.000050,0.001492,0.001507,0.001514,0.001514,0.020362,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.832321,0.537150,0.832321,,,0.832321,0.974696,,,,,,,,,,,,,,,,,,,,,0.832321,0.537150,0.974696,,,,
1,tsukubaSet,FLOAT,30,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,384,288,15,0.000000,0.000123,0.000049,0.000027,0.000028,0.000025,0.000128,0.000040,0.000040,0.001580,0.000766,0.000766,0.000176,0.000000,0.002850,0.000021,0.001032,0.000264,0.000122,0.000096,0.000065,0.000000,0.000438,0.000148,0.000091,0.000094,0.002868,0.002889,0.002916,0.002916,0.132974,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.850871,0.897460,0.850871,,0.850871,,1.102921,,,,,,,,,,,,,,,,,,,,,0.850871,0.897460,1.102921,,,,
1,tsukubaSet,FLOAT,30,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,384,288,15,0.000000,0.000604,0.001050,0.000979,0.000992,0.000998,0.004092,0.000549,0.000548,0.023155,0.004908,0.004907,0.001737,0.000000,0.035469,0.000904,0.007547,0.004602,0.004016,0.003500,0.003453,0.000000,0.001624,0.001188,0.001015,0.001028,0.035491,0.036372,0.036396,0.036396,0.132974,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.577677,0.917314,0.577677,,,0.577677,6.068777,,,,,,,,,,,,,,,,,,,,,0.577677,0.917314,6.068777,,,,
2,venus,FLOAT,30,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,DEFAULT,434,383,15,0.000000,0.000127,0.000120,0.000040,0.000031,0.000031,0.000229,0.000054,0.000054,0.014800,0.001105,0.001104,0.000463,0.000000,0.016783,0.000030,0.009913,0.003347,0.000985,0.000364,0.000181,0.000000,0.000611,0.000238,0.000127,0.000130,0.016803,0.016832,0.016871,0.016871,0.459369,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.186510,0.954703,0.186510,,0.186510,,0.850331,,,,,,,,,,,,,,,,,,,,,0.186510,0.954703,0.850331,,,,
2,venus,FLOAT,30,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,434,383,15,0.000000,0.000476,0.000673,0.000528,0.000459,0.000500,0.002196,0.000258,0.000258,0.018826,0.003273,0.003272,0.001145,0.000000,0.026375,0.000364,0.009263,0.003803,0.002428,0.001903,0.001573,0.000000,0.001351,0.000758,0.000606,0.000574,0.026402,0.026760,0.026806,0.026806,0.459369,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.558300,0.952707,0.558300,,,0.558300,2.662477,,,,,,,,,,,,,,,,,,,,,0.558300,0.952707,2.662477,,,,
3,barn1,FLOAT,30,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,432,381,15,0.000000,0.000216,0.000170,0.000049,0.000034,0.000035,0.000291,0.000075,0.000075,0.005391,0.001709,0.001708,0.000405,0.000000,0.008128,0.000034,0.003627,0.001094,0.000363,0.000198,0.000118,0.000000,0.000984,0.000373,0.000192,0.000152,0.008164,0.008198,0.008250,0.008250,0.728926,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.667832,0.877435,,,0.667832,,0.960541,,,,,,,,,,,,,,,,,,,,,0.667832,0.877435,0.960541,,,,
3,barn1,FLOAT,30,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,432,381,15,0.000000,0.000320,0.000206,0.000053,0.000035,0.000035,0.000331,0.000065,0.000065,0.010852,0.001749,0.001749,0.000531,0.000000,0.013948,0.000037,0.007714,0.002050,0.000657,0.000246,0.000135,0.000000,0.000984,0.000388,0.000214,0.000163,0.013998,0.014037,0.014089,0.014089,0.728926,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.486211,0.869390,,,,0.486211,1.022868,,,,,,,,,,,,,,,,,,,,,0.486211,0.869390,1.022868,,,,
4,conesQuarterSize,FLOAT,30,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,450,375,15,0.000000,0.000529,0.000597,0.000129,0.000047,0.000052,0.000830,0.000135,0.000134,0.015863,0.004608,0.004606,0.001359,0.000000,0.023323,0.000041,0.012269,0.002438,0.000687,0.000287,0.000166,0.000000,0.002970,0.001027,0.000381,0.000219,0.023359,0.023400,0.023451,0.023451,1.528199,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.703963,0.865516,,0.703963,0.703963,,0.992634,,,,,,,,,,,,,,,,,,,,,0.703963,0.865516,0.992634,,,,
4,conesQuarterSize,FLOAT,30,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,450,375,15,0.000000,0.000544,0.000626,0.000132,0.000049,0.000049,0.000860,0.000119,0.000119,0.018754,0.004579,0.004578,0.001320,0.000001,0.026254,0.000040,0.014337,0.003107,0.000846,0.000324,0.000180,0.000000,0.002972,0.001041,0.000360,0.000207,0.026293,0.026347,0.026399,0.026399,1.528199,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.696460,0.872596,,0.696460,,0.696460,1.006989,,,,,,,,,,,,,,,,,,,,,0.696460,0.872596,1.006989,,,,
