Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,192,144,15,0.000000,0.000015,0.000020,0.000019,0.000018,0.000019,0.000077,0.000010,0.000010,0.000450,0.000106,0.000106,0.000034,0.000000,0.000692,0.000019,0.000160,0.000091,0.000066,0.000062,0.000063,0.000000,0.000037,0.000027,0.000023,0.000019,0.000714,0.000732,0.000737,0.000737,0.026527,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.926885,0.394806,0.926885,,0.926885,,1.179182,,,,,,,,,,,,,,,,,,,,,0.926885,0.394806,1.179182,,,,
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,192,144,15,0.000000,0.000016,0.000022,0.000020,0.000020,0.000019,0.000082,0.000011,0.000011,0.000805,0.000111,0.000111,0.000036,0.000000,0.001067,0.000020,0.000391,0.000174,0.000090,0.000080,0.000072,0.000000,0.000037,0.000029,0.000023,0.000022,0.001089,0.001110,0.001115,0.001115,0.026527,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.314936,0.412305,1.314936,,,1.314936,1.133385,,,,,,,,,,,,,,,,,,,,,1.314936,0.412305,1.133385,,,,
1,tsukubaSet,FLOAT,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000058,0.000037,0.000024,0.000021,0.000020,0.000103,0.000016,0.000016,0.001491,0.000318,0.000318,0.000079,0.000000,0.002068,0.000021,0.000883,0.000301,0.000144,0.000081,0.000074,0.000000,0.000178,0.000062,0.000037,0.000037,0.002101,0.002122,0.002142,0.002142,0.232459,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.067239,0.513377,1.067239,,1.067239,,1.016276,,,,,,,,,,,,,,,,,,,,,1.067239,0.513377,1.016276,,,,
1,tsukubaSet,FLOAT,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000058,0.000036,0.000024,0.000021,0.000021,0.000102,0.000017,0.000017,0.003009,0.000302,0.000301,0.000073,0.000000,0.003564,0.000021,0.001915,0.000631,0.000253,0.000111,0.000095,0.000000,0.000165,0.000062,0.000036,0.000036,0.003596,0.003617,0.003637,0.003637,0.232459,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.951559,0.524734,0.951559,,,0.951559,0.998898,,,,,,,,,,,,,,,,,,,,,0.951559,0.524734,0.998898,,,,
2,venus,FLOAT,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000001,0.000092,0.000058,0.000034,0.000023,0.000022,0.000137,0.000026,0.000025,0.003924,0.000537,0.000536,0.000141,0.000000,0.004860,0.000035,0.002701,0.000703,0.000286,0.000123,0.000100,0.000000,0.000272,0.000144,0.000071,0.000050,0.004905,0.004939,0.004970,0.004970,0.607303,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.746033,0.722146,0.746033,,0.746033,,1.001911,,,,,,,,,,,,,,,,,,,,,0.746033,0.722146,1.001911,,,,
2,venus,FLOAT,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000091,0.000059,0.000034,0.000025,0.000023,0.000140,0.000025,0.000025,0.004693,0.000551,0.000551,0.000144,0.000000,0.005650,0.000036,0.003276,0.000831,0.000334,0.000139,0.000104,0.000000,0.000279,0.000144,0.000072,0.000049,0.005691,0.005727,0.005757,0.005757,0.607303,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.976290,0.720636,0.976290,,,0.976290,0.999952,,,,,,,,,,,,,,,,,,,,,0.976290,0.720636,0.999952,,,,
3,barn1,FLOAT,64,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000140,0.000105,0.000046,0.000032,0.000024,0.000209,0.000035,0.000035,0.006752,0.000930,0.000929,0.000570,0.000001,0.008657,0.000038,0.005040,0.001032,0.000401,0.000157,0.000113,0.000000,0.000557,0.000194,0.000101,0.000074,0.008704,0.008740,0.008775,0.008775,0.876146,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.652188,0.729998,,,0.652188,,0.997794,,,,,,,,,,,,,,,,,,,,,0.652188,0.729998,0.997794,,,,
3,barn1,FLOAT,64,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000141,0.000118,0.000046,0.000032,0.000024,0.000220,0.000034,0.000034,0.007553,0.000937,0.000936,0.000564,0.000001,0.009456,0.000037,0.005617,0.001166,0.000458,0.000172,0.000122,0.000000,0.000566,0.000192,0.000102,0.000074,0.009509,0.009546,0.009578,0.009578,0.876146,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.698457,0.723305,,,,0.698457,0.998847,,,,,,,,,,,,,,,,,,,,,0.698457,0.723305,0.998847,,,,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000308,0.000264,0.000089,0.000041,0.000030,0.000434,0.000056,0.000056,0.019166,0.003557,0.003556,0.001917,0.000001,0.025450,0.000034,0.015565,0.002312,0.000860,0.000257,0.000168,0.000000,0.002780,0.000477,0.000176,0.000117,0.025496,0.025530,0.025560,0.025560,1.932733,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651256,0.684357,,0.651256,0.651256,,1.000904,,,,,,,,,,,,,,,,,,,,,0.651256,0.684357,1.000904,,,,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000313,0.000311,0.000094,0.000041,0.000031,0.000489,0.000057,0.000056,0.019685,0.003529,0.003528,0.001884,0.000001,0.025973,0.000035,0.015861,0.002456,0.000908,0.000276,0.000175,0.000000,0.002753,0.000480,0.000175,0.000110,0.026019,0.026054,0.026084,0.026084,1.932733,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.699716,0.689956,,0.699716,,0.699716,0.999628,,,,,,,,,,,,,,,,,,,,,0.699716,0.689956,0.999628,,,,
