Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,192,144,15,0.000000,0.000009,0.000015,0.000013,0.000013,0.000013,0.000055,0.000007,0.000007,0.000302,0.000085,0.000084,0.000024,0.000000,0.000483,0.000012,0.000107,0.000060,0.000045,0.000045,0.000045,0.000000,0.000031,0.000022,0.000017,0.000015,0.000499,0.000512,0.000515,0.000515,0.016257,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.364398,0.644230,1.364398,,1.364398,,1.212041,,,,,,,,,,,,,,,,,,,,,1.364398,0.644230,1.212041,,,,
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,192,144,15,0.000000,0.000009,0.000015,0.000015,0.000014,0.000014,0.000058,0.000007,0.000007,0.000584,0.000090,0.000090,0.000024,0.000000,0.000772,0.000013,0.000290,0.000123,0.000063,0.000053,0.000048,0.000000,0.000033,0.000023,0.000019,0.000015,0.000788,0.000801,0.000804,0.000804,0.016257,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.768887,0.672784,1.768887,,,1.768887,1.099670,,,,,,,,,,,,,,,,,,,,,1.768887,0.672784,1.099670,,,,
1,tsukubaSet,FLOAT,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000035,0.000027,0.000017,0.000016,0.000014,0.000074,0.000010,0.000010,0.001089,0.000235,0.000235,0.000048,0.000000,0.001496,0.000015,0.000663,0.000222,0.000100,0.000053,0.000044,0.000000,0.000134,0.000047,0.000029,0.000024,0.001519,0.001534,0.001548,0.001548,0.155735,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.444002,0.766293,1.444002,,1.444002,,0.993483,,,,,,,,,,,,,,,,,,,,,1.444002,0.766293,0.993483,,,,
1,tsukubaSet,FLOAT,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000035,0.000026,0.000017,0.000016,0.000016,0.000075,0.000011,0.000011,0.002538,0.000243,0.000243,0.000047,0.000000,0.002947,0.000015,0.001674,0.000519,0.000207,0.000078,0.000058,0.000000,0.000134,0.000048,0.000031,0.000025,0.002970,0.002985,0.002999,0.002999,0.155735,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.147753,0.783245,1.147753,,,1.147753,0.993511,,,,,,,,,,,,,,,,,,,,,1.147753,0.783245,0.993511,,,,
2,venus,FLOAT,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000057,0.000041,0.000026,0.000018,0.000016,0.000101,0.000014,0.000014,0.003536,0.000403,0.000402,0.000099,0.000000,0.004218,0.000020,0.002483,0.000634,0.000245,0.000097,0.000071,0.000000,0.000213,0.000099,0.000049,0.000036,0.004251,0.004271,0.004290,0.004290,0.429320,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.866757,1.021526,0.866757,,0.866757,,1.004932,,,,,,,,,,,,,,,,,,,,,0.866757,1.021526,1.004932,,,,
2,venus,FLOAT,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000056,0.000039,0.000025,0.000017,0.000016,0.000098,0.000013,0.000013,0.003959,0.000393,0.000393,0.000100,0.000000,0.004619,0.000021,0.002789,0.000712,0.000272,0.000101,0.000072,0.000000,0.000213,0.000094,0.000049,0.000035,0.004655,0.004675,0.004695,0.004695,0.429320,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.194410,1.019390,1.194410,,,1.194410,0.997565,,,,,,,,,,,,,,,,,,,,,1.194410,1.019390,0.997565,,,,
3,barn1,FLOAT,64,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000091,0.000095,0.000031,0.000020,0.000017,0.000163,0.000017,0.000017,0.005465,0.000759,0.000758,0.000270,0.000000,0.006777,0.000022,0.003920,0.000957,0.000358,0.000129,0.000086,0.000000,0.000476,0.000158,0.000070,0.000049,0.006814,0.006836,0.006856,0.006856,0.649061,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.837264,0.985401,,,0.837264,,1.000769,,,,,,,,,,,,,,,,,,,,,0.837264,0.985401,1.000769,,,,
3,barn1,FLOAT,64,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000088,0.000093,0.000030,0.000020,0.000016,0.000160,0.000016,0.000016,0.005901,0.000763,0.000762,0.000269,0.000000,0.007213,0.000020,0.004239,0.001040,0.000398,0.000132,0.000089,0.000000,0.000486,0.000160,0.000067,0.000051,0.007253,0.007273,0.007293,0.007293,0.649061,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.918114,0.976366,,,,0.918114,0.999763,,,,,,,,,,,,,,,,,,,,,0.918114,0.976366,0.999763,,,,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000229,0.000275,0.000072,0.000029,0.000020,0.000398,0.000036,0.000035,0.014277,0.002376,0.002375,0.001055,0.000001,0.018376,0.000020,0.010995,0.002085,0.000821,0.000227,0.000138,0.000000,0.001778,0.000374,0.000139,0.000080,0.018419,0.018440,0.018460,0.018460,1.618490,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.899458,0.817231,,0.899458,0.899458,,0.998334,,,,,,,,,,,,,,,,,,,,,0.899458,0.817231,0.998334,,,,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000222,0.000250,0.000071,0.000028,0.000020,0.000372,0.000036,0.000035,0.014891,0.002399,0.002398,0.001078,0.000001,0.018993,0.000020,0.011442,0.002215,0.000854,0.000232,0.000141,0.000000,0.001792,0.000380,0.000136,0.000079,0.019034,0.019058,0.019078,0.019078,1.618490,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.959843,0.823916,,0.959843,,0.959843,1.002955,,,,,,,,,,,,,,,,,,,,,0.959843,0.823916,1.002955,,,,
