Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,192,144,15,0.000000,0.000009,0.000015,0.000013,0.000013,0.000014,0.000054,0.000007,0.000007,0.000293,0.000086,0.000085,0.000023,0.000000,0.000477,0.000013,0.000101,0.000057,0.000048,0.000044,0.000043,0.000000,0.000031,0.000021,0.000017,0.000015,0.000492,0.000505,0.000508,0.000508,0.016112,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.371299,0.650038,1.371299,,1.371299,,1.202927,,,,,,,,,,,,,,,,,,,,,1.371299,0.650038,1.202927,,,,
0,tsukubaSetHalfSize,FLOAT,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,192,144,15,0.000000,0.000009,0.000015,0.000014,0.000014,0.000013,0.000055,0.000007,0.000007,0.000554,0.000084,0.000084,0.000023,0.000000,0.000732,0.000012,0.000282,0.000118,0.000058,0.000047,0.000043,0.000000,0.000030,0.000021,0.000017,0.000015,0.000748,0.000760,0.000764,0.000764,0.016112,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.804308,0.678849,1.804308,,,1.804308,1.065408,,,,,,,,,,,,,,,,,,,,,1.804308,0.678849,1.065408,,,,
1,tsukubaSet,FLOAT,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000035,0.000026,0.000017,0.000015,0.000014,0.000073,0.000010,0.000010,0.001070,0.000240,0.000240,0.000047,0.000000,0.001477,0.000014,0.000658,0.000217,0.000096,0.000051,0.000045,0.000000,0.000137,0.000050,0.000027,0.000025,0.001502,0.001516,0.001529,0.001529,0.154581,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.473641,0.772016,1.473641,,1.473641,,1.001828,,,,,,,,,,,,,,,,,,,,,1.473641,0.772016,1.001828,,,,
1,tsukubaSet,FLOAT,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000035,0.000026,0.000017,0.000015,0.000015,0.000072,0.000011,0.000011,0.002532,0.000234,0.000234,0.000048,0.000000,0.002933,0.000014,0.001681,0.000512,0.000202,0.000077,0.000057,0.000000,0.000135,0.000047,0.000027,0.000025,0.002957,0.002971,0.002984,0.002984,0.154581,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.165171,0.789094,1.165171,,,1.165171,1.003493,,,,,,,,,,,,,,,,,,,,,1.165171,0.789094,1.003493,,,,
2,venus,FLOAT,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000055,0.000039,0.000024,0.000017,0.000015,0.000095,0.000013,0.000013,0.003512,0.000388,0.000387,0.000098,0.000000,0.004165,0.000020,0.002470,0.000632,0.000240,0.000093,0.000065,0.000000,0.000208,0.000095,0.000048,0.000035,0.004201,0.004220,0.004240,0.004240,0.428370,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871349,1.023791,0.871349,,0.871349,,0.998414,,,,,,,,,,,,,,,,,,,,,0.871349,1.023791,0.998414,,,,
2,venus,FLOAT,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000055,0.000039,0.000024,0.000016,0.000016,0.000096,0.000013,0.000013,0.003946,0.000399,0.000399,0.000099,0.000000,0.004603,0.000020,0.002785,0.000708,0.000267,0.000102,0.000069,0.000000,0.000216,0.000095,0.000048,0.000036,0.004638,0.004658,0.004679,0.004679,0.428370,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.192056,1.021651,1.192056,,,1.192056,0.992343,,,,,,,,,,,,,,,,,,,,,1.192056,1.021651,0.992343,,,,
3,barn1,FLOAT,64,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000000,0.000088,0.000093,0.000031,0.000020,0.000017,0.000162,0.000017,0.000017,0.005483,0.000738,0.000737,0.000269,0.000001,0.006776,0.000022,0.003936,0.000963,0.000368,0.000127,0.000085,0.000000,0.000467,0.000152,0.000068,0.000050,0.006815,0.006836,0.006857,0.006857,0.646826,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.836495,0.988805,,,0.836495,,1.000008,,,,,,,,,,,,,,,,,,,,,0.836495,0.988805,1.000008,,,,
3,barn1,FLOAT,64,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0.000001,0.000088,0.000092,0.000030,0.000020,0.000017,0.000160,0.000017,0.000017,0.005909,0.000742,0.000741,0.000280,0.000000,0.007212,0.000022,0.004239,0.001042,0.000397,0.000136,0.000089,0.000000,0.000480,0.000153,0.000066,0.000050,0.007251,0.007274,0.007295,0.007295,0.646826,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.917943,0.979739,,,,0.917943,0.999822,,,,,,,,,,,,,,,,,,,,,0.917943,0.979739,0.999822,,,,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000224,0.000277,0.000070,0.000029,0.000021,0.000398,0.000036,0.000036,0.014305,0.002380,0.002379,0.001057,0.000001,0.018401,0.000021,0.011004,0.002110,0.000823,0.000227,0.000135,0.000000,0.001788,0.000369,0.000136,0.000077,0.018443,0.018464,0.018485,0.018485,1.618020,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.898936,0.817468,,0.898936,0.898936,,0.999132,,,,,,,,,,,,,,,,,,,,,0.898936,0.817468,0.999132,,,,
4,conesQuarterSize,FLOAT,64,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0.000000,0.000229,0.000273,0.000070,0.000029,0.000020,0.000402,0.000035,0.000035,0.014881,0.002369,0.002368,0.001041,0.000001,0.018961,0.000021,0.011439,0.002202,0.000857,0.000235,0.000140,0.000000,0.001779,0.000370,0.000134,0.000078,0.019004,0.019025,0.019045,0.019045,1.618020,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.958440,0.824155,,0.958440,,0.958440,0.999752,,,,,,,,,,,,,,,,,,,,,0.958440,0.824155,0.999752,,,,
