Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,192,144,15,0.000000,0.000011,0.000020,0.000019,0.000019,0.000019,0.000078,0.000009,0.000009,0.000364,0.000096,0.000096,0.000033,0.000000,0.000593,0.000018,0.000098,0.000072,0.000065,0.000063,0.000066,0.000000,0.000030,0.000024,0.000023,0.000019,0.000610,0.000630,0.000634,0.000634,0.013590,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.578824,0.770628,1.578824,,1.578824,,1.726696,,,,,,,,,,,,,,,,,,,,,1.578824,0.770628,1.726696,,,,
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,192,144,15,0.000000,0.000010,0.000020,0.000020,0.000019,0.000018,0.000077,0.000010,0.000010,0.000492,0.000101,0.000101,0.000034,0.000000,0.000729,0.000017,0.000193,0.000088,0.000068,0.000068,0.000059,0.000000,0.000030,0.000024,0.000024,0.000022,0.000743,0.000760,0.000764,0.000764,0.013590,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.065279,0.804785,2.065279,,,2.065279,1.220656,,,,,,,,,,,,,,,,,,,,,2.065279,0.804785,1.220656,,,,
1,tsukubaSet,FLOAT,96,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000023,0.000025,0.000021,0.000020,0.000022,0.000088,0.000011,0.000011,0.000734,0.000202,0.000202,0.000044,0.000000,0.001104,0.000017,0.000354,0.000155,0.000083,0.000071,0.000068,0.000000,0.000098,0.000043,0.000031,0.000031,0.001117,0.001134,0.001148,0.001148,0.120428,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.966701,0.990958,1.966701,,1.966701,,1.003518,,,,,,,,,,,,,,,,,,,,,1.966701,0.990958,1.003518,,,,
1,tsukubaSet,FLOAT,96,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000022,0.000026,0.000021,0.000020,0.000022,0.000089,0.000011,0.000011,0.001438,0.000199,0.000199,0.000043,0.000000,0.001804,0.000019,0.000846,0.000319,0.000127,0.000082,0.000062,0.000000,0.000095,0.000041,0.000030,0.000030,0.001817,0.001836,0.001848,0.001848,0.120428,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.865356,1.012880,1.865356,,,1.865356,0.995106,,,,,,,,,,,,,,,,,,,,,1.865356,1.012880,0.995106,,,,
2,venus,FLOAT,96,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000037,0.000034,0.000021,0.000021,0.000022,0.000097,0.000013,0.000013,0.002039,0.000211,0.000211,0.000058,0.000000,0.002461,0.000019,0.001346,0.000381,0.000146,0.000096,0.000073,0.000000,0.000099,0.000041,0.000036,0.000035,0.002477,0.002496,0.002515,0.002515,0.326818,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.472997,1.341911,1.472997,,1.472997,,1.001273,,,,,,,,,,,,,,,,,,,,,1.472997,1.341911,1.001273,,,,
2,venus,FLOAT,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000037,0.000033,0.000020,0.000020,0.000021,0.000095,0.000013,0.000013,0.002310,0.000211,0.000211,0.000059,0.000000,0.002732,0.000018,0.001541,0.000426,0.000161,0.000103,0.000079,0.000000,0.000100,0.000039,0.000034,0.000037,0.002748,0.002767,0.002787,0.002787,0.326818,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.016416,1.339105,2.016416,,,2.016416,0.999710,,,,,,,,,,,,,,,,,,,,,2.016416,1.339105,0.999710,,,,
3,barn1,FLOAT,96,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000057,0.000047,0.000023,0.000025,0.000023,0.000118,0.000016,0.000015,0.003022,0.000297,0.000297,0.000070,0.000000,0.003579,0.000019,0.002041,0.000567,0.000200,0.000124,0.000089,0.000000,0.000143,0.000055,0.000052,0.000047,0.003605,0.003624,0.003643,0.003643,0.497236,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.569025,1.286282,,,1.569025,,0.996590,,,,,,,,,,,,,,,,,,,,,1.569025,1.286282,0.996590,,,,
3,barn1,FLOAT,96,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000056,0.000047,0.000023,0.000025,0.000022,0.000118,0.000016,0.000016,0.003281,0.000297,0.000297,0.000070,0.000000,0.003843,0.000019,0.002226,0.000615,0.000216,0.000131,0.000092,0.000000,0.000145,0.000053,0.000052,0.000048,0.003864,0.003884,0.003904,0.003904,0.497236,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.714599,1.274488,,,,1.714599,0.999606,,,,,,,,,,,,,,,,,,,,,1.714599,1.274488,0.999606,,,,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000000,0.000108,0.000132,0.000059,0.000030,0.000024,0.000245,0.000030,0.000030,0.006903,0.001070,0.001069,0.000297,0.000000,0.008658,0.000021,0.004901,0.001242,0.000399,0.000212,0.000135,0.000000,0.000626,0.000246,0.000112,0.000086,0.008693,0.008715,0.008740,0.008740,1.220476,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.905576,1.083741,,1.905576,1.905576,,1.001387,,,,,,,,,,,,,,,,,,,,,1.905576,1.083741,1.001387,,,,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000000,0.000108,0.000129,0.000062,0.000030,0.000024,0.000247,0.000031,0.000031,0.007227,0.001092,0.001091,0.000287,0.000000,0.008991,0.000022,0.005155,0.001290,0.000410,0.000225,0.000137,0.000000,0.000644,0.000250,0.000111,0.000086,0.009026,0.009048,0.009070,0.009070,1.220476,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.019332,1.092606,,2.019332,,2.019332,1.003169,,,,,,,,,,,,,,,,,,,,,2.019332,1.092606,1.003169,,,,
