Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,176,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,192,144,15,0.000000,0.012002,0.021997,0.021999,0.020001,0.022999,0.085998,0.011000,0.010999,0.383997,0.089990,0.089986,0.032994,0.000000,0.612998,0.021947,0.075002,0.079001,0.072003,0.076996,0.079999,0.000000,0.021993,0.021996,0.022998,0.021996,0.613038,0.636961,0.636986,0.636986,0.010602,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.634768,0.987878,0.634768,,0.634768,,697.820223,,,,,,,,,,,,,,,,,,,,,,,,0.634768,0.987878,697.820223,,,,
0,tsukubaSetHalfSize,FLOAT,176,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,192,144,15,0.000001,0.012015,0.022001,0.022004,0.021961,0.023000,0.086996,0.011001,0.011000,0.392016,0.088993,0.088990,0.032993,0.000001,0.626996,0.022951,0.078008,0.079003,0.079005,0.078997,0.079002,0.000000,0.022003,0.020998,0.022000,0.022000,0.627034,0.648986,0.648993,0.648993,0.010602,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.069918,1.031663,1.069918,,,1.069918,537.009328,,,,,,,,,,,,,,,,,,,,,,,,1.069918,1.031663,537.009328,,,,
1,tsukubaSet,FLOAT,176,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,384,288,15,0.000000,0.011010,0.021998,0.023990,0.021998,0.022001,0.091983,0.010001,0.010000,0.384998,0.089015,0.089012,0.033973,0.000001,0.621998,0.022867,0.075010,0.078999,0.077002,0.077001,0.076003,0.000000,0.022012,0.023001,0.021994,0.022002,0.622047,0.644915,0.644979,0.644979,0.086356,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.140792,1.381940,1.140792,,1.140792,,327.112235,,,,,,,,,,,,,,,,,,,,,,,,1.140792,1.381940,327.112235,,,,
1,tsukubaSet,FLOAT,176,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,384,288,15,0.000001,0.012012,0.022992,0.022000,0.023994,0.022001,0.091005,0.013998,0.013997,0.396069,0.091019,0.091016,0.034955,0.000001,0.637000,0.021926,0.081011,0.079017,0.078999,0.077998,0.079000,0.000000,0.023023,0.022993,0.022996,0.022009,0.637044,0.660963,0.660991,0.660991,0.086356,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.195881,1.412511,1.195881,,,1.195881,228.161258,,,,,,,,,,,,,,,,,,,,,,,,1.195881,1.412511,228.161258,,,,
2,venus,FLOAT,176,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,434,383,15,0.000000,0.010995,0.022977,0.021002,0.021992,0.020956,0.082973,0.011000,0.010999,0.378045,0.086000,0.085998,0.031934,0.000001,0.587000,0.021880,0.075037,0.078007,0.072011,0.077000,0.076999,0.000000,0.019011,0.021998,0.021998,0.022002,0.587042,0.604921,0.604981,0.604981,0.306799,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.036403,1.429472,1.036403,,1.036403,,169.438129,,,,,,,,,,,,,,,,,,,,,,,,1.036403,1.429472,169.438129,,,,
2,venus,FLOAT,176,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,434,383,15,0.000001,0.008027,0.018981,0.017993,0.018999,0.019000,0.076962,0.010000,0.009998,0.332077,0.077015,0.077011,0.028919,0.000000,0.535994,0.019883,0.065032,0.066005,0.064010,0.066986,0.070999,0.000000,0.019000,0.018996,0.018000,0.019002,0.536040,0.556911,0.556966,0.556966,0.306799,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.410473,1.426483,1.410473,,,1.410473,139.760360,,,,,,,,,,,,,,,,,,,,,,,,1.410473,1.426483,139.760360,,,,
3,barn1,FLOAT,176,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,432,381,15,0.000000,0.013028,0.024015,0.022992,0.024998,0.021999,0.094008,0.011031,0.011029,0.405938,0.091057,0.091054,0.036903,0.000001,0.646998,0.023912,0.080055,0.078989,0.081986,0.081004,0.079997,0.000000,0.022050,0.022996,0.023012,0.023000,0.647030,0.673944,0.673980,0.673980,0.495891,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.160336,1.289769,,,1.160336,,136.344692,,,,,,,,,,,,,,,,,,,,,,,,1.160336,1.289769,136.344692,,,,
3,barn1,FLOAT,176,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,432,381,15,0.000001,0.009037,0.019974,0.020000,0.021002,0.019997,0.081959,0.008995,0.008994,0.365115,0.085008,0.085005,0.032905,0.000001,0.585999,0.021890,0.073031,0.073027,0.070086,0.073998,0.073995,0.000000,0.021001,0.020983,0.022005,0.021004,0.586037,0.604952,0.604990,0.604990,0.495891,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.219938,1.277943,,,,1.219938,110.202126,,,,,,,,,,,,,,,,,,,,,,,,1.219938,1.277943,110.202126,,,,
4,conesQuarterSize,FLOAT,176,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,450,375,15,0.000001,0.011072,0.023948,0.021971,0.021993,0.023996,0.090945,0.010998,0.010997,0.375077,0.086119,0.086116,0.030780,0.000001,0.602999,0.020899,0.071106,0.075994,0.076983,0.075992,0.077001,0.000000,0.022066,0.021033,0.022010,0.022004,0.603047,0.624902,0.624952,0.624952,1.023254,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.744094,1.292621,,1.744094,1.744094,,65.537535,,,,,,,,,,,,,,,,,,,,,,,,1.744094,1.292621,65.537535,,,,
4,conesQuarterSize,FLOAT,176,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,450,375,15,0.000001,0.012999,0.023937,0.022978,0.022993,0.023002,0.092930,0.012001,0.011999,0.403155,0.090064,0.090062,0.034702,0.000001,0.643995,0.022895,0.083144,0.080042,0.081004,0.080975,0.080963,0.000000,0.023966,0.023013,0.023007,0.022086,0.644032,0.670922,0.670975,0.670975,1.023254,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.709956,1.303196,,1.709956,,1.709956,62.839206,,,,,,,,,,,,,,,,,,,,,,,,1.709956,1.303196,62.839206,,,,
