Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000035,0.000047,0.000052,0.000047,0.000039,0.000186,0.000030,0.000029,0.000809,0.000323,0.000322,0.000076,0.000000,0.001464,0.000041,0.000224,0.000168,0.000140,0.000128,0.000132,0.000000,0.000089,0.000079,0.000082,0.000070,0.001481,0.001522,0.001528,0.001528,0.011410,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.112765,0.917895,1.112765,,1.112765,,2.935319,,,,,,,,,,,,,,,,,,,,,1.112765,0.917895,2.935319,,,,
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000034,0.000046,0.000046,0.000044,0.000038,0.000174,0.000029,0.000029,0.001108,0.000312,0.000311,0.000074,0.000000,0.001735,0.000038,0.000455,0.000228,0.000151,0.000135,0.000132,0.000000,0.000088,0.000074,0.000077,0.000066,0.001754,0.001795,0.001802,0.001802,0.011410,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.413237,0.958579,1.413237,,,1.413237,1.969504,,,,,,,,,,,,,,,,,,,,,1.413237,0.958579,1.969504,,,,
1,tsukubaSet,FLOAT,96,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,384,288,15,0.000000,0.000072,0.000077,0.000057,0.000061,0.000052,0.000245,0.000066,0.000066,0.001660,0.000686,0.000685,0.000172,0.000000,0.002890,0.000046,0.000750,0.000358,0.000228,0.000177,0.000142,0.000000,0.000294,0.000124,0.000124,0.000148,0.002908,0.002953,0.002985,0.002985,0.104755,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.852368,1.139223,0.852368,,0.852368,,1.131162,,,,,,,,,,,,,,,,,,,,,0.852368,1.139223,1.131162,,,,
1,tsukubaSet,FLOAT,96,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,384,288,15,0.000000,0.000083,0.000081,0.000056,0.000062,0.000051,0.000250,0.000058,0.000057,0.002230,0.000730,0.000728,0.000176,0.000000,0.003530,0.000044,0.001048,0.000554,0.000276,0.000186,0.000155,0.000000,0.000325,0.000140,0.000124,0.000139,0.003548,0.003594,0.003634,0.003634,0.104755,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.077539,1.164424,1.077539,,,1.077539,1.130234,,,,,,,,,,,,,,,,,,,,,1.077539,1.164424,1.130234,,,,
2,venus,FLOAT,96,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000134,0.000087,0.000050,0.000055,0.000063,0.000256,0.000088,0.000087,0.002861,0.000794,0.000793,0.000262,0.000000,0.004410,0.000045,0.001592,0.000581,0.000334,0.000205,0.000161,0.000000,0.000317,0.000145,0.000118,0.000205,0.004428,0.004473,0.004523,0.004523,0.383095,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.748310,1.144783,0.748310,,0.748310,,0.914556,,,,,,,,,,,,,,,,,,,,,0.748310,1.144783,0.914556,,,,
2,venus,FLOAT,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000140,0.000096,0.000052,0.000060,0.000064,0.000273,0.000104,0.000103,0.003211,0.000851,0.000850,0.000285,0.000000,0.004890,0.000047,0.001789,0.000648,0.000384,0.000206,0.000186,0.000000,0.000357,0.000152,0.000131,0.000211,0.004907,0.004954,0.005004,0.005004,0.383095,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.057280,1.142389,1.057280,,,1.057280,0.941241,,,,,,,,,,,,,,,,,,,,,1.057280,1.142389,0.941241,,,,
3,barn1,FLOAT,96,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,432,381,15,0.000000,0.000313,0.000190,0.000078,0.000083,0.000072,0.000437,0.000131,0.000130,0.003960,0.001503,0.001502,0.000333,0.000000,0.006652,0.000054,0.002207,0.000864,0.000460,0.000252,0.000177,0.000000,0.000723,0.000252,0.000217,0.000303,0.006674,0.006726,0.006790,0.006790,0.708348,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.678606,0.902924,,,0.678606,,0.803338,,,,,,,,,,,,,,,,,,,,,0.678606,0.902924,0.803338,,,,
3,barn1,FLOAT,96,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,432,381,15,0.000000,0.000347,0.000208,0.000077,0.000084,0.000072,0.000446,0.000135,0.000135,0.004323,0.001560,0.001558,0.000377,0.000000,0.007225,0.000057,0.002490,0.000907,0.000467,0.000287,0.000188,0.000000,0.000748,0.000261,0.000233,0.000292,0.007247,0.007304,0.007350,0.007350,0.708348,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.894718,0.894646,,,,0.894718,0.981988,,,,,,,,,,,,,,,,,,,,,0.894718,0.894646,0.981988,,,,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,DEFAULT,450,375,15,0.000000,0.000327,0.000378,0.000145,0.000127,0.000119,0.000791,0.000267,0.000267,0.026458,0.004205,0.004204,0.001219,0.000001,0.033274,0.000071,0.017856,0.004961,0.001804,0.001076,0.000740,0.000000,0.002391,0.000938,0.000361,0.000511,0.033317,0.033391,0.033451,0.033451,1.428642,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.495929,0.925830,,0.495929,0.495929,,0.997468,,,,,,,,,,,,,,,,,,,,,0.495929,0.925830,0.997468,,,,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,450,375,15,0.000000,0.000955,0.000670,0.000192,0.000142,0.000115,0.001124,0.000292,0.000291,0.013232,0.005509,0.005507,0.001030,0.000001,0.022181,0.000071,0.009056,0.002435,0.000935,0.000441,0.000257,0.000000,0.003108,0.001353,0.000493,0.000565,0.022224,0.022295,0.022439,0.022439,1.428642,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.518118,0.933404,,0.518118,,0.518118,0.636753,,,,,,,,,,,,,,,,,,,,,0.518118,0.933404,0.636753,,,,
