Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,120,16,8,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,120,AVX256,192,144,15,0.000000,0.010005,0.021993,0.021001,0.019998,0.021999,0.085991,0.009998,0.009998,0.380993,0.089005,0.089004,0.032998,0.000000,0.607996,0.022954,0.076003,0.075001,0.075000,0.074999,0.074000,0.000000,0.022001,0.022001,0.022000,0.021999,0.608018,0.624977,0.624991,0.624991,0.012045,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.759975,0.869473,0.759975,,0.759975,,819.732333,,,,,,,,,,,,,,,,,,,,,0.759975,0.869473,819.732333,,,,
0,tsukubaSetHalfSize,FLOAT,120,16,8,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,120,AVX256,192,144,15,0.000000,0.000052,0.000068,0.000064,0.000061,0.000054,0.000247,0.000039,0.000039,0.001399,0.000488,0.000487,0.000097,0.000000,0.002325,0.000055,0.000524,0.000299,0.000204,0.000186,0.000186,0.000000,0.000169,0.000115,0.000108,0.000095,0.002346,0.002402,0.002409,0.002409,0.012045,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054543,0.908011,1.054543,,,1.054543,1.964880,,,,,,,,,,,,,,,,,,,,,1.054543,0.908011,1.964880,,,,
1,tsukubaSet,FLOAT,120,16,8,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,120,AVX256,384,288,15,0.000000,0.012011,0.021960,0.021997,0.020999,0.020000,0.084971,0.013000,0.013000,0.372002,0.084078,0.084077,0.032980,0.000000,0.598998,0.021515,0.075014,0.071004,0.074999,0.074996,0.075000,0.000000,0.022008,0.022004,0.021993,0.021004,0.599022,0.620934,0.620990,0.620990,0.109184,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.945121,1.093011,0.945121,,0.945121,,260.925950,,,,,,,,,,,,,,,,,,,,,0.945121,1.093011,260.925950,,,,
1,tsukubaSet,FLOAT,120,16,8,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,120,AVX256,384,288,15,0.000000,0.011026,0.022976,0.021994,0.021999,0.021997,0.086972,0.011001,0.011000,0.367912,0.084997,0.084996,0.031923,0.000000,0.597998,0.021933,0.074049,0.074021,0.076005,0.077003,0.074984,0.000000,0.021991,0.022008,0.021998,0.019008,0.598019,0.617951,0.617982,0.617982,0.109184,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.136304,1.117190,1.136304,,,1.136304,202.688307,,,,,,,,,,,,,,,,,,,,,1.136304,1.117190,202.688307,,,,
2,venus,FLOAT,120,16,8,YES,sockets,true,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,120,AVX256,434,383,15,0.000000,0.012040,0.023971,0.022994,0.023999,0.023000,0.092952,0.012001,0.012001,0.405034,0.092061,0.092059,0.034939,0.000000,0.647997,0.022873,0.084062,0.081020,0.081015,0.082996,0.079003,0.000000,0.022019,0.023997,0.023000,0.024005,0.648015,0.674932,0.674980,0.674980,0.414774,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.030237,1.057351,1.030237,,1.030237,,187.918302,,,,,,,,,,,,,,,,,,,,,1.030237,1.057351,187.918302,,,,
2,venus,FLOAT,120,16,8,YES,sockets,true,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,120,AVX256,434,383,15,0.000000,0.011049,0.022978,0.023995,0.021999,0.021987,0.094959,0.012998,0.012998,0.410020,0.091011,0.091010,0.034898,0.000000,0.653000,0.023905,0.085047,0.080001,0.083016,0.081002,0.081999,0.000000,0.022003,0.022011,0.022000,0.023007,0.653019,0.677937,0.677994,0.677994,0.414774,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.370364,1.055140,1.370364,,,1.370364,165.292092,,,,,,,,,,,,,,,,,,,,,1.370364,1.055140,165.292092,,,,
3,barn1,FLOAT,120,16,8,YES,sockets,true,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,120,AVX256,432,381,15,0.000000,0.012074,0.021951,0.022991,0.021997,0.021001,0.088944,0.010041,0.010041,0.411010,0.094021,0.094020,0.033877,0.000000,0.646998,0.020921,0.083095,0.082021,0.081003,0.081992,0.079959,0.000000,0.024011,0.024000,0.023999,0.024001,0.647016,0.671938,0.671982,0.671982,0.775534,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.142502,0.824703,,,1.142502,,133.851204,,,,,,,,,,,,,,,,,,,,,1.142502,0.824703,133.851204,,,,
3,barn1,FLOAT,120,16,8,YES,sockets,true,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,120,AVX256,432,381,15,0.000000,0.011062,0.022947,0.021989,0.022999,0.020000,0.091940,0.011001,0.011000,0.399135,0.093009,0.093008,0.033888,0.000000,0.641999,0.020927,0.077077,0.082043,0.078006,0.077986,0.081999,0.000000,0.023991,0.021993,0.022010,0.022008,0.642020,0.667943,0.667989,0.667989,0.775534,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.170861,0.817141,,,,1.170861,116.782862,,,,,,,,,,,,,,,,,,,,,1.170861,0.817141,116.782862,,,,
4,conesQuarterSize,FLOAT,120,16,8,YES,sockets,true,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,120,AVX256,450,375,15,0.000000,0.012106,0.021875,0.021984,0.022994,0.023998,0.092847,0.010999,0.010999,0.399125,0.092105,0.092105,0.034806,0.000000,0.648002,0.021893,0.080052,0.080057,0.080004,0.081997,0.078982,0.000000,0.025034,0.024023,0.023016,0.022040,0.648024,0.668942,0.668992,0.668992,1.741203,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.668161,0.759636,,1.668161,1.668161,,67.101613,,,,,,,,,,,,,,,,,,,,,1.668161,0.759636,67.101613,,,,
4,conesQuarterSize,FLOAT,120,16,8,YES,sockets,true,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,120,AVX256,450,375,15,0.000000,0.011124,0.021931,0.021975,0.021997,0.021995,0.085855,0.010070,0.010070,0.402221,0.094161,0.094160,0.036673,0.000000,0.639003,0.022914,0.083138,0.079011,0.077982,0.079996,0.076996,0.000000,0.024044,0.023004,0.022998,0.023010,0.639021,0.661932,0.661983,0.661983,1.741203,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.571458,0.765850,,1.571458,,1.571458,56.975702,,,,,,,,,,,,,,,,,,,,,1.571458,0.765850,56.975702,,,,
