Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,120,16,8,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,192,144,15,0.000000,0.000046,0.000054,0.000046,0.000038,0.000032,0.000170,0.000031,0.000031,0.000853,0.000435,0.000435,0.000070,0.000000,0.001605,0.000034,0.000304,0.000204,0.000113,0.000100,0.000118,0.000000,0.000136,0.000111,0.000102,0.000084,0.001623,0.001658,0.001665,0.001665,0.012020,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.828497,0.871337,0.828497,,0.828497,,2.380302,,,,,,,,,,,,,,,,,,,,,0.828497,0.871337,2.380302,,,,
0,tsukubaSetHalfSize,FLOAT,120,16,8,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,192,144,15,0.000000,0.000033,0.000039,0.000037,0.000037,0.000032,0.000144,0.000027,0.000027,0.000891,0.000280,0.000280,0.000060,0.000000,0.001444,0.000032,0.000339,0.000193,0.000127,0.000113,0.000111,0.000000,0.000077,0.000063,0.000070,0.000072,0.001461,0.001493,0.001500,0.001500,0.012020,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.078731,0.909957,1.078731,,,1.078731,1.251775,,,,,,,,,,,,,,,,,,,,,1.078731,0.909957,1.251775,,,,
1,tsukubaSet,FLOAT,120,16,8,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,384,288,15,0.000000,0.000089,0.000067,0.000049,0.000050,0.000050,0.000217,0.000065,0.000065,0.001319,0.000664,0.000664,0.000128,0.000000,0.002490,0.000040,0.000549,0.000315,0.000177,0.000149,0.000121,0.000000,0.000312,0.000118,0.000094,0.000134,0.002506,0.002547,0.002578,0.002578,0.105905,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.926767,1.126849,0.926767,,0.926767,,1.062065,,,,,,,,,,,,,,,,,,,,,0.926767,1.126849,1.062065,,,,
1,tsukubaSet,FLOAT,120,16,8,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,384,288,15,0.000000,0.000071,0.000067,0.000045,0.000052,0.000051,0.000218,0.000082,0.000081,0.002031,0.000610,0.000609,0.000139,0.000000,0.003165,0.000039,0.001008,0.000461,0.000250,0.000169,0.000138,0.000000,0.000309,0.000109,0.000082,0.000103,0.003181,0.003222,0.003254,0.003254,0.105905,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.100543,1.151777,1.100543,,,1.100543,1.033592,,,,,,,,,,,,,,,,,,,,,1.100543,1.151777,1.033592,,,,
2,venus,FLOAT,120,16,8,YES,sockets,true,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,434,383,15,0.000000,0.000116,0.000105,0.000066,0.000054,0.000054,0.000281,0.000086,0.000086,0.002388,0.000697,0.000696,0.000203,0.000000,0.003781,0.000037,0.001272,0.000507,0.000295,0.000184,0.000135,0.000000,0.000353,0.000126,0.000104,0.000107,0.003797,0.003834,0.003876,0.003876,0.414314,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.001384,1.058524,1.001384,,1.001384,,1.048860,,,,,,,,,,,,,,,,,,,,,1.001384,1.058524,1.048860,,,,
2,venus,FLOAT,120,16,8,YES,sockets,true,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,434,383,15,0.000000,0.000113,0.000092,0.000056,0.000050,0.000050,0.000248,0.000074,0.000074,0.002779,0.000579,0.000579,0.000186,0.000000,0.004003,0.000034,0.001477,0.000658,0.000323,0.000184,0.000131,0.000000,0.000256,0.000116,0.000101,0.000109,0.004018,0.004052,0.004096,0.004096,0.414314,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.403060,1.056311,1.403060,,,1.403060,1.022397,,,,,,,,,,,,,,,,,,,,,1.403060,1.056311,1.022397,,,,
3,barn1,FLOAT,120,16,8,YES,sockets,true,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,432,381,15,0.000000,0.000154,0.000097,0.000070,0.000060,0.000060,0.000289,0.000094,0.000094,0.003157,0.000763,0.000763,0.000230,0.000000,0.004723,0.000034,0.001788,0.000703,0.000337,0.000183,0.000149,0.000000,0.000373,0.000139,0.000122,0.000126,0.004738,0.004771,0.004811,0.004811,0.779269,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.149230,0.820750,,,1.149230,,0.963860,,,,,,,,,,,,,,,,,,,,,1.149230,0.820750,0.963860,,,,
3,barn1,FLOAT,120,16,8,YES,sockets,true,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,432,381,15,0.000000,0.000150,0.000096,0.000072,0.000056,0.000066,0.000291,0.000084,0.000084,0.003752,0.000905,0.000904,0.000247,0.000000,0.005455,0.000033,0.002217,0.000827,0.000380,0.000185,0.000141,0.000000,0.000398,0.000159,0.000150,0.000199,0.005473,0.005506,0.005553,0.005553,0.779269,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.206661,0.813225,,,,1.206661,1.000422,,,,,,,,,,,,,,,,,,,,,1.206661,0.813225,1.000422,,,,
4,conesQuarterSize,FLOAT,120,16,8,YES,sockets,true,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,450,375,15,0.000000,0.000393,0.000180,0.000124,0.000103,0.000102,0.000511,0.000180,0.000179,0.006082,0.001911,0.001910,0.000390,0.000000,0.009473,0.000033,0.003628,0.001397,0.000554,0.000307,0.000196,0.000000,0.000977,0.000378,0.000252,0.000303,0.009489,0.009521,0.009574,0.009574,1.548286,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.742759,0.854287,,1.742759,1.742759,,1.003207,,,,,,,,,,,,,,,,,,,,,1.742759,0.854287,1.003207,,,,
4,conesQuarterSize,FLOAT,120,16,8,YES,sockets,true,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,450,375,15,0.000000,0.000364,0.000178,0.000130,0.000088,0.000093,0.000501,0.000196,0.000196,0.007318,0.001926,0.001926,0.000399,0.000000,0.010777,0.000032,0.004492,0.001674,0.000630,0.000315,0.000204,0.000000,0.000999,0.000398,0.000234,0.000309,0.010794,0.010826,0.010887,0.010887,1.548286,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.655246,0.861275,,1.655246,,1.655246,0.986957,,,,,,,,,,,,,,,,,,,,,1.655246,0.861275,0.986957,,,,
