Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000031,0.000048,0.000052,0.000048,0.000040,0.000188,0.000034,0.000034,0.000846,0.000361,0.000360,0.000078,0.000000,0.001544,0.000041,0.000241,0.000166,0.000145,0.000136,0.000145,0.000000,0.000084,0.000082,0.000098,0.000093,0.001570,0.001611,0.001619,0.001619,0.012760,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.955189,0.820795,0.955189,,0.955189,,2.668579,,,,,,,,,,,,,,,,,,,,,0.955189,0.820795,2.668579,,,,
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000033,0.000047,0.000052,0.000047,0.000040,0.000186,0.000034,0.000034,0.001161,0.000369,0.000368,0.000077,0.000000,0.001862,0.000039,0.000445,0.000247,0.000166,0.000149,0.000144,0.000000,0.000087,0.000083,0.000097,0.000093,0.001899,0.001941,0.001950,0.001950,0.012760,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.275515,0.857175,1.275515,,,1.275515,1.923508,,,,,,,,,,,,,,,,,,,,,1.275515,0.857175,1.923508,,,,
1,tsukubaSet,FLOAT,96,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,384,288,15,0.000000,0.000083,0.000087,0.000063,0.000071,0.000060,0.000283,0.000088,0.000087,0.001783,0.000835,0.000834,0.000150,0.000000,0.003194,0.000043,0.000746,0.000455,0.000258,0.000179,0.000148,0.000000,0.000342,0.000178,0.000153,0.000157,0.003214,0.003257,0.003303,0.003303,0.125665,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.872268,0.949660,0.872268,,0.872268,,1.281013,,,,,,,,,,,,,,,,,,,,,0.872268,0.949660,1.281013,,,,
1,tsukubaSet,FLOAT,96,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,384,288,15,0.000000,0.000073,0.000082,0.000060,0.000070,0.000058,0.000279,0.000083,0.000083,0.002354,0.000754,0.000754,0.000154,0.000000,0.003701,0.000042,0.001136,0.000556,0.000329,0.000185,0.000156,0.000000,0.000315,0.000154,0.000139,0.000153,0.003721,0.003762,0.003797,0.003797,0.125665,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.988547,0.970668,0.988547,,,0.988547,1.083380,,,,,,,,,,,,,,,,,,,,,0.988547,0.970668,1.083380,,,,
2,venus,FLOAT,96,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000121,0.000095,0.000055,0.000062,0.000078,0.000290,0.000125,0.000125,0.002914,0.000842,0.000841,0.000217,0.000000,0.004513,0.000047,0.001447,0.000625,0.000410,0.000254,0.000168,0.000000,0.000311,0.000158,0.000148,0.000217,0.004533,0.004580,0.004647,0.004647,0.524520,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.993582,0.836119,0.993582,,0.993582,,1.247611,,,,,,,,,,,,,,,,,,,,,0.993582,0.836119,1.247611,,,,
2,venus,FLOAT,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000113,0.000089,0.000056,0.000058,0.000070,0.000274,0.000119,0.000119,0.003160,0.000784,0.000783,0.000221,0.000000,0.004669,0.000044,0.001667,0.000662,0.000413,0.000256,0.000164,0.000000,0.000314,0.000159,0.000135,0.000165,0.004690,0.004733,0.004807,0.004807,0.524520,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.132681,0.834371,1.132681,,,1.132681,0.968745,,,,,,,,,,,,,,,,,,,,,1.132681,0.834371,0.968745,,,,
3,barn1,FLOAT,96,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,432,381,15,0.000000,0.000265,0.000161,0.000073,0.000101,0.000092,0.000438,0.000173,0.000172,0.004142,0.001562,0.001560,0.000274,0.000000,0.006864,0.000059,0.002244,0.000904,0.000489,0.000312,0.000193,0.000000,0.000729,0.000280,0.000228,0.000321,0.006896,0.006959,0.007033,0.007033,0.920816,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.958936,0.694585,,,0.958936,,1.175815,,,,,,,,,,,,,,,,,,,,,0.958936,0.694585,1.175815,,,,
3,barn1,FLOAT,96,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,432,381,15,0.000000,0.000254,0.000168,0.000074,0.000093,0.000092,0.000436,0.000186,0.000186,0.004628,0.001586,0.001584,0.000286,0.000000,0.007369,0.000066,0.002615,0.000976,0.000496,0.000306,0.000189,0.000000,0.000739,0.000269,0.000247,0.000331,0.007403,0.007467,0.007537,0.007537,0.920816,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.216835,0.688217,,,,1.216835,1.369493,,,,,,,,,,,,,,,,,,,,,1.216835,0.688217,1.369493,,,,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,450,375,15,0.000000,0.000739,0.000368,0.000160,0.000151,0.000137,0.000825,0.000330,0.000330,0.012429,0.004918,0.004916,0.001136,0.000001,0.020462,0.000072,0.008799,0.002143,0.000849,0.000423,0.000222,0.000000,0.002776,0.001128,0.000440,0.000618,0.020505,0.020580,0.020745,0.020745,1.865635,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.816434,0.708970,,0.816434,0.816434,,1.018374,,,,,,,,,,,,,,,,,,,,,0.816434,0.708970,1.018374,,,,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,450,375,15,0.000001,0.000699,0.000382,0.000159,0.000134,0.000134,0.000830,0.000335,0.000335,0.013040,0.004845,0.004843,0.001140,0.000000,0.020900,0.000072,0.009164,0.002273,0.000885,0.000478,0.000252,0.000000,0.002716,0.001025,0.000460,0.000664,0.020945,0.021018,0.021147,0.021147,1.865635,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.866682,0.714770,,0.866682,,0.866682,1.003791,,,,,,,,,,,,,,,,,,,,,0.866682,0.714770,1.003791,,,,
