Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,78,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,192,144,15,0.000000,0.000022,0.000023,0.000023,0.000022,0.000021,0.000093,0.000012,0.000011,0.000533,0.000138,0.000138,0.000038,0.000000,0.000820,0.000023,0.000159,0.000095,0.000079,0.000074,0.000072,0.000000,0.000036,0.000033,0.000027,0.000023,0.000854,0.000876,0.000893,0.000893,0.026951,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.671502,0.388594,0.671502,,0.671502,,1.035251,,,,,,,,,,,,,,,,,,,,,0.671502,0.388594,1.035251,,,,
0,tsukubaSetHalfSize,FLOAT,78,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,192,144,15,0.000000,0.000025,0.000033,0.000032,0.000034,0.000034,0.000136,0.000018,0.000017,0.001008,0.000163,0.000162,0.000056,0.000000,0.001431,0.000033,0.000415,0.000186,0.000134,0.000125,0.000127,0.000000,0.000045,0.000042,0.000037,0.000038,0.001462,0.001500,0.001514,0.001514,0.026951,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.960434,0.405818,0.960434,,,0.960434,1.124719,,,,,,,,,,,,,,,,,,,,,0.960434,0.405818,1.124719,,,,
1,tsukubaSet,FLOAT,78,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,384,288,15,0.000000,0.000087,0.000049,0.000032,0.000032,0.000029,0.000150,0.000019,0.000019,0.001681,0.000427,0.000426,0.000075,0.000000,0.002441,0.000033,0.000980,0.000324,0.000158,0.000113,0.000103,0.000000,0.000216,0.000103,0.000056,0.000041,0.002476,0.002522,0.002584,0.002584,0.277648,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.843285,0.429822,0.843285,,0.843285,,0.968937,,,,,,,,,,,,,,,,,,,,,0.843285,0.429822,0.968937,,,,
1,tsukubaSet,FLOAT,78,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,384,288,15,0.000000,0.000105,0.000051,0.000035,0.000032,0.000034,0.000156,0.000019,0.000019,0.003475,0.000442,0.000440,0.000080,0.000000,0.004304,0.000033,0.002302,0.000652,0.000243,0.000157,0.000122,0.000000,0.000212,0.000112,0.000061,0.000043,0.004344,0.004375,0.004436,0.004436,0.277648,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.803530,0.439330,0.803530,,,0.803530,1.028943,,,,,,,,,,,,,,,,,,,,,0.803530,0.439330,1.028943,,,,
2,venus,FLOAT,78,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,434,383,15,0.000001,0.000134,0.000085,0.000041,0.000035,0.000032,0.000203,0.000024,0.000024,0.005755,0.000475,0.000473,0.000141,0.000000,0.006765,0.000149,0.003751,0.001177,0.000441,0.000195,0.000150,0.000000,0.000154,0.000169,0.000075,0.000055,0.006814,0.006933,0.007074,0.007074,0.818244,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527922,0.535978,0.527922,,0.527922,,1.009132,,,,,,,,,,,,,,,,,,,,,0.527922,0.535978,1.009132,,,,
2,venus,FLOAT,78,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,434,383,15,0.000001,0.000128,0.000084,0.000042,0.000035,0.000033,0.000226,0.000024,0.000023,0.006412,0.000469,0.000467,0.000137,0.000001,0.007377,0.000075,0.004227,0.001285,0.000526,0.000193,0.000139,0.000000,0.000154,0.000168,0.000073,0.000050,0.007428,0.007531,0.007653,0.007653,0.818244,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.719869,0.534858,0.719869,,,0.719869,0.980050,,,,,,,,,,,,,,,,,,,,,0.719869,0.534858,0.980050,,,,
3,barn1,FLOAT,78,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,432,381,15,0.000001,0.000192,0.000179,0.000060,0.000038,0.000039,0.000338,0.000033,0.000031,0.009115,0.001004,0.001001,0.000209,0.000001,0.010743,0.000055,0.006110,0.001845,0.000703,0.000231,0.000162,0.000000,0.000352,0.000310,0.000126,0.000069,0.010811,0.010865,0.010957,0.010957,1.225386,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.517413,0.521946,,,0.517413,,0.988374,,,,,,,,,,,,,,,,,,,,,0.517413,0.521946,0.988374,,,,
3,barn1,FLOAT,78,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,432,381,15,0.000001,0.000196,0.000154,0.000057,0.000036,0.000037,0.000305,0.000032,0.000031,0.009803,0.000976,0.000973,0.000213,0.000001,0.011548,0.000057,0.006634,0.001965,0.000744,0.000243,0.000178,0.000000,0.000450,0.000321,0.000125,0.000075,0.011621,0.011905,0.011999,0.011999,1.225386,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.564906,0.517160,,,,0.564906,1.012112,,,,,,,,,,,,,,,,,,,,,0.564906,0.517160,1.012112,,,,
4,conesQuarterSize,FLOAT,78,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,450,375,15,0.000002,0.000272,0.000284,0.000092,0.000051,0.000036,0.000510,0.000044,0.000040,0.021065,0.003752,0.003747,0.001455,0.000003,0.027009,0.000268,0.014981,0.003990,0.001378,0.000422,0.000306,0.000000,0.002601,0.000692,0.000280,0.000112,0.027093,0.027591,0.027689,0.027689,3.713364,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.591899,0.356195,,0.591899,0.591899,,0.985432,,,,,,,,,,,,,,,,,,,,,0.591899,0.356195,0.985432,,,,
4,conesQuarterSize,FLOAT,78,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,450,375,15,0.000002,0.000279,0.000344,0.000098,0.000053,0.000038,0.000537,0.000048,0.000045,0.021937,0.003857,0.003844,0.001455,0.000003,0.028111,0.000317,0.015447,0.004220,0.001471,0.000486,0.000288,0.000000,0.002636,0.000747,0.000312,0.000129,0.028198,0.028947,0.029043,0.029043,3.713364,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.638501,0.359108,,0.638501,,0.638501,1.015644,,,,,,,,,,,,,,,,,,,,,0.638501,0.359108,1.015644,,,,
