Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,192,144,15,0.000000,0.000014,0.000024,0.000024,0.000024,0.000023,0.000096,0.000011,0.000011,0.000456,0.000119,0.000118,0.000039,0.000000,0.000738,0.000022,0.000113,0.000099,0.000086,0.000079,0.000078,0.000000,0.000035,0.000031,0.000028,0.000023,0.000753,0.000775,0.000778,0.000778,0.014333,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.440719,0.730723,1.440719,,1.440719,,1.933784,,,,,,,,,,,,,,,,,,,,,1.440719,0.730723,1.933784,,,,
0,tsukubaSetHalfSize,FLOAT,96,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,192,144,15,0.000000,0.000015,0.000027,0.000024,0.000025,0.000025,0.000100,0.000012,0.000011,0.000574,0.000126,0.000126,0.000043,0.000000,0.000870,0.000022,0.000208,0.000111,0.000087,0.000082,0.000084,0.000000,0.000039,0.000031,0.000029,0.000026,0.000884,0.000908,0.000911,0.000911,0.014333,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.891963,0.763111,1.891963,,,1.891963,1.333193,,,,,,,,,,,,,,,,,,,,,1.891963,0.763111,1.333193,,,,
1,tsukubaSet,FLOAT,96,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000029,0.000031,0.000027,0.000024,0.000024,0.000106,0.000016,0.000016,0.000848,0.000218,0.000217,0.000050,0.000000,0.001273,0.000025,0.000370,0.000177,0.000104,0.000097,0.000087,0.000000,0.000097,0.000047,0.000039,0.000035,0.001290,0.001316,0.001332,0.001332,0.130668,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.749238,0.913302,1.749238,,1.749238,,1.035730,,,,,,,,,,,,,,,,,,,,,1.749238,0.913302,1.035730,,,,
1,tsukubaSet,FLOAT,96,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000030,0.000030,0.000025,0.000023,0.000025,0.000105,0.000015,0.000015,0.001458,0.000220,0.000219,0.000051,0.000000,0.001882,0.000023,0.000798,0.000320,0.000142,0.000101,0.000086,0.000000,0.000097,0.000051,0.000037,0.000034,0.001899,0.001922,0.001938,0.001938,0.130668,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.754443,0.933506,1.754443,,,1.754443,0.981583,,,,,,,,,,,,,,,,,,,,,1.754443,0.933506,0.981583,,,,
2,venus,FLOAT,96,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000047,0.000036,0.000028,0.000027,0.000026,0.000117,0.000019,0.000019,0.001934,0.000260,0.000260,0.000069,0.000000,0.002450,0.000032,0.001182,0.000357,0.000162,0.000115,0.000092,0.000000,0.000104,0.000053,0.000046,0.000043,0.002469,0.002501,0.002524,0.002524,0.338740,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.462889,1.294684,1.462889,,1.462889,,0.997774,,,,,,,,,,,,,,,,,,,,,1.462889,1.294684,0.997774,,,,
2,venus,FLOAT,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000047,0.000043,0.000024,0.000025,0.000025,0.000117,0.000019,0.000018,0.002211,0.000247,0.000246,0.000068,0.000000,0.002716,0.000032,0.001385,0.000411,0.000174,0.000123,0.000092,0.000000,0.000106,0.000051,0.000047,0.000040,0.002733,0.002764,0.002788,0.002788,0.338740,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.985957,1.291977,1.985957,,,1.985957,0.984909,,,,,,,,,,,,,,,,,,,,,1.985957,1.291977,0.984909,,,,
3,barn1,FLOAT,96,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000069,0.000052,0.000029,0.000029,0.000027,0.000137,0.000024,0.000024,0.002766,0.000424,0.000423,0.000119,0.000000,0.003546,0.000028,0.001800,0.000508,0.000203,0.000134,0.000102,0.000000,0.000217,0.000073,0.000072,0.000055,0.003571,0.003605,0.003628,0.003628,0.477598,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.569943,1.339169,,,1.569943,,0.993063,,,,,,,,,,,,,,,,,,,,,1.569943,1.339169,0.993063,,,,
3,barn1,FLOAT,96,16,8,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000069,0.000052,0.000031,0.000030,0.000027,0.000143,0.000024,0.000024,0.003096,0.000413,0.000412,0.000121,0.000000,0.003871,0.000027,0.002031,0.000575,0.000219,0.000166,0.000107,0.000000,0.000217,0.000070,0.000072,0.000053,0.003890,0.003916,0.003938,0.003938,0.477598,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.666213,1.326891,,,,1.666213,0.979828,,,,,,,,,,,,,,,,,,,,,1.666213,1.326891,0.979828,,,,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000000,0.000129,0.000120,0.000061,0.000036,0.000031,0.000249,0.000043,0.000043,0.006839,0.001132,0.001131,0.000529,0.000001,0.008947,0.000032,0.004958,0.001135,0.000376,0.000211,0.000144,0.000000,0.000679,0.000237,0.000107,0.000096,0.008985,0.009017,0.009042,0.009042,1.120131,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.849280,1.180827,,1.849280,1.849280,,1.005365,,,,,,,,,,,,,,,,,,,,,1.849280,1.180827,1.005365,,,,
4,conesQuarterSize,FLOAT,96,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000001,0.000129,0.000124,0.000062,0.000038,0.000031,0.000256,0.000044,0.000044,0.007189,0.001152,0.001152,0.000518,0.000000,0.009326,0.000034,0.005201,0.001200,0.000387,0.000220,0.000155,0.000000,0.000673,0.000253,0.000113,0.000103,0.009367,0.009411,0.009440,0.009440,1.120131,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.943137,1.190486,,1.943137,,1.943137,1.004627,,,,,,,,,,,,,,,,,,,,,1.943137,1.190486,1.004627,,,,
