Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000023,0.000014,0.000011,0.000011,0.000009,0.000045,0.000012,0.000012,0.000322,0.000124,0.000124,0.000019,0.000000,0.000543,0.000007,0.000133,0.000061,0.000039,0.000044,0.000033,0.000000,0.000045,0.000028,0.000024,0.000029,0.000561,0.000568,0.000574,0.000574,0.007484,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.988940,1.399418,0.988940,,0.988940,,0.979219,,,,,,,,,,,,,,,,,,0.988940,1.399418,0.979219,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000026,0.000015,0.000010,0.000010,0.000008,0.000043,0.000021,0.000021,0.000569,0.000119,0.000119,0.000019,0.000000,0.000805,0.000009,0.000276,0.000094,0.000058,0.000067,0.000038,0.000000,0.000043,0.000027,0.000023,0.000027,0.000821,0.000830,0.000836,0.000836,0.007484,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.629437,1.461445,1.629437,,,1.629437,1.053124,,,,,,,,,,,,,,,,,,1.629437,1.461445,1.053124,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000150,0.000064,0.000022,0.000015,0.000013,0.000114,0.000027,0.000027,0.001937,0.001122,0.001122,0.000179,0.000000,0.003501,0.000020,0.001414,0.000274,0.000094,0.000063,0.000070,0.000000,0.000875,0.000136,0.000068,0.000043,0.003523,0.003544,0.003578,0.003578,0.085824,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.628551,1.390503,0.628551,,0.628551,,0.999952,,,,,,,,,,,,,,,,,,0.628551,1.390503,0.999952,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000162,0.000064,0.000023,0.000013,0.000012,0.000113,0.000025,0.000025,0.002847,0.001103,0.001102,0.000182,0.000000,0.004430,0.000016,0.002103,0.000433,0.000135,0.000092,0.000093,0.000000,0.000895,0.000119,0.000047,0.000043,0.004449,0.004465,0.004499,0.004499,0.085824,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.752832,1.421264,0.752832,,,0.752832,0.977661,,,,,,,,,,,,,,,,,,0.752832,1.421264,0.977661,,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000319,0.000140,0.000041,0.000015,0.000016,0.000211,0.000025,0.000025,0.007834,0.001824,0.001823,0.000382,0.000001,0.010561,0.000030,0.006599,0.000715,0.000232,0.000111,0.000142,0.000000,0.001379,0.000247,0.000139,0.000069,0.010596,0.010626,0.010712,0.010712,0.225459,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.189017,1.945196,0.189017,,0.189017,,0.547152,,,,,,,,,,,,,,,,,,0.189017,1.945196,0.547152,,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000336,0.000183,0.000041,0.000015,0.000016,0.000255,0.000026,0.000026,0.010849,0.001772,0.001771,0.000375,0.000001,0.013501,0.000030,0.008857,0.001231,0.000368,0.000144,0.000170,0.000000,0.001332,0.000250,0.000128,0.000076,0.013537,0.013567,0.013641,0.013641,0.225459,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412878,1.941129,0.412878,,,0.412878,1.001946,,,,,,,,,,,,,,,,,,0.412878,1.941129,1.001946,,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000473,0.000384,0.000069,0.000028,0.000020,0.000500,0.000035,0.000034,0.015492,0.003959,0.003958,0.001048,0.000001,0.021449,0.000031,0.013321,0.001385,0.000374,0.000154,0.000227,0.000000,0.002977,0.000628,0.000278,0.000084,0.021488,0.021519,0.021598,0.021598,0.420461,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.177133,1.521151,,,0.177133,,0.666980,,,,,,,,,,,,,,,,,,0.177133,1.521151,0.666980,,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000489,0.000342,0.000070,0.000027,0.000020,0.000457,0.000037,0.000036,0.018639,0.003920,0.003919,0.001078,0.000001,0.024928,0.000033,0.015652,0.002010,0.000510,0.000185,0.000247,0.000000,0.002972,0.000579,0.000280,0.000099,0.024962,0.024994,0.025073,0.025073,0.420461,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280877,1.507204,,,,0.280877,1.051530,,,,,,,,,,,,,,,,,,0.280877,1.507204,1.051530,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.001033,0.001441,0.000347,0.000076,0.000031,0.001894,0.000038,0.000037,0.034107,0.010249,0.010247,0.003294,0.000002,0.050711,0.000041,0.027665,0.004777,0.000963,0.000236,0.000455,0.000000,0.007150,0.002324,0.000682,0.000169,0.050751,0.050792,0.050874,0.050874,0.911655,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.329582,1.450856,,0.329582,0.329582,,1.008162,,,,,,,,,,,,,,,,,,0.329582,1.450856,1.008162,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.000905,0.001505,0.000342,0.000077,0.000027,0.001952,0.000041,0.000040,0.037190,0.010462,0.010460,0.003279,0.000001,0.054492,0.000033,0.029843,0.005589,0.001104,0.000310,0.000519,0.000000,0.007254,0.002416,0.000633,0.000188,0.054534,0.054567,0.054648,0.054648,0.911655,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336017,1.462724,,0.336017,,0.336017,1.005717,,,,,,,,,,,,,,,,,,0.336017,1.462724,1.005717,,,,
